id,title,original_price,scrape_date,store
416090,KPN Beltegoed 20 euro,"€20,00",2025-03-07,Albert Heijn
418158, Playstation cadeaukaart - 20 euro,"€20,00",2025-03-07,Albert Heijn
428489,Lycamobile Holland bundel S,"€15,00",2025-03-07,Albert Heijn
442670,Lebara All in 10 euro,"€10,00",2025-03-07,Albert Heijn
461232,Zalando Zalando cadeaukaart - 25 euro,"€25,00",2025-03-07,Albert Heijn
461234,Google Play cadeaukaart - 25 euro,"€25,00",2025-03-07,Albert Heijn
461242,Bol.com Cadeaukaart 25 euro,"€25,00",2025-03-07,Albert Heijn
498558, Dille en Kamille cadeaukaart - 25 euro,"€25,00",2025-03-07,Albert Heijn
498559, My Jewellery cadeaukaart - 25 euro,"€25,00",2025-03-07,Albert Heijn
506505, Rituals cadeaukaart - 25 euro,"€25,00",2025-03-07,Albert Heijn
509713, One4all cadeaukaart - 25 euro,"€25,00",2025-03-07,Albert Heijn
528025,Blackhawk Apple cadeaukaart - 25 euro,"€25,00",2025-03-07,Albert Heijn
544965,Staatsloterij Staatslot zonder XL,"€17,50",2025-03-07,Albert Heijn
567655,Blackhawk Roblox cadeaukaart - 25 euro,"€25,00",2025-03-07,Albert Heijn
577464,Shine Shine waterbezem XXL,"€79,00",2025-03-07,Albert Heijn
