id,title,original_price,scrape_date,store
569648,Zwitsal Billendoekjes 4-pack,"€12,36",2025-03-07,Albert Heijn
47651,Zwitsal Baby bodylotion,"€4,55",2025-03-07,Albert Heijn
126997,AH Beregoede kids toetenvegers,"€1,39",2025-03-07,Albert Heijn
498269,AH Baby waterdoekjes,"€1,29",2025-03-07,Albert Heijn
113406,Alpro Groeidrink soya 1-3+ jaar,"€2,59",2025-03-07,Albert Heijn
186851,Zwitsal Baby zeepvrije wasgel,"€3,89",2025-03-07,Albert Heijn
232520,Sore Baby maisfingers naturel 6m+,"€1,79",2025-03-07,Albert Heijn
388786,De Kleine Keuken Biologische rozijntjes 12m+,"€3,29",2025-03-07,Albert Heijn
177112,Elmex Junior tandpasta 5-12 jaar,"€3,99",2025-03-07,Albert Heijn
220096,Roosvicee Vruchten mix siroop,"€2,99",2025-03-07,Albert Heijn
582260,Roosvicee Vruchten mix siroop 2-pack,"€5,98",2025-03-07,Albert Heijn
186855,AH Beregoede luierzakjes,"€1,99",2025-03-07,Albert Heijn
388775,Olvarit Spaghetti bolognese 15m+,"€1,75",2025-03-07,Albert Heijn
445214,Organix Knijpfruit haver appel banaan 12m+,"€1,45",2025-03-07,Albert Heijn
65726,AH Biologisch Diksap appel,"€3,85",2025-03-07,Albert Heijn
473527,Olvarit Spaghetti tomaat ham 18m+,"€1,75",2025-03-07,Albert Heijn
445208,Organix Knijpfruit haver abrikoos banaan 12m+,"€1,35",2025-03-07,Albert Heijn
445393,AH Beregoede baby lotiondoekjes sensitive,"€1,45",2025-03-07,Albert Heijn
388767,Olvarit Bruine bonen appel rundvlees 15m+,"€1,75",2025-03-07,Albert Heijn
445324,AH Vruchtenmix siroop,"€2,39",2025-03-07,Albert Heijn
388763,Olvarit Pompoen kip pasta 12m+,"€1,75",2025-03-07,Albert Heijn
177111,Elmex Anti-cariës 0-5 jaar tandpasta,"€3,99",2025-03-07,Albert Heijn
538492,Organix Apple rice cake clouds 7m+,"€1,95",2025-03-07,Albert Heijn
388951,Olvarit Spinazie kip aardappel 12m+,"€1,75",2025-03-07,Albert Heijn
