id,title,original_price,scrape_date,store
225279,Mesta Verdejo organic wine,"€5,29",2025-03-07,Albert Heijn
584608,Mesta Verdejo organic wine 6-pack,"€31,74",2025-03-07,Albert Heijn
460649,Leffe Blond 0.0% 6-pack,"€6,65",2025-03-07,Albert Heijn
471354,Hertog Jan 0.0 Alcoholvrij bier 6-pack,"€4,79",2025-03-07,Albert Heijn
96577,Hertog Jan Natuurzuiver bier 6-pack,"€6,99",2025-03-07,Albert Heijn
435571,Mucho Mas Rood tempranillo,"€7,69",2025-03-07,Albert Heijn
222563,Amstel Radler citroen 0.0 6-pack,"€5,65",2025-03-07,Albert Heijn
225278,Mesta Tempranillo organic wine,"€5,29",2025-03-07,Albert Heijn
584739,Mesta Tempranillo organic wine 6-pack,"€31,74",2025-03-07,Albert Heijn
566588,Vandestreek Playground non alcoholic IPA,"€2,09",2025-03-07,Albert Heijn
163546,Settesoli Pinot grigio,"€5,99",2025-03-07,Albert Heijn
584728,Settesoli Pinot grigio 6-pack,"€35,94",2025-03-07,Albert Heijn
166391,AH Glühwein,"€2,39",2025-03-07,Albert Heijn
588135,AH Glühwein 6 flessen,"€14,34",2025-03-07,Albert Heijn
139508,Sol y Nieve Rueda verdejo-viura,"€5,29",2025-03-07,Albert Heijn
584613,Sol y Nieve Rueda verdejo-viura 6 flessen,"€31,74",2025-03-07,Albert Heijn
458921,AH Biologisch Pinot grigio,"€4,99",2025-03-07,Albert Heijn
586066,AH Biologisch Pinot grigio 6-pack,"€29,94",2025-03-07,Albert Heijn
438908,Tripel Karmeliet Speciaalbier 4-pack,"€8,79",2025-03-07,Albert Heijn
160698,Campo Viejo Rioja tempranillo,"€7,29",2025-03-07,Albert Heijn
584741,Campo Viejo Rioja tempranillo 6-pack,"€43,74",2025-03-07,Albert Heijn
222388,Solatio Vino frizzante prosecco doc,"€5,99",2025-03-07,Albert Heijn
584930,Solatio vino frizzante prosecco doc 6-pack,"€35,94",2025-03-07,Albert Heijn
440882,Mastri Vernacoli Pinot grigio,"€7,49",2025-03-07,Albert Heijn
585742,Mastri Vernacoli Pinot grigio 6-pack,"€44,94",2025-03-07,Albert Heijn
56312,Leffe Blond abdijbier 6-pack,"€8,65",2025-03-07,Albert Heijn
387103,AH Excellent Selectie touraine sauvignon blanc,"€7,69",2025-03-07,Albert Heijn
577856,AH Excellent Selectie touraine sauvignon blanc 6-pack,"€46,14",2025-03-07,Albert Heijn
63462,Berberana Red dragon tempranillo,"€3,99",2025-03-07,Albert Heijn
584740,Berberana Red dragon tempranillo 6 flessen,"€23,94",2025-03-07,Albert Heijn
435814,AH Excellent Selectie prosecco,"€7,99",2025-03-07,Albert Heijn
575711,AH Excellent Selectie Prosecco 6 flessen,"€47,94",2025-03-07,Albert Heijn
436995,Sarmentino Pinot grigio,"€4,19",2025-03-07,Albert Heijn
584743,Sarmentino Pinot grigio 6-pack,"€25,14",2025-03-07,Albert Heijn
160809,Lindeman's South africa sauvignon blanc chardonnay,"€5,29",2025-03-07,Albert Heijn
584746,Lindeman's South africa sauvignon chardonnay 6-pack,"€31,74",2025-03-07,Albert Heijn
228280,Saint Louis De provence rosé,"€6,99",2025-03-07,Albert Heijn
584742,Saint Louis De provence rose 6-pack,"€41,94",2025-03-07,Albert Heijn
489167,Brouwers Premium bier 6-pack,"€2,99",2025-03-07,Albert Heijn
473308,Riporta Primitivo,"€7,99",2025-03-07,Albert Heijn
177810,La Chouffe Blond 4-pack,"€8,99",2025-03-07,Albert Heijn
198217,Grolsch Krachtig kanon,"€2,39",2025-03-07,Albert Heijn
553815,Batu Kombucha ginger & lemon,"€1,65",2025-03-07,Albert Heijn
222510,Amstel Radler citroen 0.0 bier 6-pack,"€5,49",2025-03-07,Albert Heijn
160694,Lindeman's South africa cabernet sauvignon merlot,"€5,29",2025-03-07,Albert Heijn
584891,Lindeman's SA cabernet sauvignon merlot 6-pack,"€31,74",2025-03-07,Albert Heijn
238802,Grolsch Radler citroen alcoholvrij 0.0 6-pack,"€4,99",2025-03-07,Albert Heijn
171617,Codorníu Clasico cava brut,"€7,99",2025-03-07,Albert Heijn
584884,Codorníu Clasico cava brut 6-pack,"€47,94",2025-03-07,Albert Heijn
483496,Affligem Blond abdijbier 6-pack,"€7,79",2025-03-07,Albert Heijn
80101,Heineken Premium pilsener 6-pack,"€6,65",2025-03-07,Albert Heijn
465846,19 Crimes Chardonnay,"€8,99",2025-03-07,Albert Heijn
585057,19 Crimes Chardonnay 6-pack,"€53,94",2025-03-07,Albert Heijn
365949,Sarmentino Merlot,"€2,99",2025-03-07,Albert Heijn
584893,Sarmentino Merlot 6-pack,"€17,94",2025-03-07,Albert Heijn
548572,Texels Skuumkoppe speciaalbier 6-pack,"€9,39",2025-03-07,Albert Heijn
409251,Solatio Prosecco spumante extra dry,"€6,99",2025-03-07,Albert Heijn
482639,Grange de Malivet Chardonnay wooded,"€6,65",2025-03-07,Albert Heijn
586337,Solatio Prosecco spumante extra dry 6-pack,"€41,94",2025-03-07,Albert Heijn
586717,Grange de Malivet Chardonnay wooded 6-pack,"€39,90",2025-03-07,Albert Heijn
540081,Hertog Jan Natuurzuiver bier 6-pack,"€5,99",2025-03-07,Albert Heijn
128222,Wild Pig Chardonnay,"€5,99",2025-03-07,Albert Heijn
518871,Royal Club Rose lemonade 0% suiker,"€2,39",2025-03-07,Albert Heijn
584744,Wild Pig Chardonnay 6 flessen,"€35,94",2025-03-07,Albert Heijn
171583,Sobreiro Port ruby,"€5,49",2025-03-07,Albert Heijn
435813,AH Excellent Selectie pinot grigio,"€6,99",2025-03-07,Albert Heijn
586340,AH Excellent Selectie pinot grigio 6-pack,"€41,94",2025-03-07,Albert Heijn
211425,Weihenstephaner Hefeweissbier 0.5%,"€1,69",2025-03-07,Albert Heijn
365217,AH Excellent Selectie grüner veltliner kamptal,"€7,99",2025-03-07,Albert Heijn
577748,AH Excellent Selectie Kamptal Gruner veltliner 6-pack,"€47,94",2025-03-07,Albert Heijn
579082,Weihenstephaner Hefeweissbier 0.5% 6-pack,"€10,14",2025-03-07,Albert Heijn
489168,Affligem Blond 0.0 abdijbier 6-pack,"€7,49",2025-03-07,Albert Heijn
202509,Yildriz Turkse knoflooksaus,"€3,99",2025-03-07,Albert Heijn
409164,Heineken Premium pilsener 0.0 draaidop 6-pack,"€5,49",2025-03-07,Albert Heijn
139908,Adobe Chardonnay reserva organic,"€6,65",2025-03-07,Albert Heijn
584905,Adobe Chardonnay reserva organic 6 flessen,"€39,90",2025-03-07,Albert Heijn
188064,Lindeman's Bin 85 pinot grigio,"€6,99",2025-03-07,Albert Heijn
199749,Lindeman's South africa chardonnay viognier,"€5,29",2025-03-07,Albert Heijn
584889,Lindeman's South africa chardonnay viognier 6-pack,"€31,74",2025-03-07,Albert Heijn
584933,Lindeman's Bin 85 pinot grigio 6-pack,"€41,94",2025-03-07,Albert Heijn
365931,Mooi Kaap Droë steen,"€3,25",2025-03-07,Albert Heijn
409165,Heineken Premium pilsener 0.0 6-pack,"€6,55",2025-03-07,Albert Heijn
419990,AH Excellent Selectie cangrande valpolicella ripasso,"€9,99",2025-03-07,Albert Heijn
576149,AH Excellent Selectie Valpolicella Ripasso 6 flessen,"€59,94",2025-03-07,Albert Heijn
491770,Lander bräu Premium beer 6-pack,"€4,49",2025-03-07,Albert Heijn
49910,Lindeman's Bin 65 chardonnay,"€6,99",2025-03-07,Albert Heijn
584749,Lindeman's Bin 65 chardonnay 6 flessen,"€41,94",2025-03-07,Albert Heijn
475977,Heineken Premium pilsener 0.0 krat,"€19,99",2025-03-07,Albert Heijn
194903,Gulpener Gladiator robuust bier,"€1,69",2025-03-07,Albert Heijn
445543,Duvel Blond 4-pack,"€7,99",2025-03-07,Albert Heijn
198137,Veltins Pilsener,"€1,05",2025-03-07,Albert Heijn
173808,Heineken Premium pilsener draaidop 24-pack,"€23,99",2025-03-07,Albert Heijn
571813,Texels Skuumkoppe 0.0 speciaalbier 6-pack,"€8,99",2025-03-07,Albert Heijn
425977,Free Feather Chardonnay Alcoholvrij,"€4,29",2025-03-07,Albert Heijn
586387,Free Feather Chardonnay Alcoholvrij 6-pack,"€25,74",2025-03-07,Albert Heijn
491711,"Brouwerij 't IJ Vrijwit 0,5%","€2,55",2025-03-07,Albert Heijn
63581,Heineken Premium pilsener 24-pack,"€21,19",2025-03-07,Albert Heijn
55892,Fantini Montepulciano d'abruzzo,"€5,99",2025-03-07,Albert Heijn
586711,Fantini Montepulciano d'abruzzo 6 flessen,"€35,94",2025-03-07,Albert Heijn
440877,Vila Nova Vinho verde,"€5,99",2025-03-07,Albert Heijn
576121,Vila Nova Vinho verde 6 flessen,"€35,94",2025-03-07,Albert Heijn
199585,Liebfraumilch Qualitätswein,"€2,99",2025-03-07,Albert Heijn
60539,AH Advocaat van scharreleieren,"€4,19",2025-03-07,Albert Heijn
183474,Terra viva Bio pinot grigio,"€6,49",2025-03-07,Albert Heijn
471356,Hertog Jan 0.0 Alcoholvrij bier 6-pack,"€5,89",2025-03-07,Albert Heijn
576148,Terra viva Pinot grigio 6 flessen,"€38,94",2025-03-07,Albert Heijn
478476,YAYA Kombucha yuzu,"€2,29",2025-03-07,Albert Heijn
401917,Viverty Sparkling wit alcoholvrij,"€5,29",2025-03-07,Albert Heijn
497482,Marqués de Requena Brut,"€5,99",2025-03-07,Albert Heijn
584885,Marqués de Requena Brut 6-pack,"€35,94",2025-03-07,Albert Heijn
586721,Viverty Sparkling wit alcoholvrij 6-pack,"€31,74",2025-03-07,Albert Heijn
409171,Warsteiner Alkoholfrei pilsener 6-pack,"€4,99",2025-03-07,Albert Heijn
440708,Fantini Puglia rosso,"€5,99",2025-03-07,Albert Heijn
576151,Fantini Puglia rosso 6 flessen,"€35,94",2025-03-07,Albert Heijn
440705,Castaño Monstrell organic,"€4,99",2025-03-07,Albert Heijn
576152,Castaño Monastrell organic 6 flessen,"€29,94",2025-03-07,Albert Heijn
179089,Weihenstephaner Hefeweissbier,"€1,99",2025-03-07,Albert Heijn
460362,Brand IPA 0.0 6-pack,"€8,65",2025-03-07,Albert Heijn
489166,Brouwers Alcoholvrij bier 0.0% 6-pack,"€2,59",2025-03-07,Albert Heijn
411748,Cono Sur Bicicleta chardonnay,"€6,49",2025-03-07,Albert Heijn
586917,Cono Sur Bicicleta chardonnay 6-pack,"€38,94",2025-03-07,Albert Heijn
210499,Erdinger Weissbier,"€1,89",2025-03-07,Albert Heijn
222369,AH Merlot,"€2,29",2025-03-07,Albert Heijn
460315,Mucho Mas Blanco,"€7,69",2025-03-07,Albert Heijn
553816,Batu Kombucha passion fruit & hop,"€1,65",2025-03-07,Albert Heijn
136422,Hardys Chardonnay sauvignon blanc,"€5,99",2025-03-07,Albert Heijn
584909,Hardys Chardonnay sauvignon blanc 6 flessen,"€35,94",2025-03-07,Albert Heijn
419766,AH Excellent Selectie sauvignon blanc falcon,"€8,69",2025-03-07,Albert Heijn
586724,AH Excellent Selectie sauvignon blanc falcon 6-pack,"€52,14",2025-03-07,Albert Heijn
436936,Faszination Hugo,"€2,59",2025-03-07,Albert Heijn
586343,Faszination Hugo 6-pack,"€15,54",2025-03-07,Albert Heijn
307,Cave de Beblenheim Pinot blanc,"€5,99",2025-03-07,Albert Heijn
584747,Cave de Beblenheim Pinot blanc 6 flessen,"€35,94",2025-03-07,Albert Heijn
194906,Hertog Jan Natuurzuiver bier 6-pack,"€8,99",2025-03-07,Albert Heijn
200334,Ogio Pinot Grigio,"€7,29",2025-03-07,Albert Heijn
515111,Affligem Tripel abdijbier 6-pack,"€9,29",2025-03-07,Albert Heijn
222355,AH Stevige Chileense huiswijn rood,"€4,69",2025-03-07,Albert Heijn
548442,La Trappe Trappist nillis 0.0%,"€1,99",2025-03-07,Albert Heijn
579027,La Trappe Trappist nillis 0.0% tray,"€15,89",2025-03-07,Albert Heijn
365918,Sarmentino Chardonnay,"€3,59",2025-03-07,Albert Heijn
30539,Undurraga Sauvignon blanc,"€5,29",2025-03-07,Albert Heijn
222357,AH Fris & droge Franse huiswijn wit,"€4,89",2025-03-07,Albert Heijn
584745,Undurraga Sauvignon blanc 6 flessen,"€31,74",2025-03-07,Albert Heijn
192803,Stormhoek Pinot grigio,"€5,29",2025-03-07,Albert Heijn
585739,Stormhoek Pinot grigio 6-pack,"€31,74",2025-03-07,Albert Heijn
571805,Peroni Nastro azzurro Italiaans 0.0% 6-pack,"€5,99",2025-03-07,Albert Heijn
136421,Hardys Cabernet shiraz merlot,"€5,99",2025-03-07,Albert Heijn
492080,Leffe Bruin 0.0% 6-pack,"€7,49",2025-03-07,Albert Heijn
585749,Hardys Cabernet shiraz merlot 6 flessen,"€35,94",2025-03-07,Albert Heijn
222370,AH Fris & droge Franse huiswijn wit,"€2,29",2025-03-07,Albert Heijn
419830,Fantini Pecorino,"€5,99",2025-03-07,Albert Heijn
583524,Fantini Pecorino 6-pack,"€35,94",2025-03-07,Albert Heijn
396207,Settesoli Pinot grigio blush rosé,"€5,99",2025-03-07,Albert Heijn
586377,Settesoli Pinot grigio blush rosé 6-pack,"€35,94",2025-03-07,Albert Heijn
473517, Grüner veltliner,"€4,39",2025-03-07,Albert Heijn
586344,Grüner Veltliner borrelwijn 6-pack,"€26,34",2025-03-07,Albert Heijn
447368,Diane de Frion Champagne brut,"€15,99",2025-03-07,Albert Heijn
165201,Moselland Spätlese,"€3,59",2025-03-07,Albert Heijn
425679,Free Feather Merlot Alcoholvrij,"€4,29",2025-03-07,Albert Heijn
584903,Moselland Spätlese 6-pack,"€21,54",2025-03-07,Albert Heijn
