id,title,original_price,scrape_date,store
589024,Dr. Oetker Kwarktaart eigen fruit bakmix,"€3,29",2025-03-07,Albert Heijn
589023,Dr. Oetker Baking time dino cupcakes,"€3,39",2025-03-07,Albert Heijn
523365,AH Extra lang lekker tijger volkoren heel,"€1,29",2025-03-07,Albert Heijn
32494,AH Extra lang lekker witte bollen 10st,"€1,99",2025-03-07,Albert Heijn
569994,AH Kaiserbroodjes,"€0,59",2025-03-07,Albert Heijn
580174,Koopmans Brood uit de pan Italiaans,"€2,79",2025-03-07,Albert Heijn
446412,AH Tijger volkoren heel,"€2,49",2025-03-07,Albert Heijn
582990,AH Extra lang lekker Zaans volkoren heel,"€1,75",2025-03-07,Albert Heijn
112339,AH Extra lang lekker tijger bruin heel,"€1,29",2025-03-07,Albert Heijn
487022,AH Rond volkoren heel,"€1,89",2025-03-07,Albert Heijn
196377,AH Luchtige crackers volkorenmeel,"€1,25",2025-03-07,Albert Heijn
446406,AH Les pains boulogne heel,"€2,29",2025-03-07,Albert Heijn
582991,AH Extra lang lekker Zaans volkoren half,"€0,99",2025-03-07,Albert Heijn
498340,AH Flatbread,"€2,09",2025-03-07,Albert Heijn
568750,AH Flatbread 2-pack,"€4,18",2025-03-07,Albert Heijn
446408,AH Les pains triomphe heel,"€2,29",2025-03-07,Albert Heijn
199378,AH Schnittbroodjes,"€0,99",2025-03-07,Albert Heijn
497624,AH Extra lang lekker mini rozijnenbollen,"€1,79",2025-03-07,Albert Heijn
1622,AH Frans stokbrood,"€1,19",2025-03-07,Albert Heijn
439816,AH Extra lang lekker volkoren bollen 10st,"€1,99",2025-03-07,Albert Heijn
387906,Wasa Volkoren,"€1,95",2025-03-07,Albert Heijn
53734,AH Extra lang lekker tijger bruin half,"€0,75",2025-03-07,Albert Heijn
562106,AH Tijger tarwe maïs heel,"€2,49",2025-03-07,Albert Heijn
523355,AH Extra lang lekker tijger volkoren half,"€0,75",2025-03-07,Albert Heijn
2432,LU Mini crackers olijfolie & oregano,"€2,29",2025-03-07,Albert Heijn
572388,LU Minicrackers olijfolie oregano 3-pack,"€6,87",2025-03-07,Albert Heijn
512388,AH Waldkorn volkoren heel,"€2,39",2025-03-07,Albert Heijn
536153,AH Biologisch Meergranen landbollen,"€1,99",2025-03-07,Albert Heijn
232390,AH Witte pistolets,"€1,49",2025-03-07,Albert Heijn
569850,AH Luxe kaiserbroodjes,"€0,89",2025-03-07,Albert Heijn
490856,AH Liefde & Passie Spelt gesneden,"€3,19",2025-03-07,Albert Heijn
512392,AH Waldkorn volkoren half,"€1,29",2025-03-07,Albert Heijn
36783,AH Tarwebloem,"€0,85",2025-03-07,Albert Heijn
582995,AH Extra lang lekker witte bollen 6st,"€1,59",2025-03-07,Albert Heijn
446405,AH Les pains bastille heel,"€2,29",2025-03-07,Albert Heijn
187619,Van Gilse Poedersuiker,"€1,09",2025-03-07,Albert Heijn
50856,AH Extra lang lekker casino wit half,"€0,90",2025-03-07,Albert Heijn
485689,AH Les pains boulogne half,"€1,25",2025-03-07,Albert Heijn
31584,AH Ciabatta,"€0,89",2025-03-07,Albert Heijn
162512,AH Croissants,"€1,19",2025-03-07,Albert Heijn
62912,LU Mini crackers naturel,"€1,99",2025-03-07,Albert Heijn
584737,LU Mini crackers naturel 3-pack,"€5,97",2025-03-07,Albert Heijn
128919,AH Brabantse eierkoeken,"€2,39",2025-03-07,Albert Heijn
582994,AH Extra lang lekker rozijnen krent bol 6st,"€1,69",2025-03-07,Albert Heijn
490859,AH Liefde & Passie Spelt volkoren gesneden,"€3,19",2025-03-07,Albert Heijn
536152,AH Biologisch Witte landbollen,"€1,99",2025-03-07,Albert Heijn
200973,AH Extra lang lekker tijger wit heel,"€1,29",2025-03-07,Albert Heijn
1623,AH Partymix,"€1,99",2025-03-07,Albert Heijn
112336,AH Extra lang lekker casino wit heel,"€1,49",2025-03-07,Albert Heijn
459023,AH Schnittbroodjes wit,"€1,99",2025-03-07,Albert Heijn
582996,AH Extra lang lekker volkoren bollen 6st,"€1,59",2025-03-07,Albert Heijn
455672,AH Knäckebröd volkoren,"€1,25",2025-03-07,Albert Heijn
32655,AH Mini crackers naturel,"€1,55",2025-03-07,Albert Heijn
232389,AH Bruine pistolets,"€1,49",2025-03-07,Albert Heijn
200582,AH Extra lang lekker bruine bollen,"€1,99",2025-03-07,Albert Heijn
485691,AH Tijger volkoren half,"€1,35",2025-03-07,Albert Heijn
451996,AH Stokbrood kruidenboter,"€1,59",2025-03-07,Albert Heijn
417063,AH Bakkersbollen wit,"€1,89",2025-03-07,Albert Heijn
