id,title,original_price,scrape_date,store
192596,Magnum Mini classic,"€5,89",2025-03-07,Albert Heijn
209562,Ola Raket,"€3,79",2025-03-07,Albert Heijn
514003,Dr. Oetker Ristorante pizza salami,"€2,99",2025-03-07,Albert Heijn
226367,AH Broccoliroosjes,"€1,49",2025-03-07,Albert Heijn
451996,AH Stokbrood kruidenboter,"€1,59",2025-03-07,Albert Heijn
173086,Ben & Jerry's Chocolate fudge brownie,"€6,99",2025-03-07,Albert Heijn
226440,Iglo Spinazie à la crème,"€2,59",2025-03-07,Albert Heijn
562393,Iglo Spinazie a la creme 3-pack,"€7,77",2025-03-07,Albert Heijn
408979,Mora Kipsaté milde pindasaus,"€2,29",2025-03-07,Albert Heijn
429055,AH Kipsate op stokje,"€0,99",2025-03-07,Albert Heijn
474188,Aviko Supercrunch airfryer dunne friet,"€2,89",2025-03-07,Albert Heijn
769,AH Spinazie,"€0,99",2025-03-07,Albert Heijn
376521,AH Zakje met blauwe bessen,"€5,99",2025-03-07,Albert Heijn
425194,AH Biologisch Doosje met wilde blauwe bessen,"€2,99",2025-03-07,Albert Heijn
220407,Mora Oven & airfryer frikandellen,"€2,69",2025-03-07,Albert Heijn
226498,AH Sperziebonen gebroken,"€1,19",2025-03-07,Albert Heijn
376520,AH Zakje met zomerfruit,"€5,35",2025-03-07,Albert Heijn
788,AH Tuinerwten fijn,"€1,09",2025-03-07,Albert Heijn
514005,Dr. Oetker Ristorante pizza margherita,"€3,89",2025-03-07,Albert Heijn
164070,AH Doosje met mangostukjes,"€1,99",2025-03-07,Albert Heijn
553673,AH Biologisch Pompoen stukjes,"€1,89",2025-03-07,Albert Heijn
772,AH Aardappelkroketjes,"€1,39",2025-03-07,Albert Heijn
486429,Iglo Spinazie à la crème,"€1,85",2025-03-07,Albert Heijn
178129,AH Wilde zalmfilet,"€2,99",2025-03-07,Albert Heijn
237604,Koopmans Bladerdeeg origineel,"€1,39",2025-03-07,Albert Heijn
514010,Dr. Oetker Casa di mama pizza salami,"€4,29",2025-03-07,Albert Heijn
408119,Viennetta Vanille,"€3,49",2025-03-07,Albert Heijn
585193,Viennetta Vanille ijstaart 2-pack,"€6,98",2025-03-07,Albert Heijn
533328,AH Biologisch Broccoliroosjes,"€2,19",2025-03-07,Albert Heijn
451124,Ben & Jerry's Cookie dough,"€2,29",2025-03-07,Albert Heijn
585196,Ben & Jerry's Cookie Dough Mini 3-pack,"€6,87",2025-03-07,Albert Heijn
467462,AH Vissticks,"€2,55",2025-03-07,Albert Heijn
445512,AH Zakje met mangostukjes,"€5,49",2025-03-07,Albert Heijn
62761,Dr. Oetker Big Americans pizza Texas,"€4,99",2025-03-07,Albert Heijn
513739,AH Zakje met frambozen,"€4,89",2025-03-07,Albert Heijn
417059,AH Zakje met aardbeien,"€4,65",2025-03-07,Albert Heijn
420327,AH Oven kroket,"€2,75",2025-03-07,Albert Heijn
513999,Dr. Oetker Ristorante pizza mozzarella,"€2,99",2025-03-07,Albert Heijn
409995,AH Biologisch Sperziebonen,"€1,19",2025-03-07,Albert Heijn
765,AH Aardappelschijfjes,"€1,95",2025-03-07,Albert Heijn
579284,AH Aardappelschijfjes 2-pack,"€3,90",2025-03-07,Albert Heijn
164157,Wagner Piccolinis mini pizza salami,"€3,49",2025-03-07,Albert Heijn
162672,AH Doosje met frambozen,"€2,99",2025-03-07,Albert Heijn
409994,AH Biologisch Tuinerwten,"€1,39",2025-03-07,Albert Heijn
382562,AH Tuinerwt fijn,"€1,45",2025-03-07,Albert Heijn
141487,LambWeston Twister fries seasoned,"€2,99",2025-03-07,Albert Heijn
165152,Aviko Supercrunch oven pommes frites,"€2,79",2025-03-07,Albert Heijn
582311,AH Nasi bami groente,"€1,49",2025-03-07,Albert Heijn
429279,Picard Croissants,"€4,99",2025-03-07,Albert Heijn
514008,Dr. Oetker Ristorante pizza salami mozzarella pesto,"€3,89",2025-03-07,Albert Heijn
121475,AH Bloemkoolroosjes voordeelverpakking,"€2,55",2025-03-07,Albert Heijn
67746,AH Bladspinazie grof gesneden,"€1,15",2025-03-07,Albert Heijn
183521,Aviko Aardappelkroketjes,"€2,89",2025-03-07,Albert Heijn
410322,AH Steenoven pizzabodems mini,"€3,65",2025-03-07,Albert Heijn
449579,AH Bladerdeeg roomboter,"€2,19",2025-03-07,Albert Heijn
191460,Mora Loempia kip & ham,"€1,59",2025-03-07,Albert Heijn
513996,Dr. Oetker Ristorante pizza hawaii,"€2,99",2025-03-07,Albert Heijn
489702,AH Airfryer ovenfriet zoete aardappel,"€2,99",2025-03-07,Albert Heijn
579290,AH zoete aardappel airfryer friet 2-pack,"€5,98",2025-03-07,Albert Heijn
408980,Mora Kipsaté pittige pindasaus,"€2,49",2025-03-07,Albert Heijn
538726,Smuldier Vlees compleet,"€1,79",2025-03-07,Albert Heijn
514065,Dr. Oetker Ristorante pizza quattro formaggi,"€3,89",2025-03-07,Albert Heijn
98974,AH Boerenkool deelblokjes,"€0,95",2025-03-07,Albert Heijn
162673,AH Doosje met aardbeien,"€1,59",2025-03-07,Albert Heijn
365661,AH Avocado stukjes,"€1,99",2025-03-07,Albert Heijn
579286,AH Avocado stukjes 2-pack,"€3,98",2025-03-07,Albert Heijn
514004,Dr. Oetker Ristorante pizza pollo,"€3,89",2025-03-07,Albert Heijn
232380,Hebro Saté ajam,"€2,19",2025-03-07,Albert Heijn
444936,AH Pommes duchesse,"€1,99",2025-03-07,Albert Heijn
164069,AH Doosje met ananas stukjes,"€1,99",2025-03-07,Albert Heijn
513998,Dr. Oetker Ristorante pizza tonno,"€2,99",2025-03-07,Albert Heijn
170625,AH Frikandel,"€3,69",2025-03-07,Albert Heijn
583946,AH Frikandel 2-pack,"€7,38",2025-03-07,Albert Heijn
167318,Wagner Piccolinis mini pizza tomaat mozzarella,"€3,49",2025-03-07,Albert Heijn
226366,AH Bloemkoolroosjes,"€1,49",2025-03-07,Albert Heijn
429053,AH Hamburgers,"€2,79",2025-03-07,Albert Heijn
582313,AH Macaroni groente,"€1,49",2025-03-07,Albert Heijn
514806,AH Gepelde edamame boontjes,"€2,39",2025-03-07,Albert Heijn
382563,AH Rode kool met appel,"€1,59",2025-03-07,Albert Heijn
459524,Mora Oven & airfryer hapjes mix,"€4,59",2025-03-07,Albert Heijn
799,AH Lekkerbekjes,"€2,99",2025-03-07,Albert Heijn
441707,AH Doosje met passievruchtblokjes,"€2,79",2025-03-07,Albert Heijn
793,AH Vrieslollies,"€0,99",2025-03-07,Albert Heijn
173815,Aviko Aardappelbolletjes,"€2,49",2025-03-07,Albert Heijn
191096,Iglo Vissticks,"€5,59",2025-03-07,Albert Heijn
237651,Iglo Lekkerbekjes traditioneel,"€8,99",2025-03-07,Albert Heijn
369177,Mora Oven & airfryer rundvlees kroketten,"€4,39",2025-03-07,Albert Heijn
162671,AH Doosje met blauwe bessen,"€2,59",2025-03-07,Albert Heijn
579351,AH Doosje met blauwe bessen 2-pack,"€5,18",2025-03-07,Albert Heijn
170001,AH Doosje met zomerfruit,"€1,99",2025-03-07,Albert Heijn
437046,AH Choco's mini mix,"€2,49",2025-03-07,Albert Heijn
169186,Aviko Oma's smulfriet,"€2,85",2025-03-07,Albert Heijn
590009,Aviko Oma's Smulfriet 3-pack,"€8,55",2025-03-07,Albert Heijn
143764,AH Rosti rondjes,"€1,65",2025-03-07,Albert Heijn
515697,Ben & Jerry's Chocolate fudge brownie,"€2,29",2025-03-07,Albert Heijn
173817,Aviko Aardappel dobbelsteentjes,"€2,69",2025-03-07,Albert Heijn
173814,Aviko Pom' Duchesse,"€2,79",2025-03-07,Albert Heijn
462810,AH Pizza krokante salami,"€2,49",2025-03-07,Albert Heijn
451463,Mora Crispy chick'n original strips,"€3,99",2025-03-07,Albert Heijn
115964,Dr. Oetker Big Americans pizza BBQ chicken,"€4,99",2025-03-07,Albert Heijn
412982,Mora Oven & airfryer kipnuggets,"€4,69",2025-03-07,Albert Heijn
226504,Iglo Lekkerbekje traditioneel,"€4,99",2025-03-07,Albert Heijn
226439,Iglo Spinazie fijn gehakt,"€2,35",2025-03-07,Albert Heijn
445628,Lekker & Anders Turkse pizza,"€2,99",2025-03-07,Albert Heijn
514011,Dr. Oetker Casa di mama pizza quattro formaggi,"€4,29",2025-03-07,Albert Heijn
377911,Mora Oven & airfryer goudse kaassoufflés,"€4,39",2025-03-07,Albert Heijn
538727,Smuldier Kip compleet,"€1,79",2025-03-07,Albert Heijn
533524,AH Biologisch Bloemkoolroosjes,"€2,19",2025-03-07,Albert Heijn
162734,Bonduelle Broccoliroosjes,"€2,35",2025-03-07,Albert Heijn
582492,AH Zoete aardappelblokjes,"€1,59",2025-03-07,Albert Heijn
39619,AH Sperziebonen fijn heel,"€1,19",2025-03-07,Albert Heijn
759,AH Roomijs vanille,"€2,79",2025-03-07,Albert Heijn
514001,Dr. Oetker Ristorante pizza speciale,"€3,89",2025-03-07,Albert Heijn
98976,Ben & Jerry's Cookie dough,"€7,49",2025-03-07,Albert Heijn
585189,Ben & Jerry's Cookie Dough 2-pack,"€14,98",2025-03-07,Albert Heijn
409996,AH Biologisch Boerenkool deelblokjes,"€1,29",2025-03-07,Albert Heijn
513997,Dr. Oetker Ristorante pizza funghi,"€3,89",2025-03-07,Albert Heijn
474126,LambWeston Rustic fries,"€2,99",2025-03-07,Albert Heijn
66162,AH Aardappelpartjes pittige kruiden,"€1,19",2025-03-07,Albert Heijn
191088,Iglo Fishcuisine Bretagne,"€5,99",2025-03-07,Albert Heijn
365662,AH Gegrilde groenten,"€1,99",2025-03-07,Albert Heijn
579287,AH Gegrilde groenten 2-pack,"€3,98",2025-03-07,Albert Heijn
57674,AH IJshoorntjes,"€2,39",2025-03-07,Albert Heijn
162733,Bonduelle Tuinerwtjes,"€2,09",2025-03-07,Albert Heijn
515457,Mars IJsrepen,"€4,59",2025-03-07,Albert Heijn
565959,Topking Kaastengels oven & airfryer oude kaas,"€4,99",2025-03-07,Albert Heijn
587083,Mars IJsrepen 2-pack,"€9,18",2025-03-07,Albert Heijn
209479,Hertog Ijssalon mini drie chocolades,"€1,79",2025-03-07,Albert Heijn
377912,Hebro Sate ajam XL,"€2,49",2025-03-07,Albert Heijn
580674,AH Extra krokante friet,"€2,29",2025-03-07,Albert Heijn
140671,AH Pangasiusfilet,"€4,99",2025-03-07,Albert Heijn
226590,Topking Vlam tosti 2-pack,"€3,49",2025-03-07,Albert Heijn
208268,Aviko Opa's ovenfriet,"€2,99",2025-03-07,Albert Heijn
550146,Viennetta Salted caramel,"€4,65",2025-03-07,Albert Heijn
187167,Iglo Roerbaksensatie pasta kipfilet boursin,"€6,99",2025-03-07,Albert Heijn
231931,Iglo Lekkerbekje sticks,"€3,45",2025-03-07,Albert Heijn
474077,AH Oven partymix,"€6,85",2025-03-07,Albert Heijn
430431,Aviko Mini aardappel kroketjes,"€2,95",2025-03-07,Albert Heijn
195089,Aviko Rösti rondjes naturel,"€2,85",2025-03-07,Albert Heijn
191454,Mora Classics frikandellen,"€2,49",2025-03-07,Albert Heijn
486424,Iglo Spinazie fijn gehakt,"€1,69",2025-03-07,Albert Heijn
371595,AH Garnalen rauw en gepeld,"€4,99",2025-03-07,Albert Heijn
226361,Bonduelle Franse sperzieboontjes zeer fijn,"€2,39",2025-03-07,Albert Heijn
582545,AH Biologisch Doosje met aardbeien,"€1,99",2025-03-07,Albert Heijn
582307,Mora Oven & airfryer frikandellen,"€4,85",2025-03-07,Albert Heijn
538728,Smuldier Pens vlees compleet,"€1,79",2025-03-07,Albert Heijn
409821,Mora Veggie sate in pindasaus,"€2,25",2025-03-07,Albert Heijn
206698,AH Ribbel friet,"€1,75",2025-03-07,Albert Heijn
587052,Bonduelle  Bloemkoolrijst 2-pack,"€4,78",2025-03-07,Albert Heijn
515730,Snickers IJsrepen,"€4,59",2025-03-07,Albert Heijn
550323,AH Doosje met aardbei banaan,"€1,49",2025-03-07,Albert Heijn
508115,LambWeston Burger fries,"€2,99",2025-03-07,Albert Heijn
107,AH Aardappelballetjes,"€1,85",2025-03-07,Albert Heijn
150182,AH Aardappelpartjes knoflook en rozemarijn,"€1,65",2025-03-07,Albert Heijn
