id,title,original_price,scrape_date,store
516936,Coca-Cola Original taste tray,"€20,99",2025-03-07,Albert Heijn
516934,Coca-Cola Zero sugar tray,"€20,99",2025-03-07,Albert Heijn
137739,Coca-Cola Zero sugar,"€2,69",2025-03-07,Albert Heijn
572502,Coca-Cola Zero sugar 4-pack,"€10,76",2025-03-07,Albert Heijn
476710,AH Cola no sugar,"€1,19",2025-03-07,Albert Heijn
140130,Rivella Original,"€2,39",2025-03-07,Albert Heijn
137741,Coca-Cola Zero sugar,"€2,39",2025-03-07,Albert Heijn
2800,Coca-Cola Original taste,"€2,79",2025-03-07,Albert Heijn
123416,AH Mineraalwater koolzuurvrij 6-pack,"€2,29",2025-03-07,Albert Heijn
485568,AH Appelsap,"€1,89",2025-03-07,Albert Heijn
130874,Coca-Cola Original taste,"€2,39",2025-03-07,Albert Heijn
585488,Bar le Duc MinWater KZV 1L 12-pack,"€9,38",2025-03-07,Albert Heijn
476713,Coca-Cola Zero sugar 8-pack,"€5,69",2025-03-07,Albert Heijn
415185,AH Ice tea green koolzuurvrij,"€1,29",2025-03-07,Albert Heijn
47354,AH Vers sap sinaasappel,"€2,49",2025-03-07,Albert Heijn
63922,AH Cola regular,"€1,19",2025-03-07,Albert Heijn
477060,Coca-Cola Original taste 8-pack,"€6,29",2025-03-07,Albert Heijn
436664,Pepsi Zero,"€2,69",2025-03-07,Albert Heijn
171607,Coca-Cola Zero sugar zero caffeïne,"€2,79",2025-03-07,Albert Heijn
137777,AH Mineraalwater koolzuurhoudend,"€0,59",2025-03-07,Albert Heijn
371500,AH Bruisend mineraalwater citroen,"€1,19",2025-03-07,Albert Heijn
375004,Lipton Ice tea green,"€2,89",2025-03-07,Albert Heijn
62198,AH Vers sap sinaasappel,"€3,99",2025-03-07,Albert Heijn
553813,AH Ice tea green zero zonder koolzuur,"€1,29",2025-03-07,Albert Heijn
171022,Taksi Tropisch fruit geen suiker toegevoegd,"€1,89",2025-03-07,Albert Heijn
476866,AH Lemon & lime zero,"€0,99",2025-03-07,Albert Heijn
428729,Fuze Tea Green ice tea,"€2,99",2025-03-07,Albert Heijn
137776,AH Mineraalwater koolzuurvrij 6-pack,"€3,49",2025-03-07,Albert Heijn
132757,Crystal Clear Raspberry & blueberry,"€2,25",2025-03-07,Albert Heijn
161329,Fanta Orange zero sugar,"€2,69",2025-03-07,Albert Heijn
202453,Spa Intense rood bruisend mineraalwater,"€1,09",2025-03-07,Albert Heijn
140123,Royal Club Tonic classic 0% suiker,"€2,39",2025-03-07,Albert Heijn
586252,Royal Club Tonic classic 0% 3-pack,"€7,17",2025-03-07,Albert Heijn
137778,AH Mineraalwater koolzuurhoudend,"€3,49",2025-03-07,Albert Heijn
67752,Crystal Clear Sparkling lemon,"€2,29",2025-03-07,Albert Heijn
177570,Lipton Ice tea sparkling original,"€2,89",2025-03-07,Albert Heijn
563181,Lipton Ice Tea Sparkling 1.5L 4-pack,"€11,56",2025-03-07,Albert Heijn
531001,Karvan Cévitam Original aardbei siroop,"€3,99",2025-03-07,Albert Heijn
130862,Fanta Orange,"€2,15",2025-03-07,Albert Heijn
124420,Taksi Tropisch fruit,"€1,89",2025-03-07,Albert Heijn
511929,Fanta Orange zero sugar,"€2,15",2025-03-07,Albert Heijn
485577,DubbelFrisss 1Kcal Appel & perzik,"€2,69",2025-03-07,Albert Heijn
63923,AH Cola light,"€1,19",2025-03-07,Albert Heijn
379761,AH Mineraalwater koolzuurhoudend 6-pack,"€2,29",2025-03-07,Albert Heijn
428732,Fuze Tea Black Ice Tea Peach Hibiscus,"€2,99",2025-03-07,Albert Heijn
2803,Fanta Orange,"€2,69",2025-03-07,Albert Heijn
389544,Raak Vruchtensiroop frambozen zero sugar,"€3,49",2025-03-07,Albert Heijn
561719,AH Ginger power,"€1,09",2025-03-07,Albert Heijn
369371,Raak Vruchtensiroop multivruchten zero sugar,"€3,09",2025-03-07,Albert Heijn
2799,Coca-Cola Light,"€2,69",2025-03-07,Albert Heijn
550058,Bar-le-Duc Natuurlijk mineraalwater,"€0,99",2025-03-07,Albert Heijn
135687,Crystal Clear Appel- en peersmaak,"€2,25",2025-03-07,Albert Heijn
553872,Sprite Zero sugar lemon-lime,"€2,29",2025-03-07,Albert Heijn
457839,Royal Club Ginger ale 0% suiker,"€2,39",2025-03-07,Albert Heijn
586251,Royal Club Ginger Ale 0% 3-pack,"€7,17",2025-03-07,Albert Heijn
389513,Raak Vruchtensiroop aardbeien zero sugar,"€2,99",2025-03-07,Albert Heijn
448504,E Energy drink,"€0,69",2025-03-07,Albert Heijn
160131,AH Appelsap 6-pack,"€1,89",2025-03-07,Albert Heijn
554753,Fanta Orange zero sugar 8-pack,"€5,99",2025-03-07,Albert Heijn
550295,Bar-le-Duc Natuurlijk mineraal water 6-pack,"€5,89",2025-03-07,Albert Heijn
2739,DubbelDrank Sinaasappel & perzik,"€2,49",2025-03-07,Albert Heijn
573407,Coca-Cola Original taste 4-pack,"€11,16",2025-03-07,Albert Heijn
477062,Pepsi Zero,"€2,19",2025-03-07,Albert Heijn
