id,title,original_price,scrape_date,store
582184,Innocent Ginger,"€5,99",2025-03-07,Albert Heijn
401896,Innocent Super smoothie green antioxidant,"€4,19",2025-03-07,Albert Heijn
197393,AH Bananen tros,"€1,55",2025-03-07,Albert Heijn
94782,AH Mandarijnen,"€0,00",2025-03-07,Albert Heijn
93224,AH Mango,"€0,00",2025-03-07,Albert Heijn
202921,Innocent Juice orange with bits,"€3,69",2025-03-07,Albert Heijn
495314,Chiquita Bananen family pack,"€2,25",2025-03-07,Albert Heijn
80585,AH Witte druiven pitloos,"€2,79",2025-03-07,Albert Heijn
368480,AH Biologisch Fairtrade bananen,"€2,25",2025-03-07,Albert Heijn
123209,AH Elstar zak,"€2,99",2025-03-07,Albert Heijn
100232,AH Rode druiven pitloos,"€2,99",2025-03-07,Albert Heijn
177754,AH Blauwe bessen,"€4,49",2025-03-07,Albert Heijn
129993,AH Zoete kleine appeltjes,"€2,99",2025-03-07,Albert Heijn
67896,AH Handsinaasappelen,"€0,00",2025-03-07,Albert Heijn
117190,Pink Lady Appels schaal,"€0,00",2025-03-07,Albert Heijn
383655,AH Conference schaal,"€2,09",2025-03-07,Albert Heijn
96271,AH Perssinaasappelen,"€0,00",2025-03-07,Albert Heijn
96398,AH Conference schaal,"€0,00",2025-03-07,Albert Heijn
565851,AH Citroen,"€1,39",2025-03-07,Albert Heijn
514605,AH Leanri mandarijnen,"€2,99",2025-03-07,Albert Heijn
490393,SPRANK Appels schaal,"€0,00",2025-03-07,Albert Heijn
188474,AH Biologisch Conference schaal,"€0,00",2025-03-07,Albert Heijn
495931,AH Blauwe bessen,"€6,99",2025-03-07,Albert Heijn
47354,AH Vers sap sinaasappel,"€2,49",2025-03-07,Albert Heijn
229094,AH Sable pitloze blauwe druiven,"€3,29",2025-03-07,Albert Heijn
129399,AH Mango eetrijp,"€3,59",2025-03-07,Albert Heijn
230708,AH Citroen,"€0,69",2025-03-07,Albert Heijn
492393,AH Appelmoes,"€0,85",2025-03-07,Albert Heijn
544086,AH Mango,"€2,49",2025-03-07,Albert Heijn
491168,AH Nederlandse aardbeien,"€5,99",2025-03-07,Albert Heijn
129242,AH Groene kiwi's,"€4,49",2025-03-07,Albert Heijn
106260,AH Mandarijnen groot,"€4,19",2025-03-07,Albert Heijn
388475,AH Granaatappelpitjes,"€2,49",2025-03-07,Albert Heijn
109078,AH Jonagold zak,"€2,99",2025-03-07,Albert Heijn
577892,AH Biologisch Citroenen,"€1,29",2025-03-07,Albert Heijn
129138,AH Frambozen,"€2,79",2025-03-07,Albert Heijn
215318,AH Witte druiven pitloos,"€2,19",2025-03-07,Albert Heijn
62198,AH Vers sap sinaasappel,"€3,99",2025-03-07,Albert Heijn
195431,AH Granny Smith schaal,"€0,00",2025-03-07,Albert Heijn
141,AH Galia meloen,"€2,79",2025-03-07,Albert Heijn
184957,AH Biologisch Gala schaal,"€0,00",2025-03-07,Albert Heijn
128780,AH Appels,"€4,99",2025-03-07,Albert Heijn
189671,Hak Appelmoes extra kwaliteit,"€2,09",2025-03-07,Albert Heijn
129364,Jazz Appels schaal,"€0,00",2025-03-07,Albert Heijn
117193,AH Fuji schaal,"€0,00",2025-03-07,Albert Heijn
857,AH Ananasschijven op sap,"€1,25",2025-03-07,Albert Heijn
376521,AH Zakje met blauwe bessen,"€5,99",2025-03-07,Albert Heijn
48679,AH Nederlandse aardbeien,"€3,99",2025-03-07,Albert Heijn
231211,AH Limoen,"€0,69",2025-03-07,Albert Heijn
425194,AH Biologisch Doosje met wilde blauwe bessen,"€2,99",2025-03-07,Albert Heijn
203861,AH Frambozen,"€4,49",2025-03-07,Albert Heijn
215520,AH Rode druiven pitloos,"€2,29",2025-03-07,Albert Heijn
237311,AH Biologisch Mandarijnen,"€3,19",2025-03-07,Albert Heijn
811,AH Appelmoes 0% suiker toegevoegd,"€0,99",2025-03-07,Albert Heijn
126872,AH Rozijnen zongedroogd,"€2,29",2025-03-07,Albert Heijn
143235,AH Blauwe bessen,"€2,99",2025-03-07,Albert Heijn
519646,AH Limoenen,"€1,79",2025-03-07,Albert Heijn
376520,AH Zakje met zomerfruit,"€5,35",2025-03-07,Albert Heijn
561719,AH Ginger power,"€1,09",2025-03-07,Albert Heijn
164070,AH Doosje met mangostukjes,"€1,99",2025-03-07,Albert Heijn
520318,AH Ananas,"€2,35",2025-03-07,Albert Heijn
444756,AH Elstar schaal,"€0,00",2025-03-07,Albert Heijn
519637,AH Biologisch Blauwe bessen,"€4,39",2025-03-07,Albert Heijn
561718,AH Ginger passion,"€1,09",2025-03-07,Albert Heijn
221526,AH Mini watermeloen,"€3,49",2025-03-07,Albert Heijn
445512,AH Zakje met mangostukjes,"€5,49",2025-03-07,Albert Heijn
519017,AH Biologisch Handsinaasappelen,"€2,39",2025-03-07,Albert Heijn
216517,AH Aardbeien,"€4,19",2025-03-07,Albert Heijn
472497,Pink Lady Pinkids schaal,"€3,99",2025-03-07,Albert Heijn
513739,AH Zakje met frambozen,"€4,89",2025-03-07,Albert Heijn
417059,AH Zakje met aardbeien,"€4,65",2025-03-07,Albert Heijn
62366,AH Vers sap sinaasappel aardbei,"€2,49",2025-03-07,Albert Heijn
107671,AH Cantaloupe meloen,"€2,99",2025-03-07,Albert Heijn
386042,AH Biologisch Nederlandse appels schaal,"€0,00",2025-03-07,Albert Heijn
170798,Kanzi Kanzi schaal,"€0,00",2025-03-07,Albert Heijn
490394,SPRANK Appels zak,"€3,29",2025-03-07,Albert Heijn
569883,CoolBest Fruit drink mango,"€2,29",2025-03-07,Albert Heijn
130276,AH Verse smoothie mango maracuja sinaasap,"€2,59",2025-03-07,Albert Heijn
162672,AH Doosje met frambozen,"€2,99",2025-03-07,Albert Heijn
570997,AH Bloedsinaasappelen,"€0,00",2025-03-07,Albert Heijn
233988,Hak Appelmoes 0%,"€2,49",2025-03-07,Albert Heijn
104110,AH Zoete stoofpeertjes,"€2,49",2025-03-07,Albert Heijn
189672,Hak Appelmoes extra kwaliteit,"€2,99",2025-03-07,Albert Heijn
513596,AH Appelmoes 0% suiker toegevoegd 4-pack,"€1,19",2025-03-07,Albert Heijn
168233,AH Verse ananas grootverpakking,"€3,39",2025-03-07,Albert Heijn
104815,AH Granny Smith zak,"€4,29",2025-03-07,Albert Heijn
209178,AH Biologisch Appel zak,"€3,99",2025-03-07,Albert Heijn
413082,AH Biologisch Medjoul dadels,"€3,69",2025-03-07,Albert Heijn
130275,AH Verse smoothie appel banaan aardbei,"€2,59",2025-03-07,Albert Heijn
56754,AH Ananasstukjes op sap,"€1,25",2025-03-07,Albert Heijn
810,AH Appelmoes 0% suiker toegevoegd,"€1,69",2025-03-07,Albert Heijn
162673,AH Doosje met aardbeien,"€1,59",2025-03-07,Albert Heijn
164069,AH Doosje met ananas stukjes,"€1,99",2025-03-07,Albert Heijn
62190,CoolBest Mango dream,"€3,39",2025-03-07,Albert Heijn
234270,AH Fruitbox peren,"€7,79",2025-03-07,Albert Heijn
443462,AH Biologisch Limoenen,"€1,99",2025-03-07,Albert Heijn
164746,AH Rozijnen,"€1,59",2025-03-07,Albert Heijn
520275,AH Ananas appel druif,"€2,49",2025-03-07,Albert Heijn
161730,AH Medjoul dadels,"€3,49",2025-03-07,Albert Heijn
104114,AH Vers sap appel peer framboos,"€2,49",2025-03-07,Albert Heijn
520300,AH Verse meloenmix,"€2,49",2025-03-07,Albert Heijn
39036,AH Halve perziken op lichte siroop,"€1,89",2025-03-07,Albert Heijn
228606,Hak Taart & vlaaifruit kersen,"€2,99",2025-03-07,Albert Heijn
164749,AH Dadels,"€2,09",2025-03-07,Albert Heijn
441707,AH Doosje met passievruchtblokjes,"€2,79",2025-03-07,Albert Heijn
579452,AH Dadels 2-pack,"€4,18",2025-03-07,Albert Heijn
495928,AH Passievruchten zak,"€3,49",2025-03-07,Albert Heijn
162671,AH Doosje met blauwe bessen,"€2,59",2025-03-07,Albert Heijn
579351,AH Doosje met blauwe bessen 2-pack,"€5,18",2025-03-07,Albert Heijn
170001,AH Doosje met zomerfruit,"€1,99",2025-03-07,Albert Heijn
447162,Kanzi Appels zak,"€3,39",2025-03-07,Albert Heijn
128696,AH Sweet royalla bramen,"€3,49",2025-03-07,Albert Heijn
565909,AH Grapefruits rood,"€2,39",2025-03-07,Albert Heijn
60528,AH Vers sap sinaasappel banaan,"€2,49",2025-03-07,Albert Heijn
185533,AH Partjes perzik op lichte siroop,"€1,69",2025-03-07,Albert Heijn
569888,CoolBest Fruit drink orange,"€2,39",2025-03-07,Albert Heijn
133713,AH Verse ananas stukjes,"€2,50",2025-03-07,Albert Heijn
567581,Chiquita Family Pack bananen 2-pack,"€4,50",2025-03-07,Albert Heijn
164756,AH Cranberries,"€2,15",2025-03-07,Albert Heijn
571711,AH Ananas zonder kroon,"€2,39",2025-03-07,Albert Heijn
