id,title,original_price,scrape_date,store
441986,AH Kattenbak s&s hygiene,"€3,79",2025-03-07,Albert Heijn
568974,AH Kattenbakvulling ex hygiene schep&schoon,"€5,49",2025-03-07,Albert Heijn
568975,AH Kattenbakvulling sensitive schep&schoon,"€2,69",2025-03-07,Albert Heijn
418930,AH Pate gevogelte,"€0,29",2025-03-07,Albert Heijn
418824,AH Pate met rund,"€0,29",2025-03-07,Albert Heijn
418869,AH Paté met rund & lever,"€0,79",2025-03-07,Albert Heijn
106935,Gourmet Gold mousse met tonijn,"€0,89",2025-03-07,Albert Heijn
44175,Gourmet Gold mousse met zalm,"€0,89",2025-03-07,Albert Heijn
418917,AH Pate lam kalkoen,"€0,45",2025-03-07,Albert Heijn
106967,Gourmet Gold mousse met kip,"€0,89",2025-03-07,Albert Heijn
569014,AH Kattenbakvulling houtkorrels,"€3,99",2025-03-07,Albert Heijn
238710,Sheba Mini filets n saus kip & kalkoen,"€0,89",2025-03-07,Albert Heijn
587126,Sheba Mini Filets Kip/Kalkoen 7-pack,"€6,23",2025-03-07,Albert Heijn
418822,AH Paté konijn,"€0,29",2025-03-07,Albert Heijn
482527,Catsan Hygiene plus kattenbakkorrels,"€8,99",2025-03-07,Albert Heijn
587123,"Catsan 11,5 L Kattenbakkorrels 2-pack","€17,98",2025-03-07,Albert Heijn
495783,AH Kattenmelk met omega-3,"€0,89",2025-03-07,Albert Heijn
44138,Gourmet Gold mousse met kalkoen,"€0,89",2025-03-07,Albert Heijn
200513,Gourmet Gold cassolettes met rund & kip,"€0,79",2025-03-07,Albert Heijn
549407,Gourmet Gold malse lekkernijen met kip,"€0,89",2025-03-07,Albert Heijn
549408,Gourmet Gold malse lekkernijen met zeevis,"€0,89",2025-03-07,Albert Heijn
467527,AH Snack strips,"€0,85",2025-03-07,Albert Heijn
418892,AH Blik stoof lam-pasta-groente,"€0,99",2025-03-07,Albert Heijn
514153,Sheba Finesse mousse-zachte pate zalm,"€0,89",2025-03-07,Albert Heijn
587125,Sheba Finesse Mousse Zalm 7-pack,"€6,23",2025-03-07,Albert Heijn
336,AH Blik brokjes wild gevogelte,"€0,79",2025-03-07,Albert Heijn
337,AH Blik brokjes kip kalkoen,"€0,79",2025-03-07,Albert Heijn
236408,Rodi Hondenworst kip en rund,"€1,99",2025-03-07,Albert Heijn
441981,Felix Sensations countryside met rund & kip,"€3,85",2025-03-07,Albert Heijn
467526,AH Honden sticks met rund,"€1,29",2025-03-07,Albert Heijn
184742,Vitakraft Liquid snack zalm & omega,"€3,29",2025-03-07,Albert Heijn
450751,Felix Soup original met kabeljauw tonijn schol,"€2,09",2025-03-07,Albert Heijn
418913,AH Paté met gevogelte & lam,"€0,79",2025-03-07,Albert Heijn
514154,Sheba Finesse mousse-zachte pate kip,"€0,89",2025-03-07,Albert Heijn
226723,AH Kipfiletsnack kleine hond,"€2,19",2025-03-07,Albert Heijn
206626,Vitakraft Cat liquidsnack kip,"€3,19",2025-03-07,Albert Heijn
