id,title,original_price,scrape_date,store
553674,Ariel 3-in-1 pods color wasmiddelcapsules,"€21,99",2025-03-07,Albert Heijn
571073,Everdrop Allesreiniger starter set,"€4,29",2025-03-07,Albert Heijn
584125,AH Keukenpapier sterk & abs 2=3 rollen,"€3,19",2025-03-07,Albert Heijn
571278,AH Toiletpapier 4-laags 12=18 rollen,"€8,89",2025-03-07,Albert Heijn
588932,AH Toiletpapier 4-laags 12=18 rollen 2-pack,"€17,78",2025-03-07,Albert Heijn
576030,Sun Brilliant shine plus vaatwascapsules,"€17,79",2025-03-07,Albert Heijn
63072,Komo Trekbandzakken 60 liter,"€1,99",2025-03-07,Albert Heijn
489313,AH Tissues 2 lagen,"€1,15",2025-03-07,Albert Heijn
562,Glorix Glorix original bleek,"€1,69",2025-03-07,Albert Heijn
584469,AH Keukenpapier sterk 3=6 rollen,"€2,39",2025-03-07,Albert Heijn
571276,AH Toiletpapier 4-laags 6=9 rollen,"€4,69",2025-03-07,Albert Heijn
632,AH Tissues zacht & sterk,"€1,15",2025-03-07,Albert Heijn
474088,AH Vochtige allesreiniger doekjes oceaan,"€1,19",2025-03-07,Albert Heijn
368663,Kleenex Balsam tissues,"€2,29",2025-03-07,Albert Heijn
124113,AH Boterhamzakjes,"€0,99",2025-03-07,Albert Heijn
2870,Komo Huisvuilzakken 60 l,"€2,09",2025-03-07,Albert Heijn
213910,AH Aluminiumfolie,"€2,39",2025-03-07,Albert Heijn
367232,AH Vochtige allesreiniger doekjes citrus,"€1,19",2025-03-07,Albert Heijn
570788,AH Toiletpapier 2-laags 16=24 rollen,"€6,49",2025-03-07,Albert Heijn
648,AH Dikke bleek,"€0,89",2025-03-07,Albert Heijn
55071,AH Treksluitzakken,"€1,49",2025-03-07,Albert Heijn
129279,Glorix Glorix eucalyptus bleek,"€2,49",2025-03-07,Albert Heijn
589391,Glorix Bleek Eucalyptus 2-pack,"€4,98",2025-03-07,Albert Heijn
435506,AH Eco Afval en sanitairzakken 10 liter,"€0,99",2025-03-07,Albert Heijn
405206,Kleenex Family maxi pack tissues,"€3,19",2025-03-07,Albert Heijn
101149,AH Schoonmaakazijn,"€0,69",2025-03-07,Albert Heijn
570812,AH Wasmiddel kleur,"€2,99",2025-03-07,Albert Heijn
480995,AH Eco Pedaalemmerzakken 20 liter,"€2,69",2025-03-07,Albert Heijn
580349,AH Eco Pedaalemmerzakken 20 liter 2-pack,"€5,38",2025-03-07,Albert Heijn
470204,AH Vochtig toiletpapier fresh,"€0,99",2025-03-07,Albert Heijn
136148,AH Diepvrieszakjes met zipsluiting middel,"€1,99",2025-03-07,Albert Heijn
187181,Page Aloe vera vochtig toiletpapier,"€2,19",2025-03-07,Albert Heijn
570789,AH Recycle toiletpapier 3laags 6=9 rollen,"€3,99",2025-03-07,Albert Heijn
570826,Dreft Afwasmiddel max power original,"€4,69",2025-03-07,Albert Heijn
586541,Dreft afwasmiddel max power original 3-pack,"€14,07",2025-03-07,Albert Heijn
479596,AH Classic vaatwastablet,"€3,75",2025-03-07,Albert Heijn
234096,AH Power all in 1 vaatwastab citroen & munt,"€3,49",2025-03-07,Albert Heijn
48585,Nalys Xtra multi-gebruik,"€3,59",2025-03-07,Albert Heijn
57388,Robijn Wasverzachter morgenfris,"€5,59",2025-03-07,Albert Heijn
211029,Robijn Klein & krachtig color,"€13,69",2025-03-07,Albert Heijn
474379,Witte Reus Toiletblok blauw actief hygiene,"€4,29",2025-03-07,Albert Heijn
588228,Witte Reus Blauw Actief 5-pack,"€21,45",2025-03-07,Albert Heijn
409780,AH Vochtige allesreiniger doekjes bloemen,"€1,19",2025-03-07,Albert Heijn
101016,Page Compleet schoon vochtig toiletpapier,"€1,99",2025-03-07,Albert Heijn
163497,Multy Schuursponsen,"€1,29",2025-03-07,Albert Heijn
215112,AH Diepvrieszakjes met zipsluiting groot,"€1,99",2025-03-07,Albert Heijn
567450,AH Diepvrieszakjes groot 2-pack,"€3,98",2025-03-07,Albert Heijn
505213,AH Tissues balsem,"€1,65",2025-03-07,Albert Heijn
136146,AH Pedaalemmerzakken 35 liter,"€2,39",2025-03-07,Albert Heijn
458217,Kleenex Collection tissues,"€1,89",2025-03-07,Albert Heijn
460934,AH Gedemineraliseerd water,"€0,85",2025-03-07,Albert Heijn
232361,Edet Ultra soft 4-laags toiletpapier,"€6,39",2025-03-07,Albert Heijn
214277,Page Sensitive vochtig toiletpapier,"€1,99",2025-03-07,Albert Heijn
417028,Page Shea butter vochtig toiletpapier,"€2,19",2025-03-07,Albert Heijn
136142,AH Aluminiumfolie extra dik,"€3,19",2025-03-07,Albert Heijn
567387,AH Aluminiumfolie extra dik 2-pack,"€6,38",2025-03-07,Albert Heijn
59931,Tempo Original 4-laags zakdoeken,"€2,45",2025-03-07,Albert Heijn
55043,AH Pedaalemmerzakken 25 liter,"€1,29",2025-03-07,Albert Heijn
233499,Edet Ultra soft toiletpapier stro voordeelpak,"€16,99",2025-03-07,Albert Heijn
143920,AH Sanitairzakken met handvatten 10 liter,"€1,29",2025-03-07,Albert Heijn
46224,Kleenex The original tissues,"€2,19",2025-03-07,Albert Heijn
478098,Witte Reus Toiletblok deluxe delicate magnolia,"€4,29",2025-03-07,Albert Heijn
167981,AH Trekbandzakken 120 liter,"€1,69",2025-03-07,Albert Heijn
478095,Witte Reus Toiletblok deluxe lovely jasmin,"€4,29",2025-03-07,Albert Heijn
213912,AH Vershoudfolie,"€1,09",2025-03-07,Albert Heijn
163693,Ajax Allesreiniger eucalyptus,"€3,49",2025-03-07,Albert Heijn
479793,AH Spoelglans,"€1,99",2025-03-07,Albert Heijn
