id,title,original_price,scrape_date,store
476551,Nescafé Dolce Gusto Lungo capsules,"€8,99",2025-03-07,Albert Heijn
523370,Nescafé Dolce Gusto Cafe au lait intenso capsules,"€5,99",2025-03-07,Albert Heijn
1108,AH Halfvolle koffiemelk,"€0,99",2025-03-07,Albert Heijn
173573,AH Halfvolle koffiemelk cups,"€0,45",2025-03-07,Albert Heijn
1109,AH Volle koffiemelk,"€0,99",2025-03-07,Albert Heijn
457767,Starbucks Dolce gusto cappuccino capsules,"€5,49",2025-03-07,Albert Heijn
171156,Perla Huisblends Aroma snelfiltermaling 2-pack voordeel,"€14,59",2025-03-07,Albert Heijn
46529,Pickwick Spices winterglow spices & orange,"€1,99",2025-03-07,Albert Heijn
186751,Pickwick Original English 1 kop value pack,"€2,39",2025-03-07,Albert Heijn
456069,Starbucks Nespresso house blend lungo capsules,"€4,69",2025-03-07,Albert Heijn
124423,Perla Huisblends Classic koffiepads,"€5,39",2025-03-07,Albert Heijn
3706,AH Suikerklontjes,"€1,69",2025-03-07,Albert Heijn
381410,AH Zwarte thee bosvruchten,"€0,79",2025-03-07,Albert Heijn
63783,Pickwick Rooibos original,"€1,89",2025-03-07,Albert Heijn
46794,Friesche Vlag Halvamel,"€0,79",2025-03-07,Albert Heijn
193676,Friesche Vlag Halvamel,"€1,59",2025-03-07,Albert Heijn
575715,Friesche Vlag Halvamel 3-pack,"€4,77",2025-03-07,Albert Heijn
161516,Nescafé Dolce Gusto Cappuccino capsules,"€5,99",2025-03-07,Albert Heijn
3737,Douwe Egberts Aroma rood snelfiltermaling,"€8,15",2025-03-07,Albert Heijn
3708,Pickwick Original English 1 kop,"€1,29",2025-03-07,Albert Heijn
214575,Clipper Lemon & Ginger organic infusion,"€3,69",2025-03-07,Albert Heijn
106661,AH Kruiden kamille,"€1,05",2025-03-07,Albert Heijn
456079,Starbucks Nespresso espresso roast capsules,"€4,69",2025-03-07,Albert Heijn
1487,Perla Huisblends Aroma snelfiltermaling,"€7,69",2025-03-07,Albert Heijn
476548,Nescafé Dolce Gusto Lungo capsules,"€5,99",2025-03-07,Albert Heijn
469353,Clipper Earl grey organic tea,"€3,69",2025-03-07,Albert Heijn
195959,Pickwick Rooibos original value pack,"€3,49",2025-03-07,Albert Heijn
195720,Perla Huisblends Aroma koffiebonen,"€12,79",2025-03-07,Albert Heijn
65775,Pickwick Herbal sterrenmunt,"€1,99",2025-03-07,Albert Heijn
1101,AH Halfvolle koffiemelk,"€0,95",2025-03-07,Albert Heijn
481083,Perla Huisblends Lungo classic capsules,"€4,69",2025-03-07,Albert Heijn
195960,Pickwick Green lemon value pack,"€3,49",2025-03-07,Albert Heijn
225679,Pickwick Tea with fruit variatiebox red,"€1,99",2025-03-07,Albert Heijn
456080,Starbucks Nespresso pike place lungo capsules,"€4,69",2025-03-07,Albert Heijn
481154,Perla Huisblends Lungo dark capsules,"€4,69",2025-03-07,Albert Heijn
187350,Friesche Vlag Goudband volle koffiemelk,"€2,19",2025-03-07,Albert Heijn
523277,Clipper Warming orange cinnamon organic infusion,"€3,69",2025-03-07,Albert Heijn
238687,Perla Biologisch Aroma snelfiltermaling,"€7,99",2025-03-07,Albert Heijn
47098,AH Suikerstaafjes,"€1,29",2025-03-07,Albert Heijn
63782,Pickwick Green lemon,"€1,99",2025-03-07,Albert Heijn
420293,Pickwick Variation box fruit infusion with herbs,"€2,29",2025-03-07,Albert Heijn
495597,Clipper Spicy chai organic infusion,"€3,69",2025-03-07,Albert Heijn
3704,Pickwick Original earl grey 1 kop,"€1,49",2025-03-07,Albert Heijn
485613,Nescafé Farmers origins Brazil capsules,"€3,99",2025-03-07,Albert Heijn
106528,AH Zwarte thee Engelse melange 1 kop,"€0,45",2025-03-07,Albert Heijn
456058,Starbucks Nespresso decaf espresso roast capsules,"€4,69",2025-03-07,Albert Heijn
495593,Clipper Rooibos & orange organic infusion,"€3,69",2025-03-07,Albert Heijn
46030,Becel Romig voor in de koffie,"€1,89",2025-03-07,Albert Heijn
124424,Perla Huisblends Dark roast koffiepads,"€5,39",2025-03-07,Albert Heijn
195854,Pickwick Rooibos mango & peach,"€1,99",2025-03-07,Albert Heijn
456083,Starbucks Nespresso Colombia capsules,"€4,69",2025-03-07,Albert Heijn
456081,Starbucks Nespresso blonde espresso roast capsules,"€4,69",2025-03-07,Albert Heijn
191267,Pickwick Spices autumn storm,"€1,99",2025-03-07,Albert Heijn
458829,AH Biologisch Rooibos puur,"€1,79",2025-03-07,Albert Heijn
580150,AH Biologisch Rooibos puur 3-pack,"€5,37",2025-03-07,Albert Heijn
184982,Lipton Russian earl grey black tea lemon,"€2,99",2025-03-07,Albert Heijn
190201,Pickwick Spices caramelised pear,"€1,99",2025-03-07,Albert Heijn
381413,AH Seizoensthee winter,"€0,85",2025-03-07,Albert Heijn
469382,Zonnatura 100% kamille kruideninfusie,"€2,59",2025-03-07,Albert Heijn
1478,AH Zwarte thee Engelse melange meerkops,"€0,85",2025-03-07,Albert Heijn
130367,Perla Huisblends Decaf koffiepads,"€5,39",2025-03-07,Albert Heijn
216331,AH Zoetjes,"€0,99",2025-03-07,Albert Heijn
508276,Starbucks Nespresso Italian style roast capsules,"€4,69",2025-03-07,Albert Heijn
33963,Perla Huisblends Decaf snelfiltermaling,"€7,99",2025-03-07,Albert Heijn
137823,Perla Huisblends Extra dark roast koffiepads,"€5,39",2025-03-07,Albert Heijn
476550,Nescafé Dolce Gusto Macchiato caramel capsules,"€5,99",2025-03-07,Albert Heijn
127407,illy Classico coffee beans,"€7,69",2025-03-07,Albert Heijn
130368,Perla Huisblends Mokka koffiepads,"€5,39",2025-03-07,Albert Heijn
455878,Café Royal Caramel capsules,"€3,95",2025-03-07,Albert Heijn
508343,AH Biologisch Moment avond melange,"€1,79",2025-03-07,Albert Heijn
161534,Perla Huisblends Aroma koffiebonen,"€6,99",2025-03-07,Albert Heijn
414809,Douwe Egberts Lungo intens capsules,"€5,35",2025-03-07,Albert Heijn
381388,AH Biologisch Groene thee gember sinaasappel,"€1,79",2025-03-07,Albert Heijn
580152,AH Biologisch Groene thee gember sinaasappel 3-pack,"€5,37",2025-03-07,Albert Heijn
191244,Pickwick Green pure,"€1,99",2025-03-07,Albert Heijn
143411,Pickwick Spices minty Morocco,"€1,99",2025-03-07,Albert Heijn
381474,AH Rooibos honing,"€1,09",2025-03-07,Albert Heijn
580149,AH Honing rooibos zoet & intens 3-pack,"€3,27",2025-03-07,Albert Heijn
551440,Starbucks Nespresso smooth caramel capsules,"€4,69",2025-03-07,Albert Heijn
373818,Clipper Snore & peace organic infusion,"€3,69",2025-03-07,Albert Heijn
128423,AH Biologisch Halfvolle koffiemelk,"€1,05",2025-03-07,Albert Heijn
495595,Clipper Chamomile peach organic infusion,"€3,69",2025-03-07,Albert Heijn
381414,AH Seizoensthee herfst,"€0,85",2025-03-07,Albert Heijn
3675,Friesche Vlag Goudband,"€0,95",2025-03-07,Albert Heijn
381411,AH Zwarte thee sinaasappel,"€0,85",2025-03-07,Albert Heijn
485615,Nescafé Cappuccino oploskoffie,"€3,29",2025-03-07,Albert Heijn
238684,Perla Biologisch Espresso koffiebonen,"€7,59",2025-03-07,Albert Heijn
387548,Nescafé Dolce Gusto Cappuccino capsules,"€8,99",2025-03-07,Albert Heijn
183846,Pickwick Green cranberry,"€1,99",2025-03-07,Albert Heijn
455916,Perla Huisblends Dolce gusto lungo capsules,"€4,25",2025-03-07,Albert Heijn
516384,Perla Huisblends Lungo decaf capsules,"€4,69",2025-03-07,Albert Heijn
1107,AH Halfvolle koffiemelk,"€1,85",2025-03-07,Albert Heijn
398370,Clipper Happy mondays organic infusion,"€3,69",2025-03-07,Albert Heijn
481155,Perla Huisblends Espresso dark capsules,"€4,69",2025-03-07,Albert Heijn
1494,Perla Huisblends Aroma snelfiltermaling,"€4,29",2025-03-07,Albert Heijn
229546,Clipper Raspberry & mint organic green tea,"€3,69",2025-03-07,Albert Heijn
1706,Nescafé Espresso original oploskoffie,"€3,69",2025-03-07,Albert Heijn
2348,Van Gilse Mini suikerklontjes,"€1,45",2025-03-07,Albert Heijn
469355,Clipper Lemon organic green tea,"€3,69",2025-03-07,Albert Heijn
381476,AH Rooibos specerijen,"€1,09",2025-03-07,Albert Heijn
171148,Pickwick Tea with fruit variatiebox orange,"€1,99",2025-03-07,Albert Heijn
381295,Perla Huisblends Goud snelfiltermaling,"€4,69",2025-03-07,Albert Heijn
438711,Caffè Gondoliere Espresso extra dark coffee beans,"€9,69",2025-03-07,Albert Heijn
161501,Pickwick Rooibos honey no caffeine,"€1,99",2025-03-07,Albert Heijn
218146,Nescafé Dolce Gusto Lungo intenso capsules,"€5,99",2025-03-07,Albert Heijn
195689,Lavazza Qualità oro koffiebonen,"€12,79",2025-03-07,Albert Heijn
193225,Nescafé Dolce Gusto Café au lait capsules,"€5,99",2025-03-07,Albert Heijn
457852,Pickwick Green orange & mandarin,"€1,99",2025-03-07,Albert Heijn
456042,Clipper Jasmine & lemon organic green tea,"€3,69",2025-03-07,Albert Heijn
430597,Pickwick Green ginger & lemongrass,"€1,99",2025-03-07,Albert Heijn
516299,Pickwick Variation box fruit infusion with herbs,"€2,29",2025-03-07,Albert Heijn
508285,Clipper Earl grey orange organic tea,"€3,69",2025-03-07,Albert Heijn
195024,Starbucks Caramel macchiato,"€1,99",2025-03-07,Albert Heijn
1639,Pickwick Original earl grey meerkops,"€1,99",2025-03-07,Albert Heijn
508312,AH Rooibos mango perzik smaak,"€1,09",2025-03-07,Albert Heijn
580135,AH Rooibos mango perzik smaak 3-pack,"€3,27",2025-03-07,Albert Heijn
