id,title,original_price,scrape_date,store
549262,Glade Geurstokjes refreshing energy,"€9,99",2025-03-07,Albert Heijn
516909,Glade Geurstokjes mind,"€9,99",2025-03-07,Albert Heijn
2856,AH Haardblok,"€2,39",2025-03-07,Albert Heijn
570448,AH Haardblok 10-pack,"€23,90",2025-03-07,Albert Heijn
480624,AH Donatie Voedselbanken Nederland 1 euro,"€1,00",2025-03-07,Albert Heijn
516907,Glade Geurstokjes zen,"€9,99",2025-03-07,Albert Heijn
475849,AH Kartonnen beker wit,"€1,89",2025-03-07,Albert Heijn
624,AH Servetten 2-laags 33x33 cm wit,"€1,99",2025-03-07,Albert Heijn
165036,AH Theelichten 8 branduren,"€4,99",2025-03-07,Albert Heijn
434870,AH Bord 23 cm,"€1,99",2025-03-07,Albert Heijn
559022,AH Aanmaakblokjes wit,"€1,69",2025-03-07,Albert Heijn
481824,AH Latex handschoenen one size,"€1,99",2025-03-07,Albert Heijn
490282,AH Servet wit 1 laags,"€0,99",2025-03-07,Albert Heijn
196807,"AH AAA 1,5V batterijen","€1,79",2025-03-07,Albert Heijn
413922,AH Cocktailprikkers 200 stuks,"€1,39",2025-03-07,Albert Heijn
114143,Varta Longlife power AA alkaline batterijen,"€5,39",2025-03-07,Albert Heijn
80159,De zwaluw Lucifers extra lang,"€1,49",2025-03-07,Albert Heijn
155427,AH Kaarsen aansteker,"€1,99",2025-03-07,Albert Heijn
114142,Varta Longlife power AAA alkaline batterijen,"€5,39",2025-03-07,Albert Heijn
200726,AH Aansteker flex,"€2,29",2025-03-07,Albert Heijn
206871,AH Champagneglas plastic,"€3,39",2025-03-07,Albert Heijn
414011,AH Sateprikkers bamboe 20cm,"€0,99",2025-03-07,Albert Heijn
473600,AH Houten roerstaafjes,"€0,99",2025-03-07,Albert Heijn
155436,AH Huishoudhandschoenen large,"€0,79",2025-03-07,Albert Heijn
441449,Canon Printpapier,"€5,99",2025-03-07,Albert Heijn
434869,AH Gebaksbord 15 cm,"€1,39",2025-03-07,Albert Heijn
166525,"AH AA alkaline 1,5V mignon lange levensduur","€6,99",2025-03-07,Albert Heijn
565479,Duracell Plus AA-alkaline batterijen LR6,"€10,99",2025-03-07,Albert Heijn
478508,AH Bierglazen 300ml,"€1,89",2025-03-07,Albert Heijn
473597,AH Houten vork,"€1,29",2025-03-07,Albert Heijn
466213,AH Elektronische aanstekers,"€1,49",2025-03-07,Albert Heijn
225996,AH Wijnglas facet,"€2,59",2025-03-07,Albert Heijn
566377,AH Maxi theelichten,"€2,99",2025-03-07,Albert Heijn
565463,Duracell Plus AAA-alkaline batterijen LR03,"€10,99",2025-03-07,Albert Heijn
580449,Bolsius Theelicht 8 uurs,"€7,49",2025-03-07,Albert Heijn
413931,AH Tapasprikker 9 cm,"€1,69",2025-03-07,Albert Heijn
514606,AH Servet donkerblauw,"€1,79",2025-03-07,Albert Heijn
514523,AH Servet blad 33cm,"€1,99",2025-03-07,Albert Heijn
136831,AH Alkaline AA batterijen,"€4,29",2025-03-07,Albert Heijn
164793,AH Plakband,"€0,79",2025-03-07,Albert Heijn
90612,Ohropax Oor-wasbolletjes,"€3,59",2025-03-07,Albert Heijn
580521,De zwaluw Lucifers,"€4,29",2025-03-07,Albert Heijn
214269,AH Cakevormpjes,"€1,89",2025-03-07,Albert Heijn
580064,AH Cakevormpjes 2-pack,"€3,78",2025-03-07,Albert Heijn
191755,AH Servetten wit 3-laags,"€1,39",2025-03-07,Albert Heijn
473599,AH Houten mes,"€1,29",2025-03-07,Albert Heijn
584577,Amuse Optifridge bewaardozen 900ml groen,"€9,99",2025-03-07,Albert Heijn
484864,Bolsius Dinerkaars rustiek olijfgroen 27cm,"€1,39",2025-03-07,Albert Heijn
485315,AH Donatie Rode Kruis 1 euro,"€1,00",2025-03-07,Albert Heijn
484830,Bolsius Rustieke kaars ivoor 13cm,"€3,99",2025-03-07,Albert Heijn
483290,Walra Baddoek antraciet 50x100cm,"€8,50",2025-03-07,Albert Heijn
484866,AH Dinerkaars ivoor 8 branduren,"€3,99",2025-03-07,Albert Heijn
514529,AH Servet earthy champ,"€1,79",2025-03-07,Albert Heijn
212958,Hoomark 3-pak Inpakpapier,"€1,59",2025-03-07,Albert Heijn
41468,Farmlight Lampolie helder,"€3,29",2025-03-07,Albert Heijn
481835,Duracell Plus AA-alkaline batterijen LR6,"€7,89",2025-03-07,Albert Heijn
556854,AH Kom rond wit bagasse 500ml,"€1,69",2025-03-07,Albert Heijn
580443,Bolsius Theelicht 6 uurs,"€7,49",2025-03-07,Albert Heijn
409033,De zwaluw Aanmaaklucifers,"€2,39",2025-03-07,Albert Heijn
484753,Bolsius Rustieke kaars ivoor 8cm,"€3,19",2025-03-07,Albert Heijn
484860,Bolsius Dinerkaars rustiek ivoor 27cm,"€1,39",2025-03-07,Albert Heijn
484847,Bolsius Rustieke kaars ivoor 19cm,"€5,99",2025-03-07,Albert Heijn
434996,AH Party cups,"€2,29",2025-03-07,Albert Heijn
129602,AH Boodschappentas,"€1,69",2025-03-07,Albert Heijn
136833,AH C alkaline batterijen,"€1,89",2025-03-07,Albert Heijn
196910,"AH Micro AAA alkaline 1,5V LR03","€6,79",2025-03-07,Albert Heijn
403965,Duracell 2032 Lithium-knoopcelbatterijen CR2032,"€7,69",2025-03-07,Albert Heijn
413907,AH Spuitzak met 5 kunststofmondjes,"€1,49",2025-03-07,Albert Heijn
584578,Amuse Optifridge bewaardozen 1200ml groen,"€8,99",2025-03-07,Albert Heijn
434821,AH Glas facet 240 ml,"€3,49",2025-03-07,Albert Heijn
484838,Bolsius Rustieke kaars olijfgroen 13cm,"€3,99",2025-03-07,Albert Heijn
532954,Bolsius Cleanlight candle gardenia & fig,"€4,99",2025-03-07,Albert Heijn
484865,AH Dinerkaars wit 8 branduren,"€3,99",2025-03-07,Albert Heijn
556666,AH Cocktailprikkers bamboe,"€1,89",2025-03-07,Albert Heijn
114146,Varta Longlife power 9V alkaline batterijen,"€3,29",2025-03-07,Albert Heijn
573652,Bolsius Geurverspreider true scents fresh cotton,"€6,79",2025-03-07,Albert Heijn
576536,Velo Fietsverlichting led bulb,"€4,79",2025-03-07,Albert Heijn
580448,Bolsius Maxi theelichten 10 uurs,"€6,49",2025-03-07,Albert Heijn
466246,Bolsius True scents geurtheelichten oud wood,"€2,99",2025-03-07,Albert Heijn
466205,Bolsius True scents geurtheelichten vanille,"€2,99",2025-03-07,Albert Heijn
396246,Gouda Maxi lichten helder kaarslicht 10 uur,"€7,79",2025-03-07,Albert Heijn
381532,HG Koffiemachine ontkalker citroenzuur,"€5,59",2025-03-07,Albert Heijn
136152,Pokon Bio groene planten voeding,"€3,79",2025-03-07,Albert Heijn
450251,Tesa Duct tape 10m x 50mm,"€3,89",2025-03-07,Albert Heijn
483294,Walra Badlaken antraciet 70x140cm,"€15,95",2025-03-07,Albert Heijn
556853,AH Bord rond wit bagasse 260mm,"€2,49",2025-03-07,Albert Heijn
210006,Flameclub Gasnavulling,"€2,59",2025-03-07,Albert Heijn
514515,AH Beker blad,"€1,99",2025-03-07,Albert Heijn
567149,AH Servetten 2-laags 33x33 cm wit 4-pack,"€7,96",2025-03-07,Albert Heijn
484861,Bolsius Dinerkaars rustiek okergeel 27cm,"€1,39",2025-03-07,Albert Heijn
484862,Bolsius Dinerkaars rustiek antraciet 27cm,"€1,39",2025-03-07,Albert Heijn
484829,Bolsius Rustieke kaars 13cm misty pink,"€3,99",2025-03-07,Albert Heijn
514518,AH Bakje blad,"€1,99",2025-03-07,Albert Heijn
396247,Gouda Waxinelichten 6 branduren,"€7,59",2025-03-07,Albert Heijn
413841,AH Bindtouw rood,"€2,39",2025-03-07,Albert Heijn
481836,Duracell Plus AAA-alkaline batterijen LR03,"€7,89",2025-03-07,Albert Heijn
511848,Varta Knoopcelbatterij lithium CR2032,"€12,49",2025-03-07,Albert Heijn
532953,Bolsius Cleanlight cypress & amber navulling,"€4,99",2025-03-07,Albert Heijn
396230,Gouda Waxinelichten helder kaarslicht 8 uur,"€8,69",2025-03-07,Albert Heijn
470065,Philips Led fil standaard mat E27 60W,"€10,39",2025-03-07,Albert Heijn
561740,Bolsius Navulling clean light bergamot neroli,"€4,99",2025-03-07,Albert Heijn
563564,AH Rustiek 7x13cm wit,"€2,69",2025-03-07,Albert Heijn
570430,AH Haardblok 4-pack,"€9,56",2025-03-07,Albert Heijn
133524,"Vanka-Kawat Satestokjes 17,5 cm","€0,49",2025-03-07,Albert Heijn
136835,AH 9V alkaline batterijen,"€2,19",2025-03-07,Albert Heijn
396233,Gouda Kroonkaarsen ivoor 8 branduren,"€8,79",2025-03-07,Albert Heijn
484827,Bolsius Rustieke kaars olijfgroen 8cm,"€3,19",2025-03-07,Albert Heijn
494812,Pokon Compact potgrond,"€4,49",2025-03-07,Albert Heijn
580454,Bolsius True scents geurglasapple cinnamon 8cm,"€3,79",2025-03-07,Albert Heijn
170680,AH Handschoenen anti-allergie small,"€1,99",2025-03-07,Albert Heijn
441112,AH Elektronische aansteker F2 turbo,"€1,59",2025-03-07,Albert Heijn
484863,Bolsius Dinerkaars rustiek bordeaux 27cm,"€1,39",2025-03-07,Albert Heijn
506368,Bolsius Waxinelichtjes clear cup 6 branduren,"€5,99",2025-03-07,Albert Heijn
213159,Pattex Multi alleslijm,"€4,49",2025-03-07,Albert Heijn
413843,AH Spuitzakken met mondjes,"€4,49",2025-03-07,Albert Heijn
466215,Bolsius True scents maxi geurtheelichten vanille,"€5,29",2025-03-07,Albert Heijn
561748,Bolsius Navulling clean light wit,"€4,89",2025-03-07,Albert Heijn
533218,Bolsius Navulling clean light cedarwood vertiver,"€4,59",2025-03-07,Albert Heijn
556848,AH Shot glaasjes,"€1,59",2025-03-07,Albert Heijn
583043,AH Schaar,"€2,99",2025-03-07,Albert Heijn
583207,AH Tafellaken goud stip 138x220cm,"€5,79",2025-03-07,Albert Heijn
319,Greenminds Schrijfblok A4 gelinieerd,"€2,59",2025-03-07,Albert Heijn
142805, Linda.,"€7,95",2025-03-07,Albert Heijn
221706,De zwaluw Lucifers XXL,"€3,49",2025-03-07,Albert Heijn
356892,Ohropax Soft,"€3,89",2025-03-07,Albert Heijn
484835,Bolsius Rustieke kaars 13cm rood,"€3,99",2025-03-07,Albert Heijn
532941,AH Dinerkaarsen oud roze 8 branduren,"€3,99",2025-03-07,Albert Heijn
573651,Bolsius Geurverspreider true scents magnolia,"€6,79",2025-03-07,Albert Heijn
142791, Donald duck,"€5,95",2025-03-07,Albert Heijn
483108,Walra Baddoek wit 50x100cm,"€8,50",2025-03-07,Albert Heijn
484831,Bolsius Rustieke kaars okergeel 13cm,"€3,99",2025-03-07,Albert Heijn
563567,AH Rustiek 7x8cm wit,"€1,99",2025-03-07,Albert Heijn
573650,Bolsius Geurverspreider true scents vanilla,"€6,79",2025-03-07,Albert Heijn
413935,AH Tapasprikkers 18 cm,"€1,99",2025-03-07,Albert Heijn
486098,Philips Led spot GU10 35W,"€6,89",2025-03-07,Albert Heijn
516901,Bolsius Geurtheelichten fresh cotton,"€2,99",2025-03-07,Albert Heijn
484855,Bolsius Rustieke kaars olijfgroen 19cm,"€5,79",2025-03-07,Albert Heijn
172294,Herriestoppers Oordopjes,"€6,15",2025-03-07,Albert Heijn
366021,Varta Knoopcelbatterij lithium CR2032,"€6,59",2025-03-07,Albert Heijn
480924,AH Knoopcel 2032,"€6,99",2025-03-07,Albert Heijn
586475,Walra Baddoek blauw 50x100cm,"€8,50",2025-03-07,Albert Heijn
136832,AH AAA alkaline batterijen,"€3,99",2025-03-07,Albert Heijn
