id,title,original_price,scrape_date,store
187619,Van Gilse Poedersuiker,"€1,09",2025-03-07,Albert Heijn
410944,AH Verse gnocchi,"€2,99",2025-03-07,Albert Heijn
514003,Dr. Oetker Ristorante pizza salami,"€2,99",2025-03-07,Albert Heijn
435163,AH Pizzadeeg,"€1,99",2025-03-07,Albert Heijn
134027,AH Pizzadeeg tomatensaus,"€2,19",2025-03-07,Albert Heijn
199771,AH Worstenbroodjes,"€1,85",2025-03-07,Albert Heijn
226973,AH Italiaanse lasagne verspakket,"€5,89",2025-03-07,Albert Heijn
236874,AH Poffertjes,"€1,79",2025-03-07,Albert Heijn
383671,AH Banaan spelt pancakes,"€2,39",2025-03-07,Albert Heijn
120332,AH Pastasaus tomaat mascarpone,"€2,49",2025-03-07,Albert Heijn
31392,AH Bapao rundvlees,"€1,09",2025-03-07,Albert Heijn
56027,AH Tagliatelle all' uovo,"€2,29",2025-03-07,Albert Heijn
33018,AH Bapao kip,"€1,09",2025-03-07,Albert Heijn
62699,AH Verse tortelloni verdi ricotta e spinaci,"€2,39",2025-03-07,Albert Heijn
198386,AH Tomatensoep met witte stippen verspakket,"€4,59",2025-03-07,Albert Heijn
233440,AH Curry madras verspakket,"€5,89",2025-03-07,Albert Heijn
3453,Koopmans Mix voor pannenkoeken origineel,"€1,09",2025-03-07,Albert Heijn
514005,Dr. Oetker Ristorante pizza margherita,"€3,89",2025-03-07,Albert Heijn
166560,AH Erwtensoep verspakket,"€3,99",2025-03-07,Albert Heijn
133275,AH Aardappelpuree,"€1,79",2025-03-07,Albert Heijn
59296,AH Verse ravioli formaggio e pomodoro,"€2,39",2025-03-07,Albert Heijn
168206,AH Spaghetti all' uovo,"€2,29",2025-03-07,Albert Heijn
524337,AH Focaccia mozzarella,"€2,59",2025-03-07,Albert Heijn
142435,AH Verse ravioli 5 formaggio,"€2,39",2025-03-07,Albert Heijn
514010,Dr. Oetker Casa di mama pizza salami,"€4,29",2025-03-07,Albert Heijn
62761,Dr. Oetker Big Americans pizza Texas,"€4,99",2025-03-07,Albert Heijn
513999,Dr. Oetker Ristorante pizza mozzarella,"€2,99",2025-03-07,Albert Heijn
525358,AH Cappelletti prosciutto crudo,"€2,39",2025-03-07,Albert Heijn
120877,AH Salade erbij caesar mix,"€4,29",2025-03-07,Albert Heijn
164157,Wagner Piccolinis mini pizza salami,"€3,49",2025-03-07,Albert Heijn
495901,AH Gesneden verspakket oosterse nasi,"€6,89",2025-03-07,Albert Heijn
140715,AH American pancakes naturel,"€1,99",2025-03-07,Albert Heijn
386308,Magioni Bloemkool pizzabodem,"€3,99",2025-03-07,Albert Heijn
514008,Dr. Oetker Ristorante pizza salami mozzarella pesto,"€3,89",2025-03-07,Albert Heijn
202678,AH Aardappelgratin naturel,"€2,65",2025-03-07,Albert Heijn
120328,AH Bapao kipsate,"€1,19",2025-03-07,Albert Heijn
410322,AH Steenoven pizzabodems mini,"€3,65",2025-03-07,Albert Heijn
407552,Van Gilse Schenkstroop,"€1,99",2025-03-07,Albert Heijn
418284,AH Verse pureersoep tomaat oregano,"€4,29",2025-03-07,Albert Heijn
513996,Dr. Oetker Ristorante pizza hawaii,"€2,99",2025-03-07,Albert Heijn
130455,AH Pannenkoeken naturel,"€2,89",2025-03-07,Albert Heijn
169846,AH Poffertjes naturel,"€1,99",2025-03-07,Albert Heijn
55960,AH Quiche lorraine,"€3,99",2025-03-07,Albert Heijn
514065,Dr. Oetker Ristorante pizza quattro formaggi,"€3,89",2025-03-07,Albert Heijn
564706,AH Terra Plantaardige kleine salade quinoa noten,"€3,29",2025-03-07,Albert Heijn
514004,Dr. Oetker Ristorante pizza pollo,"€3,89",2025-03-07,Albert Heijn
434655,AH Mexicaanse burritos verspakket,"€5,89",2025-03-07,Albert Heijn
513998,Dr. Oetker Ristorante pizza tonno,"€2,99",2025-03-07,Albert Heijn
