id,title,original_price,scrape_date,store
590419,Hero Jam Zero Aardbeien 2-pack,"€6,78",2025-03-07,Albert Heijn
588919,Hero Jam blauwe bessen zero,"€3,19",2025-03-07,Albert Heijn
196377,AH Luchtige crackers volkorenmeel,"€1,25",2025-03-07,Albert Heijn
506228,AH Zuivelspread naturel,"€1,39",2025-03-07,Albert Heijn
382538,AH Biologisch Maiswafels met zeezout,"€0,89",2025-03-07,Albert Heijn
560658,AH Cottage cheese light,"€0,99",2025-03-07,Albert Heijn
387906,Wasa Volkoren,"€1,95",2025-03-07,Albert Heijn
58082,AH Biologisch Roomboter ongezouten,"€3,59",2025-03-07,Albert Heijn
445419,Kips Vega paté vol en smeuig,"€2,49",2025-03-07,Albert Heijn
442123,AH Filet americain naturel,"€1,89",2025-03-07,Albert Heijn
113356,Eru Kids,"€1,69",2025-03-07,Albert Heijn
478229,Eru Goudkuipje naturel,"€2,85",2025-03-07,Albert Heijn
2432,LU Mini crackers olijfolie & oregano,"€2,29",2025-03-07,Albert Heijn
572388,LU Minicrackers olijfolie oregano 3-pack,"€6,87",2025-03-07,Albert Heijn
48405,AH Volkoren havermout fijne vlokken,"€0,75",2025-03-07,Albert Heijn
3856,Eru Goudkuipje naturel,"€1,69",2025-03-07,Albert Heijn
3579,Calvé Pindakaas pot,"€3,79",2025-03-07,Albert Heijn
166916,Brinta Volkoren graanontbijt,"€2,15",2025-03-07,Albert Heijn
578464,Brinta 3-pack,"€6,45",2025-03-07,Albert Heijn
168655,Zonnatura Maïswafels,"€0,95",2025-03-07,Albert Heijn
477554,Bolletje Echte beschuit,"€0,99",2025-03-07,Albert Heijn
579436,AH Smeerkaas naturel volromig,"€1,25",2025-03-07,Albert Heijn
579437,AH Smeerkaas naturel 20+,"€1,25",2025-03-07,Albert Heijn
49816,Blue Band Goede start met calcium,"€1,95",2025-03-07,Albert Heijn
1565,AH Ontbijtspek,"€3,25",2025-03-07,Albert Heijn
567122,AH Ontbijtspek 2-pack,"€6,50",2025-03-07,Albert Heijn
62912,LU Mini crackers naturel,"€1,99",2025-03-07,Albert Heijn
584737,LU Mini crackers naturel 3-pack,"€5,97",2025-03-07,Albert Heijn
48307,Campina Botergoud ongezouten grasboter,"€4,79",2025-03-07,Albert Heijn
587373,Campina Botergoud grasboter 2-pack,"€9,58",2025-03-07,Albert Heijn
456379,AH Dunne maiswafels paprika 4-pack,"€1,49",2025-03-07,Albert Heijn
506230,AH Zuivelspread knoflook & kruiden,"€1,39",2025-03-07,Albert Heijn
1608,AH Hagelslag puur,"€2,59",2025-03-07,Albert Heijn
476433,Flower Farm Smeren zonder palmolie,"€3,19",2025-03-07,Albert Heijn
193236,AH Roomboter ongezouten,"€3,35",2025-03-07,Albert Heijn
578701,AH Roomboter ongezouten 3-pack,"€10,05",2025-03-07,Albert Heijn
543387,AH Runder rookvlees,"€2,99",2025-03-07,Albert Heijn
162009,Wahid Wahid kipfilet,"€2,69",2025-03-07,Albert Heijn
442765,Bolletje Volkoren beschuit,"€1,09",2025-03-07,Albert Heijn
400468,AH Biologisch Cottage cheese,"€1,29",2025-03-07,Albert Heijn
455672,AH Knäckebröd volkoren,"€1,25",2025-03-07,Albert Heijn
32655,AH Mini crackers naturel,"€1,55",2025-03-07,Albert Heijn
470652,AH Greenfields Carpaccio truffelmayo,"€3,99",2025-03-07,Albert Heijn
3826,Blue Band Halvarine palmolievrij voordeelpak,"€2,19",2025-03-07,Albert Heijn
560663,AH Kruidenboter,"€1,35",2025-03-07,Albert Heijn
564827,AH Terra Plantaardig 100% pindakaas naturel,"€2,69",2025-03-07,Albert Heijn
220739,Calvé Pindakaas pot,"€4,75",2025-03-07,Albert Heijn
532238,Becel Light palmolievrij voordeelpak,"€3,99",2025-03-07,Albert Heijn
569985,AH Volkoren havermout fijne vlokken,"€1,49",2025-03-07,Albert Heijn
202746,Maza Hoemoes,"€2,25",2025-03-07,Albert Heijn
1607,AH Hagelslag melk,"€2,59",2025-03-07,Albert Heijn
395531,AH Dunne maïswafels met zeezout,"€1,49",2025-03-07,Albert Heijn
58492,AH Biologisch Rijstwafels naturel,"€0,75",2025-03-07,Albert Heijn
438961,AH Terra Plantaardige hummus naturel,"€1,39",2025-03-07,Albert Heijn
563730,AH Honing vloeibaar mild en zoet,"€2,75",2025-03-07,Albert Heijn
457697,Snelle Jelle Kruidkoek naturel 5-pack,"€2,75",2025-03-07,Albert Heijn
587698,Snelle Jelle Kruidkoek Naturel 3-pack,"€8,25",2025-03-07,Albert Heijn
382537,AH Biologisch Maiswafels met zeezout langwerpig,"€1,49",2025-03-07,Albert Heijn
578654,AH Biologisch Maiswafels met zeezout langwerpig 3-pack,"€4,47",2025-03-07,Albert Heijn
167428,Hero B'tween mueslireep melkchocolade,"€2,19",2025-03-07,Albert Heijn
587043,Hero B'tween mueslireep melkchocolade 3-pack,"€6,57",2025-03-07,Albert Heijn
193451,Johma Kip-samba salade,"€2,99",2025-03-07,Albert Heijn
166805,AH Dikke rijstwafels met zeezout,"€0,89",2025-03-07,Albert Heijn
217850,AH Ontbijtkoek volkoren gesneden,"€1,39",2025-03-07,Albert Heijn
456492,AH Rijstwafels melkchocolade,"€1,75",2025-03-07,Albert Heijn
119026,AH Choco spread duo,"€2,95",2025-03-07,Albert Heijn
509354,AH Mini maiswafels paprika smaak,"€1,59",2025-03-07,Albert Heijn
479581,AH Hagelslag mix,"€3,29",2025-03-07,Albert Heijn
214674,Blue Band Iedere dag vloeibaar voordeelfles,"€3,09",2025-03-07,Albert Heijn
220401,AH Biologisch Ontbijtspek,"€2,99",2025-03-07,Albert Heijn
217848,AH Ontbijtkoek naturel gesneden,"€1,45",2025-03-07,Albert Heijn
