id,title,original_price,scrape_date,store
589073,Trek Protein oat bars biscoff,"€3,79",2025-03-07,Albert Heijn
566877,Nakd. Protein bars cocoa hazelnut,"€3,79",2025-03-07,Albert Heijn
471641,AH Snoepgroente tomaat,"€3,29",2025-03-07,Albert Heijn
502305,AH Snoepgroente komkommer,"€2,29",2025-03-07,Albert Heijn
490796,AH Snoepgroente tomaat,"€2,19",2025-03-07,Albert Heijn
99084,Unox Good noodles kip,"€2,09",2025-03-07,Albert Heijn
196377,AH Luchtige crackers volkorenmeel,"€1,25",2025-03-07,Albert Heijn
382538,AH Biologisch Maiswafels met zeezout,"€0,89",2025-03-07,Albert Heijn
502289,AH Snoepgroente paprikamix,"€2,29",2025-03-07,Albert Heijn
387906,Wasa Volkoren,"€1,95",2025-03-07,Albert Heijn
394821,AH Snoepgroente worteltjes,"€0,89",2025-03-07,Albert Heijn
502389,AH Biologisch Snoepgroente tomaat,"€3,79",2025-03-07,Albert Heijn
2432,LU Mini crackers olijfolie & oregano,"€2,29",2025-03-07,Albert Heijn
572388,LU Minicrackers olijfolie oregano 3-pack,"€6,87",2025-03-07,Albert Heijn
544086,AH Mango,"€2,49",2025-03-07,Albert Heijn
168655,Zonnatura Maïswafels,"€0,95",2025-03-07,Albert Heijn
477554,Bolletje Echte beschuit,"€0,99",2025-03-07,Albert Heijn
465601,AH Snoepgroente tomaat,"€5,99",2025-03-07,Albert Heijn
62912,LU Mini crackers naturel,"€1,99",2025-03-07,Albert Heijn
584737,LU Mini crackers naturel 3-pack,"€5,97",2025-03-07,Albert Heijn
388475,AH Granaatappelpitjes,"€2,49",2025-03-07,Albert Heijn
456379,AH Dunne maiswafels paprika 4-pack,"€1,49",2025-03-07,Albert Heijn
520805,AH Snoepgroente tomatenmix,"€2,19",2025-03-07,Albert Heijn
442765,Bolletje Volkoren beschuit,"€1,09",2025-03-07,Albert Heijn
455672,AH Knäckebröd volkoren,"€1,25",2025-03-07,Albert Heijn
32655,AH Mini crackers naturel,"€1,55",2025-03-07,Albert Heijn
435427,AH Snoepgroente worteltjes,"€2,99",2025-03-07,Albert Heijn
425567,Danoontje Knijpyoghurt aardbei,"€0,99",2025-03-07,Albert Heijn
548937,Danoontje Knijpyoghurt aardbei 5-pack,"€4,95",2025-03-07,Albert Heijn
216244,Melkunie Breaker banaan yoghurt,"€1,59",2025-03-07,Albert Heijn
167880,AH Knijpfruit appel-aardbei,"€1,89",2025-03-07,Albert Heijn
216238,Melkunie Breaker aardbei yoghurt,"€1,59",2025-03-07,Albert Heijn
395531,AH Dunne maïswafels met zeezout,"€1,49",2025-03-07,Albert Heijn
58492,AH Biologisch Rijstwafels naturel,"€0,75",2025-03-07,Albert Heijn
182915,AH Knijpfruit appel banaan,"€1,89",2025-03-07,Albert Heijn
457697,Snelle Jelle Kruidkoek naturel 5-pack,"€2,75",2025-03-07,Albert Heijn
587698,Snelle Jelle Kruidkoek Naturel 3-pack,"€8,25",2025-03-07,Albert Heijn
382537,AH Biologisch Maiswafels met zeezout langwerpig,"€1,49",2025-03-07,Albert Heijn
