id,title,original_price,scrape_date,store
486626,Alpro Variatie op kwark zonder suikers,"€2,49",2025-03-07,Albert Heijn
556302,Alpro Plantaardige variatie op kwark mango,"€2,89",2025-03-07,Albert Heijn
412158,Oatly! Haver barista edition,"€2,89",2025-03-07,Albert Heijn
587254,Oatly! Barista Edition 1L 4-pack,"€11,56",2025-03-07,Albert Heijn
445419,Kips Vega paté vol en smeuig,"€2,49",2025-03-07,Albert Heijn
146485,Garden Gourmet Oosterse wokblokjes,"€3,69",2025-03-07,Albert Heijn
565765,AH Terra Plantaardige sojadrink ongezoet,"€0,89",2025-03-07,Albert Heijn
138500,AH Terra Plantaardig halvarine goed begin,"€1,39",2025-03-07,Albert Heijn
565766,AH Terra Plantaardige amandeldrink ongezoet,"€1,69",2025-03-07,Albert Heijn
462463,AH Terra Plantaardige haverdrink ongezoet,"€1,39",2025-03-07,Albert Heijn
461862,Alpro Barista haver,"€2,49",2025-03-07,Albert Heijn
555350,Alpro Barista haver 4-pack,"€9,96",2025-03-07,Albert Heijn
518423,Alpro Mild & creamy zonder suikers,"€2,99",2025-03-07,Albert Heijn
188227,Alpro Sojadrink original,"€1,99",2025-03-07,Albert Heijn
562392,Alpro Sojadrink original 4-pack,"€7,96",2025-03-07,Albert Heijn
127490,AH Terra Plantaardig smeerbaar light,"€1,35",2025-03-07,Albert Heijn
429566,AH Terra Plantaardig vloeibaar basis,"€1,95",2025-03-07,Albert Heijn
570848,Alpro Barista kokos,"€2,69",2025-03-07,Albert Heijn
572133,Alpro Barista kokosnoot 4-pack,"€10,76",2025-03-07,Albert Heijn
570853,Oatly! Bio barista haver,"€2,89",2025-03-07,Albert Heijn
564796,AH Terra Plantaardig rulgehakt,"€1,69",2025-03-07,Albert Heijn
114698,Alpro Sojadrink zonder suikers,"€1,99",2025-03-07,Albert Heijn
143547,Valess Vegetarische Gouda schnitzel,"€3,69",2025-03-07,Albert Heijn
445420,Kips Vega smeerworst kleintje,"€2,09",2025-03-07,Albert Heijn
510243,AH Terra Plantaardige soja gurt ongezoet,"€1,49",2025-03-07,Albert Heijn
220748,Alpro Amandeldrink geroosterd zonder suikers,"€3,19",2025-03-07,Albert Heijn
564600,Alpro Amandeldrink zonder suikers 4-pack,"€12,76",2025-03-07,Albert Heijn
564897,AH Terra Plantaardige biologische tofu naturel,"€1,45",2025-03-07,Albert Heijn
401934,Oatly! Haverdrank bio,"€2,85",2025-03-07,Albert Heijn
474614,AH Terra Plantaardige soja kwark ongezoet,"€1,49",2025-03-07,Albert Heijn
196169,Alpro Mild & creamy vanille smaak,"€2,99",2025-03-07,Albert Heijn
475112,Vivera Vegetarische kaas schnitzel,"€3,19",2025-03-07,Albert Heijn
556299,AH Terra Plantaardig kokos gurt ongezoet,"€1,99",2025-03-07,Albert Heijn
580545,AH Terra Plantaardige kipstukjes,"€3,35",2025-03-07,Albert Heijn
437544,Alpro Barista soja,"€2,69",2025-03-07,Albert Heijn
568163,Alpro Barista soja 4-pack,"€10,76",2025-03-07,Albert Heijn
169919,Alpro Plantaardig variatie blauwe bosbes,"€2,69",2025-03-07,Albert Heijn
145350,Alpro Plantaardige variatie op yoghurt nature,"€2,09",2025-03-07,Albert Heijn
507382,Flower Farm Goed voor het hart zonder palmolie,"€3,19",2025-03-07,Albert Heijn
580544,AH Terra Plantaardige kipstukjes,"€1,99",2025-03-07,Albert Heijn
564798,AH Terra Plantaardig rulgehakt,"€2,49",2025-03-07,Albert Heijn
429611,AH Roomboter met plantaardige olie ongezout,"€2,95",2025-03-07,Albert Heijn
489284,AH Terra Plantaardige grillworst,"€1,99",2025-03-07,Albert Heijn
397372,AH Terra Plantaardige balletjes,"€1,69",2025-03-07,Albert Heijn
570842,AH Terra Plantaardige barista haver,"€1,69",2025-03-07,Albert Heijn
164566,Alpro Sojadrink rode vruchten,"€2,69",2025-03-07,Albert Heijn
412173,Zonnatura Amandeldrink ongezoet,"€3,39",2025-03-07,Albert Heijn
581570,Alpro Sojadrink rode vruchten 4-pack,"€10,76",2025-03-07,Albert Heijn
457669,Beyond Meat Plant-based burger,"€4,49",2025-03-07,Albert Heijn
397382,Vivera Plantaardige kipkrokant schnitzel,"€3,29",2025-03-07,Albert Heijn
518443,Alpro Mild & creamy naturel,"€2,99",2025-03-07,Albert Heijn
462556,Kips Vega smeerworst tuinkruiden,"€2,49",2025-03-07,Albert Heijn
475227,Oatly! Haverdrank vol,"€2,59",2025-03-07,Albert Heijn
587273,Oatly! Haverdrank Vol Gekoeld 1L 4-pack,"€10,36",2025-03-07,Albert Heijn
461863,Alpro Plantaardige variatie vla vanillesmaak,"€1,89",2025-03-07,Albert Heijn
564793,AH Terra Falafel,"€1,59",2025-03-07,Albert Heijn
447631,Alpro Haverdrink zonder suikers,"€2,79",2025-03-07,Albert Heijn
581564,Alpro Haverdrink zonder suikers 4-pack,"€11,16",2025-03-07,Albert Heijn
509552,AH Terra Plantaardige plakken mild,"€1,65",2025-03-07,Albert Heijn
395069,Alpro Mild & creamy kokosnoot,"€2,99",2025-03-07,Albert Heijn
236488,Heinz Sandwich spread naturel,"€2,29",2025-03-07,Albert Heijn
383521,AH Terra Plantaardige rijst drink naturel,"€1,79",2025-03-07,Albert Heijn
407970,Alpro Plantaardige kwark naturel,"€2,49",2025-03-07,Albert Heijn
133171,Valess Vegetarische schnitzel,"€3,79",2025-03-07,Albert Heijn
226705,Vegetarische Slager Vegan kipstuckjes,"€4,29",2025-03-07,Albert Heijn
113391,Alpro Sojadrink banaan,"€2,69",2025-03-07,Albert Heijn
581569,Alpro Sojadrink banaan 4-pack,"€10,76",2025-03-07,Albert Heijn
96640,Alpro Plantaardig variatie perzik,"€2,69",2025-03-07,Albert Heijn
415707,AH Terra Plantaardige amandeldrink ongezoet,"€1,69",2025-03-07,Albert Heijn
202747,Maza Baba anoesh,"€2,19",2025-03-07,Albert Heijn
570915,AH Terra Plantaardig alternatief crème fraîche,"€0,85",2025-03-07,Albert Heijn
548464,Oatly! Haverdrank halfvol calcium,"€2,59",2025-03-07,Albert Heijn
493518,Beyond Meat Hack,"€4,29",2025-03-07,Albert Heijn
489128,Oatly! Haver barista edition,"€1,99",2025-03-07,Albert Heijn
224738,Alpro Kokosnootdrink original,"€3,19",2025-03-07,Albert Heijn
581566,Alpro Kokosnootdrink original 4-pack,"€12,76",2025-03-07,Albert Heijn
522402,AH Terra Plantaardig groentespread paprika,"€1,99",2025-03-07,Albert Heijn
498197,AH Terra Plantaardige soja gurt aardbei,"€0,99",2025-03-07,Albert Heijn
121227,Alpro Sojadrink original gekoeld,"€2,69",2025-03-07,Albert Heijn
56349,AH Terra Plantaardige margarine,"€0,99",2025-03-07,Albert Heijn
237280,Alpro Plantaardig variatie kers,"€2,69",2025-03-07,Albert Heijn
414982,Vegetarische Slager Vegan petit filet americain,"€2,49",2025-03-07,Albert Heijn
46003,Alpro Sojadrink chocolade,"€2,69",2025-03-07,Albert Heijn
429563,AH Terra Plantaardig vloeibaar balans,"€1,89",2025-03-07,Albert Heijn
578998,AH Terra Plantaardig vloeibaar balans 2-pack,"€3,78",2025-03-07,Albert Heijn
127488,AH Terra Plantaardig smeerbaar balans,"€1,79",2025-03-07,Albert Heijn
561002,AH Terra Plantaardig smashed avocado,"€2,29",2025-03-07,Albert Heijn
564898,AH Terra Tofu,"€2,09",2025-03-07,Albert Heijn
108650,Alpro Sojadrink vanille smaak,"€2,79",2025-03-07,Albert Heijn
581571,Alpro Sojadrink vanille 4-pack,"€11,16",2025-03-07,Albert Heijn
397381,Vegetarische Slager Vegan rul gehackt,"€3,69",2025-03-07,Albert Heijn
564865,AH Terra Plantaardige schnitzel,"€1,69",2025-03-07,Albert Heijn
564890,AH Terra Falafel,"€2,49",2025-03-07,Albert Heijn
493117,Garden Gourmet Smeerworst,"€2,39",2025-03-07,Albert Heijn
586891,Garden Gourmet smeerworst Naturel 7-pack,"€16,73",2025-03-07,Albert Heijn
389626,Vegetarische Slager Boterhamworst,"€1,69",2025-03-07,Albert Heijn
