id,title,original_price,scrape_date,store
435685,Stegeman Fuet ambachtelijk,"€3,65",2025-03-07,Albert Heijn
570169,Stegeman Fuet knoflook basilicum,"€3,99",2025-03-07,Albert Heijn
526381,Lay's Naturel,"€2,19",2025-03-07,Albert Heijn
526382,Lay's Paprika,"€2,19",2025-03-07,Albert Heijn
217297,AH Groene pesto,"€2,99",2025-03-07,Albert Heijn
570168,Stegeman Fuet oude kaas,"€3,99",2025-03-07,Albert Heijn
2432,LU Mini crackers olijfolie & oregano,"€2,29",2025-03-07,Albert Heijn
572388,LU Minicrackers olijfolie oregano 3-pack,"€6,87",2025-03-07,Albert Heijn
170655,AH Groene pesto,"€1,15",2025-03-07,Albert Heijn
516968,Lay's Max paprika,"€2,39",2025-03-07,Albert Heijn
448457,AH Chips naturel,"€0,99",2025-03-07,Albert Heijn
62912,LU Mini crackers naturel,"€1,99",2025-03-07,Albert Heijn
584737,LU Mini crackers naturel 3-pack,"€5,97",2025-03-07,Albert Heijn
516967,Lay's Max naturel,"€2,39",2025-03-07,Albert Heijn
57521,Doritos Nacho cheese,"€2,05",2025-03-07,Albert Heijn
457644,Lay's Oven baked roasted paprika,"€2,19",2025-03-07,Albert Heijn
397907,AH Terra Walnoten ongebrand,"€2,69",2025-03-07,Albert Heijn
568214,AH Walnoten ongebrand 2-pack,"€5,38",2025-03-07,Albert Heijn
233277,Pringles Paprika,"€2,59",2025-03-07,Albert Heijn
32655,AH Mini crackers naturel,"€1,55",2025-03-07,Albert Heijn
233276,Pringles Original,"€2,59",2025-03-07,Albert Heijn
196226,Chio Heartbreakers classic,"€1,99",2025-03-07,Albert Heijn
586001,Chio Heartbreakers classic 3-pack,"€5,97",2025-03-07,Albert Heijn
449006,AH Tortilla chips naturel,"€0,79",2025-03-07,Albert Heijn
574596,Lay's Max paprika,"€2,99",2025-03-07,Albert Heijn
229807,Lay's Bugles nacho cheese,"€2,09",2025-03-07,Albert Heijn
574349,Lay's Max naturel,"€2,99",2025-03-07,Albert Heijn
3256,LU Tuc original,"€0,99",2025-03-07,Albert Heijn
584738,LU TUC Original 3-pack,"€2,97",2025-03-07,Albert Heijn
