id,title,original_price,scrape_date,store
387934,Always Discreet verband voor urineverlies,"€4,59",2025-03-07,Albert Heijn
497127,Always Discreet inlegkruisjes voor urineverlies,"€3,89",2025-03-07,Albert Heijn
489313,AH Tissues 2 lagen,"€1,15",2025-03-07,Albert Heijn
632,AH Tissues zacht & sterk,"€1,15",2025-03-07,Albert Heijn
211047,Aquafresh Freshmint 3-in-1 bescherming tandpasta,"€1,29",2025-03-07,Albert Heijn
208446,Andrélon Special oil & care shampoo,"€6,19",2025-03-07,Albert Heijn
368663,Kleenex Balsam tissues,"€2,29",2025-03-07,Albert Heijn
405206,Kleenex Family maxi pack tissues,"€3,19",2025-03-07,Albert Heijn
446596,Care Soft wattenstaafjes,"€0,89",2025-03-07,Albert Heijn
418828,Care Hand soap almond,"€1,09",2025-03-07,Albert Heijn
505213,AH Tissues balsem,"€1,65",2025-03-07,Albert Heijn
458217,Kleenex Collection tissues,"€1,89",2025-03-07,Albert Heijn
553430,Prodent Cool mint tandpasta,"€1,75",2025-03-07,Albert Heijn
59931,Tempo Original 4-laags zakdoeken,"€2,45",2025-03-07,Albert Heijn
46224,Kleenex The original tissues,"€2,19",2025-03-07,Albert Heijn
418862,Care Hand soap hygiene,"€1,09",2025-03-07,Albert Heijn
60750,Kleenex Balsam zakdoekjes,"€2,29",2025-03-07,Albert Heijn
446598,Care Organic wattenschijfjes,"€1,19",2025-03-07,Albert Heijn
476140,AH Inlegkruisje normal,"€0,99",2025-03-07,Albert Heijn
470436,Care Hand soap hygiene navulling,"€1,39",2025-03-07,Albert Heijn
177112,Elmex Junior tandpasta 5-12 jaar,"€3,99",2025-03-07,Albert Heijn
551113,Oral-B Pro-expert bescherming tandpasta,"€4,69",2025-03-07,Albert Heijn
586577,Oral-B Pro-expert bescherming tandpasta 4-pack,"€18,76",2025-03-07,Albert Heijn
417953,Parodontax Original tandpasta,"€5,79",2025-03-07,Albert Heijn
564743,Parodontax Original 4-pack,"€23,16",2025-03-07,Albert Heijn
510779,Tempo Original box 4-laags zakdoeken,"€2,49",2025-03-07,Albert Heijn
169064,Andrélon Classic shampoo iedere dag,"€5,09",2025-03-07,Albert Heijn
505041,AH Tissues extra zacht & sterk 4 lagen,"€1,89",2025-03-07,Albert Heijn
224830,Dove Men+care clean comfort deodorant spray,"€5,49",2025-03-07,Albert Heijn
46191,AH Ultra normaal,"€1,09",2025-03-07,Albert Heijn
553429,Oral-B 3D white vitalize tandpasta,"€4,65",2025-03-07,Albert Heijn
586576,Oral-B 3D white vitalize tandpasta 4-pack,"€18,60",2025-03-07,Albert Heijn
406458,Elmex Sensitive tandpasta,"€5,99",2025-03-07,Albert Heijn
446336,Care Maxi wattenschijfjes,"€0,95",2025-03-07,Albert Heijn
1814,Libresse Ultra regular+ wing maandverband,"€2,65",2025-03-07,Albert Heijn
80823,Dove Original deodorant spray,"€5,49",2025-03-07,Albert Heijn
187345,AH Inlegkruisje extra large,"€0,95",2025-03-07,Albert Heijn
177113,Elmex Anti-cariës tandpasta,"€4,99",2025-03-07,Albert Heijn
384970,Oral-B 3D White luxe perfection tandpasta,"€5,49",2025-03-07,Albert Heijn
128990,AH Ultra night met vleugels,"€1,35",2025-03-07,Albert Heijn
177111,Elmex Anti-cariës 0-5 jaar tandpasta,"€3,99",2025-03-07,Albert Heijn
418271,Kleenex Ultra soft tissues,"€2,39",2025-03-07,Albert Heijn
175606,Jordan Dental sticks fluoride mint extra thin,"€3,25",2025-03-07,Albert Heijn
200281,Colgate Caries protection tandpasta,"€2,49",2025-03-07,Albert Heijn
177757,Unicura Balans antibacterieel handzeep,"€3,29",2025-03-07,Albert Heijn
214641,Sensodyne Fresh mint tandpasta,"€4,55",2025-03-07,Albert Heijn
564740,Sensodyne Fresh Mint 4-pack,"€18,20",2025-03-07,Albert Heijn
172058, Wattenstaafjes hout,"€0,69",2025-03-07,Albert Heijn
211051,Aquafresh Intense white tandpasta,"€3,99",2025-03-07,Albert Heijn
209101,Always Extra protect long plus inlegkruisje,"€2,99",2025-03-07,Albert Heijn
586685,Always Dailies Extra Protect Long plus 3-pack,"€8,97",2025-03-07,Albert Heijn
127798,Dove Invisible dry deodorant spray,"€5,69",2025-03-07,Albert Heijn
476232,AH Inlegkruisjes large zacht & comfortabel,"€0,99",2025-03-07,Albert Heijn
211048,Aquafresh Tandsteen controle tandpasta,"€2,09",2025-03-07,Albert Heijn
42616,Gillette Gevoelige huid scheergel,"€3,55",2025-03-07,Albert Heijn
446599,Care organic Wattenstaafjes,"€1,19",2025-03-07,Albert Heijn
586592,Gillette Gevoelige huid scheergel 4-pack,"€14,20",2025-03-07,Albert Heijn
115590,Axe Dark temptation anti-transpirant spray,"€4,99",2025-03-07,Albert Heijn
63275,Libresse String inlegkruisjes,"€2,79",2025-03-07,Albert Heijn
88085,Odorex Natural fresh deodorant roller,"€3,29",2025-03-07,Albert Heijn
159476,Libresse Regular inlegkruisjes,"€2,75",2025-03-07,Albert Heijn
429156,GUM Soft-Picks Regular,"€7,39",2025-03-07,Albert Heijn
557041,Andrélon Oil & care conditioner met arganolie,"€5,29",2025-03-07,Albert Heijn
477776,Colgate Triple action extra whitening tandpasta,"€2,69",2025-03-07,Albert Heijn
571246,Dove Deeply nourishing douchegel,"€8,95",2025-03-07,Albert Heijn
589442,Dove Deeply nourishing douchegel 4-pack,"€35,80",2025-03-07,Albert Heijn
151712,Andrélon Classic shampoo hair & body men,"€5,39",2025-03-07,Albert Heijn
476138,AH Ultra normal met vleugels,"€1,69",2025-03-07,Albert Heijn
209280,Prodent Tandpasta freshgel,"€2,75",2025-03-07,Albert Heijn
502176,Always Ultra secure night extra wings,"€2,99",2025-03-07,Albert Heijn
49503,Libresse Ultra regular maandverband,"€2,79",2025-03-07,Albert Heijn
56062,NIVEA Shower oil,"€7,69",2025-03-07,Albert Heijn
220545,NIVEA Reinigingsdoekjes droge/gevoelige huid,"€4,99",2025-03-07,Albert Heijn
589450,Andrélon Oil & Care 4-pack,"€24,76",2025-03-07,Albert Heijn
123464,Rexona Maxpro clean anti-transpirant stick,"€9,99",2025-03-07,Albert Heijn
187203,Etos Ovale maxi wattenschijfjes,"€0,95",2025-03-07,Albert Heijn
589443,Rexona Maxpro Clean Deo 4-pack,"€39,96",2025-03-07,Albert Heijn
209097,Always Fresh normal fresh scent inlegkruisje,"€2,99",2025-03-07,Albert Heijn
188624,L'Oréal Paris Elvive Color-vive shampoo,"€6,39",2025-03-07,Albert Heijn
190220,NIVEA Men sport fresh effect shower gel,"€5,49",2025-03-07,Albert Heijn
177758,Unicura Balans anti bacterieel handzeep navul,"€2,89",2025-03-07,Albert Heijn
429663,Dove Invisible care deodorant spray,"€6,29",2025-03-07,Albert Heijn
551111,Oral-B Pro-expert gevoeligheid tandpasta,"€4,69",2025-03-07,Albert Heijn
46199,AH Tampons normal,"€1,45",2025-03-07,Albert Heijn
387798,Tena Lights sensitive long inlegkruisjes,"€3,79",2025-03-07,Albert Heijn
484311,Tempo Natural & soft box 4-laags zakdoeken,"€2,49",2025-03-07,Albert Heijn
553082,Sanex Zero% hydrating douchegel alle huidtypes,"€5,85",2025-03-07,Albert Heijn
575955,Prodent Tandpasta Mario kids 0-6 jaar,"€3,29",2025-03-07,Albert Heijn
191611,Demak'Up Expert ronde wattenschijfjes,"€2,59",2025-03-07,Albert Heijn
56949,Palmolive Naturals melk & amandel,"€2,99",2025-03-07,Albert Heijn
96488,Andrélon Shampoo & conditioner 2 in 1,"€4,89",2025-03-07,Albert Heijn
224571,o.b. ProComfort tampons super plus,"€2,99",2025-03-07,Albert Heijn
141254,Tena Discreet ultra mini plus inlegkruisjes,"€4,19",2025-03-07,Albert Heijn
575954,Prodent Tandpasta Mario junior 6-13 jaar,"€3,29",2025-03-07,Albert Heijn
176354,Dove Men+care clean comfort douchegel,"€7,15",2025-03-07,Albert Heijn
113549,Jordan Dental sticks,"€3,25",2025-03-07,Albert Heijn
30874,Libresse Ultra night wing maandverband,"€2,79",2025-03-07,Albert Heijn
406067,Etos Handzeep lotus & waterlilly,"€1,85",2025-03-07,Albert Heijn
80635,Always Ultra day normal wings maandverband,"€2,99",2025-03-07,Albert Heijn
415046,o.b. ProComfort tampons normaal,"€5,59",2025-03-07,Albert Heijn
200282,Colgate Fresh gel fluoride tandpasta,"€2,39",2025-03-07,Albert Heijn
88040,Rexona Men cobalt dry anti-transpirant spray,"€5,99",2025-03-07,Albert Heijn
194005,Libresse Dailies extra long inlegkruisjes,"€2,75",2025-03-07,Albert Heijn
539289,Always Maandverband organic cotton normal plus,"€3,09",2025-03-07,Albert Heijn
473800,Jordan Tandpasta Kids 0-5 jaar,"€1,99",2025-03-07,Albert Heijn
417403,Care Shampoo iedere dag peach,"€0,99",2025-03-07,Albert Heijn
80961,Dove Go fresh cucumber anti-transpirant spray,"€4,89",2025-03-07,Albert Heijn
469102,AH Hygiënische zakjes,"€0,69",2025-03-07,Albert Heijn
169078,Andrélon Shampoo glans,"€4,65",2025-03-07,Albert Heijn
550545,Oral-B Pro-expert intense reiniging tandpasta,"€4,69",2025-03-07,Albert Heijn
67595,Kotex Maxi nacht,"€1,89",2025-03-07,Albert Heijn
124042,Libresse Maxi goodnight wing maandverband,"€2,79",2025-03-07,Albert Heijn
165943,Rexona Men maxpro clean anti-transpirant stick,"€9,99",2025-03-07,Albert Heijn
67761,Dove Deeply nourishing verzorgende handzeep,"€3,69",2025-03-07,Albert Heijn
571410,Care Hand soap kitchen navulling,"€1,39",2025-03-07,Albert Heijn
553091,Sanex Expert skin health sensitive douchegel,"€5,99",2025-03-07,Albert Heijn
87585,NIVEA Crème soft douchecrème,"€4,69",2025-03-07,Albert Heijn
539558,Head & Shoulders Classic shampoo,"€7,69",2025-03-07,Albert Heijn
571252,Dove Nourishing silk douchegel,"€8,95",2025-03-07,Albert Heijn
586664,Head & Shoulders Classic shampoo 4-pack,"€30,76",2025-03-07,Albert Heijn
215096,Always Ultra secure night wings maandverband,"€2,99",2025-03-07,Albert Heijn
121036,NIVEA Men cool kick anti transpirant spray,"€5,49",2025-03-07,Albert Heijn
428694,L'Oréal Paris Elvive Dream lengths shampoo,"€7,29",2025-03-07,Albert Heijn
169059,Andrélon Classic shampoo perfecte krul,"€5,29",2025-03-07,Albert Heijn
473805,Zendium Classic,"€4,99",2025-03-07,Albert Heijn
469000,Always Inlegkruisjes bio cotton normal,"€4,75",2025-03-07,Albert Heijn
83285,NIVEA Pearl & beauty anti transpirant spray,"€5,69",2025-03-07,Albert Heijn
154784,Always Ultra day normal maandverband,"€2,99",2025-03-07,Albert Heijn
414716,Aquafresh Cool mint tandpasta voor gezonde tanden,"€2,89",2025-03-07,Albert Heijn
473801,Jordan Tandpasta Junior 6-12 jaar,"€1,99",2025-03-07,Albert Heijn
579282,Aquafresh Cool mint 4-pack,"€11,56",2025-03-07,Albert Heijn
42442,Vaseline Petroleum jelly original,"€3,49",2025-03-07,Albert Heijn
56118,Dove Beauty cream bar,"€6,39",2025-03-07,Albert Heijn
60518,Rexona Ultra dry cotton anti-transpirant spray,"€5,99",2025-03-07,Albert Heijn
505349,AH Zakdoekjes balsem,"€2,39",2025-03-07,Albert Heijn
214397,Sensodyne Gentle whitening tandpasta,"€5,99",2025-03-07,Albert Heijn
216686,AH Maxi normal maandverband,"€1,09",2025-03-07,Albert Heijn
185074,Dove Men+care invisible dry deodorant spray,"€5,49",2025-03-07,Albert Heijn
476139,AH Ultra long,"€1,59",2025-03-07,Albert Heijn
555114,Care Ultra sensitive skin gezichtsdoekjes,"€1,25",2025-03-07,Albert Heijn
553428,Colgate Triple action xtra fresh tandpasta,"€2,69",2025-03-07,Albert Heijn
224836,Dove Men+care extra fresh deodorant spray,"€4,69",2025-03-07,Albert Heijn
399873,Elmex Sensitive professional repair & prevent,"€6,99",2025-03-07,Albert Heijn
211046,Aquafresh White & shine tandpasta,"€3,99",2025-03-07,Albert Heijn
428695,L'Oréal Paris Elvive Conditioner dream lengths,"€7,29",2025-03-07,Albert Heijn
46198,AH Tampons super,"€1,45",2025-03-07,Albert Heijn
512070,Marcel's Green Soap Handzeep orange & jasmin navulling,"€4,79",2025-03-07,Albert Heijn
224832,Axe Africa deodorant bodyspray,"€7,49",2025-03-07,Albert Heijn
565712,NIVEA Men dry impact deodorant spray,"€5,69",2025-03-07,Albert Heijn
125184,Rexona Men dry quantum anti-transpirant spray,"€5,99",2025-03-07,Albert Heijn
383563,Andrélon Special kokos boost shampoo,"€5,85",2025-03-07,Albert Heijn
177936,Listerine Mondwater total care,"€7,99",2025-03-07,Albert Heijn
370878,Sensodyne Proglasur daily protection tandpasta,"€6,19",2025-03-07,Albert Heijn
446078,Care Nagellakremover,"€1,09",2025-03-07,Albert Heijn
42878,Oral-B Essential floss,"€2,19",2025-03-07,Albert Heijn
406459,Elmex Sensitive professional tandpasta,"€6,89",2025-03-07,Albert Heijn
82822,Tempo Complete care 4-laags zakdoeken,"€3,09",2025-03-07,Albert Heijn
557051,Andrélon Iedere dag conditioner,"€4,25",2025-03-07,Albert Heijn
374638,Tena Discreet maxi night maandverband,"€4,59",2025-03-07,Albert Heijn
384124,Colgate Triple action medium tandenborstels,"€3,49",2025-03-07,Albert Heijn
215097,Always Ultra secure night wings maandverband,"€5,89",2025-03-07,Albert Heijn
441450,Odorex Marine fresh roller,"€2,85",2025-03-07,Albert Heijn
458367,Care Tandenborstels medium 4 pack,"€1,19",2025-03-07,Albert Heijn
384325,Care Mondwater cool mint,"€1,49",2025-03-07,Albert Heijn
179751,Always Ultra day long wings maandverband,"€2,99",2025-03-07,Albert Heijn
378911,Yoni Maandverband van biokatoen heavy,"€4,69",2025-03-07,Albert Heijn
415066,o.b. ProComfort tampons super,"€5,59",2025-03-07,Albert Heijn
451115,AH Tampons super plus,"€0,79",2025-03-07,Albert Heijn
175066,NIVEA Black & white original deodorant spray,"€6,29",2025-03-07,Albert Heijn
209136,Always Fresh normal 0% perfume inlegkruisje,"€2,99",2025-03-07,Albert Heijn
221543,Palmolive Elke dag met kamille-extract shampoo,"€2,19",2025-03-07,Albert Heijn
166821,Syoss Spray max hold,"€8,99",2025-03-07,Albert Heijn
378910,Yoni Maandverband van biokatoen medium,"€4,69",2025-03-07,Albert Heijn
415045,o.b. ProComfort tampons normaal,"€2,99",2025-03-07,Albert Heijn
557043,Andrélon Perfecte krul conditioner met arganolie,"€5,19",2025-03-07,Albert Heijn
584758,Yoni Maandverband Medium bio 3-pack,"€14,07",2025-03-07,Albert Heijn
387933,Always Discreet verband voor urineverlies,"€4,59",2025-03-07,Albert Heijn
