id,title,original_price,scrape_date,store
375414,Canesten Gyno 1 zachte capsule,"€17,99",2025-03-07,Albert Heijn
425404,Canesten Skin crème,"€12,59",2025-03-07,Albert Heijn
191239,AH Paracetamol 500mg,"€1,49",2025-03-07,Albert Heijn
115456,Etos Paracetamol 500 mg,"€1,49",2025-03-07,Albert Heijn
353155,AH Ibuprofen,"€2,39",2025-03-07,Albert Heijn
194260,Canesten Gyno crème,"€15,59",2025-03-07,Albert Heijn
90857,Etos Neusspray volwassenen,"€3,89",2025-03-07,Albert Heijn
560851,AH Protein bar melk choco pinda karamel,"€1,39",2025-03-07,Albert Heijn
505200,Liga Proteine reep pinda,"€3,25",2025-03-07,Albert Heijn
590125,Liga Proteine reep Pinda 2-pack,"€0,00",2025-03-07,Albert Heijn
160355,AH Paracetamol 500mg tabletten,"€0,69",2025-03-07,Albert Heijn
211953,AH Neusspray xylometazoline,"€3,89",2025-03-07,Albert Heijn
407165,Nature Valley Protein pinda & chocolade repen,"€3,99",2025-03-07,Albert Heijn
524468,AH Proteine crisps paprika,"€1,69",2025-03-07,Albert Heijn
407166,Nature Valley Protein salted caramel & pinda repen,"€3,99",2025-03-07,Albert Heijn
588985,Nature Valley Protein repen 3-pack,"€11,97",2025-03-07,Albert Heijn
174509,Etos Paracetamol ovale tabletten 500 mg,"€0,99",2025-03-07,Albert Heijn
437461,Etos Paracetamol tablet 500 mg,"€2,39",2025-03-07,Albert Heijn
35686,Dextro Energy citroen,"€2,39",2025-03-07,Albert Heijn
193438,AA Drink High energy,"€1,29",2025-03-07,Albert Heijn
531037,O2Life Redfruit cranberry,"€1,85",2025-03-07,Albert Heijn
485134,AH Kinderneusspray xylometazoline,"€3,69",2025-03-07,Albert Heijn
207521,AA Drink High energy,"€0,99",2025-03-07,Albert Heijn
71579,Etos Kinderparacetamol zetpillen 240 mg,"€2,79",2025-03-07,Albert Heijn
505201,Liga Proteine reep cranberry,"€3,25",2025-03-07,Albert Heijn
414028,Barebells Protein bar cookies & cream,"€2,89",2025-03-07,Albert Heijn
160354,AH Paracetamol/Coffeïne 500/50 mg tabletten,"€1,69",2025-03-07,Albert Heijn
376093,Active O2 Apple kiwi,"€1,39",2025-03-07,Albert Heijn
174489,Etos Kinderneusspray 2-6 jaar,"€3,69",2025-03-07,Albert Heijn
518840,Body & Fit Smart protein chips paprika flavour,"€1,69",2025-03-07,Albert Heijn
208158,Etos Vitamine C 1500 bruistabletten citroen,"€2,99",2025-03-07,Albert Heijn
71565,Etos Alcohol 70%,"€2,35",2025-03-07,Albert Heijn
548170,Barebells Soft protein bar caramel choco,"€2,89",2025-03-07,Albert Heijn
485200,AH Paracetamol 500mg liquid caps,"€2,29",2025-03-07,Albert Heijn
