id,title,original_price,scrape_date,store
395522,Peijnenburg Ontbijtkoek glutenvrij ongesneden,"€3,65",2025-03-07,Albert Heijn
419899,Wasa Glutenvrij en lactosevrij classic,"€3,75",2025-03-07,Albert Heijn
416967,AH Glutenvrij Brood donker meerzaden half,"€3,59",2025-03-07,Albert Heijn
416956,AH Glutenvrij Brood bruin half,"€3,59",2025-03-07,Albert Heijn
407789,AH Glutenvrij Volkoren havermout,"€2,79",2025-03-07,Albert Heijn
579000,AH Glutenvrij Volkoren havermout 2-pack,"€5,58",2025-03-07,Albert Heijn
228420,Schär Meesterbakker classic,"€3,15",2025-03-07,Albert Heijn
228422,Schär Meesterbakker mehrkorn,"€3,29",2025-03-07,Albert Heijn
456008,Wasa Sesame & sea salt glutenvrij,"€4,49",2025-03-07,Albert Heijn
494240,AH Glutenvrij Vezelrijk knäckebröd,"€2,99",2025-03-07,Albert Heijn
407958,AH Glutenvrij Fusilli,"€1,39",2025-03-07,Albert Heijn
550449,AH Glutenvrij Italiaanse bol,"€2,99",2025-03-07,Albert Heijn
579007,AH Glutenvrij Italiaanse bol 2-pack,"€5,98",2025-03-07,Albert Heijn
188968,Eat Natural Fruit & nut bars amandel & abrikoos,"€3,39",2025-03-07,Albert Heijn
228424,Schär Mini baguette glutenvrij,"€2,15",2025-03-07,Albert Heijn
416957,AH Glutenvrij Brood licht meerzaden half,"€3,59",2025-03-07,Albert Heijn
571989,Schär Flatbreads,"€3,29",2025-03-07,Albert Heijn
388651,Eat Natural Protein packed repen pinda's & chocolade,"€3,39",2025-03-07,Albert Heijn
228451,Schär Wraps,"€3,49",2025-03-07,Albert Heijn
228417,AH Glutenvrij Crackers,"€1,49",2025-03-07,Albert Heijn
199611,Schär Salinis,"€1,39",2025-03-07,Albert Heijn
494410,AH Glutenvrij Mueslireep chocolade,"€2,39",2025-03-07,Albert Heijn
228406,Schär Crackers glutenvrij,"€3,59",2025-03-07,Albert Heijn
396034,Eat Natural Super granola boekweit gluten free,"€4,19",2025-03-07,Albert Heijn
228421,Schär Meesterbakker vital,"€3,39",2025-03-07,Albert Heijn
539586,Iglo Glutenvrije lekkerbekjes gepaneerd,"€6,49",2025-03-07,Albert Heijn
494118,AH Glutenvrij Vezelrijke zadencrackers,"€2,99",2025-03-07,Albert Heijn
408452,AH Glutenvrij Spaghetti,"€1,39",2025-03-07,Albert Heijn
516683,Schär Kaiser brötchen glutenvrij,"€3,15",2025-03-07,Albert Heijn
581463,AH Glutenvrij Croissants,"€3,29",2025-03-07,Albert Heijn
585619,Koopmans Pannenkoeken glutenvrij,"€2,29",2025-03-07,Albert Heijn
199619,Schär Ciabatta glutenvrij,"€2,99",2025-03-07,Albert Heijn
237617,Consenza Bladerdeeg,"€6,69",2025-03-07,Albert Heijn
407845,AH Glutenvrij Stroopwafels,"€3,89",2025-03-07,Albert Heijn
482619,Barilla Penne Rigate glutenvrij,"€3,99",2025-03-07,Albert Heijn
407854,AH Glutenvrij Speculaas,"€2,59",2025-03-07,Albert Heijn
400917,Grand' Italia Penne glutenvrij,"€3,99",2025-03-07,Albert Heijn
395080,Verkade Glutenvrije oaties,"€3,49",2025-03-07,Albert Heijn
507916,BioToday Vegan choco bar kokos,"€3,99",2025-03-07,Albert Heijn
494108,Schär Madeleines,"€3,99",2025-03-07,Albert Heijn
199601,Schär Bon matin glutenvrij,"€3,19",2025-03-07,Albert Heijn
494530,AH Glutenvrij Vezelrijke bran flakes,"€2,99",2025-03-07,Albert Heijn
456005,Schär Melto pocket glutenvrij,"€1,15",2025-03-07,Albert Heijn
408042,Schär Meergranenbroodjes glutenvrij,"€3,15",2025-03-07,Albert Heijn
497604,AH Glutenvrij Witte bollen,"€1,79",2025-03-07,Albert Heijn
199621,Schär Fette croccanti,"€2,15",2025-03-07,Albert Heijn
474971,AH Glutenvrij Afbakbroodjes,"€2,29",2025-03-07,Albert Heijn
482616,Nairn's Original flatbread glutenfree,"€3,39",2025-03-07,Albert Heijn
400916,Grand' Italia Fusilli glutenvrij,"€3,99",2025-03-07,Albert Heijn
417053,Iglo Vissticks glutenvrij,"€6,49",2025-03-07,Albert Heijn
494242,AH Glutenvrij Krokante muesli met noten,"€2,99",2025-03-07,Albert Heijn
231967,Consenza Frikandellen,"€4,99",2025-03-07,Albert Heijn
494121,AH Glutenvrij Vezelrijke macaroni,"€2,19",2025-03-07,Albert Heijn
378230,Schär Digestive landtaler glutenvrij,"€2,19",2025-03-07,Albert Heijn
407835,Nairn's Originele volkorencrackers glutenvrij,"€2,89",2025-03-07,Albert Heijn
495975,Schnitzer Baguette grainy,"€2,49",2025-03-07,Albert Heijn
582997,Bakers & Bananas Bananenbrood glutenvrij,"€4,79",2025-03-07,Albert Heijn
407850,AH Glutenvrij Double cookies,"€2,59",2025-03-07,Albert Heijn
407824,Schär Choco chip cookies glutenvrij,"€2,15",2025-03-07,Albert Heijn
443684,Schär Knusperbrot dunkel glutenvrij,"€2,19",2025-03-07,Albert Heijn
419897,Schär Pain campagnard glutenvrij aux graines,"€3,89",2025-03-07,Albert Heijn
495863,Schnitzer Panini grainy,"€2,69",2025-03-07,Albert Heijn
199604,Schär Butterkeks petit beurre glutenvrij,"€2,45",2025-03-07,Albert Heijn
407843,Nairn's Volkoren zadencrackers glutenvrij,"€2,89",2025-03-07,Albert Heijn
402687,Bavaria Holland glutenfree 3-pack,"€4,79",2025-03-07,Albert Heijn
228423,Schär Focaccia glutenvrij,"€3,79",2025-03-07,Albert Heijn
388286,Go-Tan Soy sauce gluten free,"€2,65",2025-03-07,Albert Heijn
509341,AH Glutenvrij Pistolets wit,"€2,25",2025-03-07,Albert Heijn
550448,AH Glutenvrij Borrelbrood Mediterraans,"€2,69",2025-03-07,Albert Heijn
407792,AH Glutenvrij Boekweitmeel,"€2,99",2025-03-07,Albert Heijn
494120,AH Glutenvrij Volkoren havervlokken,"€2,89",2025-03-07,Albert Heijn
407856,Schär Digestive choc,"€2,19",2025-03-07,Albert Heijn
482618,Barilla Tagliatelle glutenvrij,"€4,99",2025-03-07,Albert Heijn
495947,Schnitzer Panini royal,"€2,69",2025-03-07,Albert Heijn
509286,AH Glutenvrij Kampioentjes,"€2,25",2025-03-07,Albert Heijn
532262,BioFan Ketjap manis,"€1,75",2025-03-07,Albert Heijn
407851,AH Glutenvrij Gevulde koek,"€1,99",2025-03-07,Albert Heijn
202286,Consenza Juspoeder,"€2,99",2025-03-07,Albert Heijn
581465,Holie's Granola buckwheat & nuts glutenfree,"€4,19",2025-03-07,Albert Heijn
177044,Schär Pain campagnard glutenvrij,"€3,75",2025-03-07,Albert Heijn
455946,Schär Baguette glutenvrij,"€4,49",2025-03-07,Albert Heijn
494408,Nairn's Chocolate chip biscuit break,"€3,09",2025-03-07,Albert Heijn
509381,AH Glutenvrij Mueslibroodjes,"€2,29",2025-03-07,Albert Heijn
494097,AH Glutenvrij Cornflakes,"€1,39",2025-03-07,Albert Heijn
231966,Consenza Kipnuggets,"€6,29",2025-03-07,Albert Heijn
466846,Schär Savaoiardi,"€4,29",2025-03-07,Albert Heijn
467188,Eat Natural Muesli glutenvrij,"€4,39",2025-03-07,Albert Heijn
386330,Consenza Choco teff fingers,"€3,99",2025-03-07,Albert Heijn
395081,Verkade Glutenvrije oaties melkchocolade,"€3,99",2025-03-07,Albert Heijn
494122,AH Glutenvrij Ontbijtpap,"€3,09",2025-03-07,Albert Heijn
456007,Schär Zwieback beschuit glutenvrij,"€3,89",2025-03-07,Albert Heijn
494098,AH Glutenvrij Vezelrijke haverpops,"€2,99",2025-03-07,Albert Heijn
494117,AH Glutenvrij Vezelrijke kaascrackers,"€3,39",2025-03-07,Albert Heijn
482628,BFree Pita broodjes glutenvrij,"€6,39",2025-03-07,Albert Heijn
581466,Holie's Granola peanut chocolate glutenfree,"€3,99",2025-03-07,Albert Heijn
199615,Schär Brood mix,"€4,59",2025-03-07,Albert Heijn
546725,AH Glutenvrij Goudse kaaskoekjes,"€2,69",2025-03-07,Albert Heijn
419895,Nairn's Brosse biscuits met framboos & bosbessen,"€3,09",2025-03-07,Albert Heijn
580730,Twix Chocolate & caramel cookies gluten free,"€3,99",2025-03-07,Albert Heijn
585494,Leev Nederlandse havermout volkoren,"€2,99",2025-03-07,Albert Heijn
494105,Schär Bagels,"€4,89",2025-03-07,Albert Heijn
494404,Nairn's Rosemary & sea salt flatbread,"€3,39",2025-03-07,Albert Heijn
494409,Kikkoman Sojasaus glutenvrij,"€4,15",2025-03-07,Albert Heijn
495949,Schnitzer Baguettini bianco,"€2,69",2025-03-07,Albert Heijn
444821,Smaakt Boekweit pannenkoekmix,"€3,79",2025-03-07,Albert Heijn
567834,Schnitzer Bio baguette classic glutenvrij,"€2,75",2025-03-07,Albert Heijn
494083,Grisette Bio blond,"€1,99",2025-03-07,Albert Heijn
419894,Nairn's Brosse biscuits met chocola & kokosnoot,"€3,09",2025-03-07,Albert Heijn
507918,BioToday Vegan choco bar karamel,"€3,99",2025-03-07,Albert Heijn
581454,Leev Havercrackers naturel,"€2,99",2025-03-07,Albert Heijn
228419,Schär Ciabatta rustica glutenvrij,"€3,19",2025-03-07,Albert Heijn
494081,Prewetts Enrobed vanilla creams,"€3,89",2025-03-07,Albert Heijn
581456,Nairn's Belgian chocolate chunk crunchy oat bars,"€3,09",2025-03-07,Albert Heijn
396114,BFree Meergranen wraps glutenvrij,"€6,69",2025-03-07,Albert Heijn
532261,Koopmans Glutenvrij basismeel,"€3,89",2025-03-07,Albert Heijn
217603,Schär Lasagne,"€4,59",2025-03-07,Albert Heijn
234492,Naturelmente Polenta gialla,"€1,99",2025-03-07,Albert Heijn
489295,Schär Bont Italia mini pizza,"€4,59",2025-03-07,Albert Heijn
494146,Freee Plain white flour,"€5,49",2025-03-07,Albert Heijn
407798,AH Glutenvrij Cakemix,"€2,99",2025-03-07,Albert Heijn
227849,Smaakt Polenta,"€2,49",2025-03-07,Albert Heijn
231965,Consenza Rundvleeskroket,"€6,99",2025-03-07,Albert Heijn
509349,AH Glutenvrij Pistolets meerzaden,"€2,25",2025-03-07,Albert Heijn
482481,Schär Curvies paprika,"€2,99",2025-03-07,Albert Heijn
571984,Schär Marmerkuchen,"€3,79",2025-03-07,Albert Heijn
407848,Nairn's Biscuit breaks oats ginger glutenvrij,"€3,09",2025-03-07,Albert Heijn
581457,Nairn's Raisin apple & cinnamon crunchy oat bars,"€2,99",2025-03-07,Albert Heijn
225016,Smaakt Maismeel biologisch,"€2,69",2025-03-07,Albert Heijn
407857,Schär Crisp bar,"€2,89",2025-03-07,Albert Heijn
482480,Schär Curvies original,"€2,99",2025-03-07,Albert Heijn
494147,Freee Self raising white flour,"€5,49",2025-03-07,Albert Heijn
581464,BFree Naan bread gluten free,"€4,99",2025-03-07,Albert Heijn
237616,Consenza Bitterballen,"€5,99",2025-03-07,Albert Heijn
385791,Jopen Hop zij met ons,"€3,39",2025-03-07,Albert Heijn
494080,Prewetts Quadruple chocolate cookies,"€3,89",2025-03-07,Albert Heijn
494107,Schär Salti,"€3,29",2025-03-07,Albert Heijn
495976,Schnitzer Bread'n toast rustic,"€4,49",2025-03-07,Albert Heijn
202288,Consenza Tomatensoep instant,"€2,99",2025-03-07,Albert Heijn
228518,Mongozo Premium pilsener glutenfree organic,"€2,49",2025-03-07,Albert Heijn
569736,Gebrouwen door vrouw GoGo grapefruit,"€2,59",2025-03-07,Albert Heijn
580731,Bounty Chocolate & coconut cookies gluten free,"€3,99",2025-03-07,Albert Heijn
581497,Prewetts Milk chocolate Viennese fingers,"€2,99",2025-03-07,Albert Heijn
581498,Schär Pausa ciok,"€6,49",2025-03-07,Albert Heijn
494079,Prewetts White chocolate & cranberry cookies,"€3,89",2025-03-07,Albert Heijn
581458,Nairn's Sourdough flatbreads gluten free,"€3,39",2025-03-07,Albert Heijn
581455,Leev Havercrackers rozemarijn glutenvrij,"€2,99",2025-03-07,Albert Heijn
199624,Schär Mix kuchen und kekse,"€4,59",2025-03-07,Albert Heijn
199693,Schär Paneermeel,"€3,29",2025-03-07,Albert Heijn
217601,Schär Kaiserbroodjes,"€4,79",2025-03-07,Albert Heijn
231964,Consenza Kaassoufle,"€6,29",2025-03-07,Albert Heijn
407802,AH Glutenvrij Lasagnebladen,"€2,99",2025-03-07,Albert Heijn
443276,AH Glutenvrij Muesli,"€2,89",2025-03-07,Albert Heijn
482617,Barilla Spaghetti glutenvrij,"€3,89",2025-03-07,Albert Heijn
489425,Lowlander Cool earth lager,"€2,59",2025-03-07,Albert Heijn
494243,AH Glutenvrij Roze koek,"€1,99",2025-03-07,Albert Heijn
507127,Schnitzer Panini active oat,"€2,99",2025-03-07,Albert Heijn
587627,AH Glutenvrij Amandel meel,"€3,59",2025-03-07,Albert Heijn
587630,AH Glutenvrij Pannenkoekenmix,"€2,59",2025-03-07,Albert Heijn
