id,title,original_price,scrape_date,store
197960,Beemster Jong 48+ stuk,"€10,11",2025-03-07,Albert Heijn
197953,Beemster Extra belegen 48+ plakken,"€6,10",2025-03-07,Albert Heijn
506228,AH Zuivelspread naturel,"€1,39",2025-03-07,Albert Heijn
560658,AH Cottage cheese light,"€0,99",2025-03-07,Albert Heijn
239019,Garlan Verse roomkaas met kruiden,"€1,15",2025-03-07,Albert Heijn
572637,Milner Jong 30+ plakken,"€2,95",2025-03-07,Albert Heijn
113356,Eru Kids,"€1,69",2025-03-07,Albert Heijn
2600,AH Goudse jong 48+ plakken,"€2,95",2025-03-07,Albert Heijn
478229,Eru Goudkuipje naturel,"€2,85",2025-03-07,Albert Heijn
2601,AH Goudse jong belegen 48+ plakken,"€3,09",2025-03-07,Albert Heijn
3856,Eru Goudkuipje naturel,"€1,69",2025-03-07,Albert Heijn
104394,AH Zaanlander Jong belegen 48+ plakken,"€4,01",2025-03-07,Albert Heijn
130834,AH Goudse jong belegen 30+ geraspt,"€2,99",2025-03-07,Albert Heijn
384175,Philadelphia Philadelphia original,"€2,79",2025-03-07,Albert Heijn
562458,Philadelphia Zuivelspread naturel 2-pack,"€5,58",2025-03-07,Albert Heijn
163826,Galbani Mozzarella mini,"€2,79",2025-03-07,Albert Heijn
579436,AH Smeerkaas naturel volromig,"€1,25",2025-03-07,Albert Heijn
579437,AH Smeerkaas naturel 20+,"€1,25",2025-03-07,Albert Heijn
123142,Galbani Mozzarella,"€1,99",2025-03-07,Albert Heijn
121178,AH Goudse jong 48+ plakken voordeel,"€5,59",2025-03-07,Albert Heijn
121168,AH Goudse jong belegen 48+ plakken voordeel,"€5,89",2025-03-07,Albert Heijn
195370,AH Italiaanse mozzarella,"€1,79",2025-03-07,Albert Heijn
46563,AH Romige brie 60+,"€2,89",2025-03-07,Albert Heijn
213365,Heks'nkaas Origineel,"€3,29",2025-03-07,Albert Heijn
2594,AH Goudse belegen 48+ plakken,"€3,39",2025-03-07,Albert Heijn
506230,AH Zuivelspread knoflook & kruiden,"€1,39",2025-03-07,Albert Heijn
138205,AH Goudse belegen 48+ geraspt voordeel,"€5,75",2025-03-07,Albert Heijn
30140,AH Goudse belegen 48+ geraspt,"€3,79",2025-03-07,Albert Heijn
232017,AH Mozzarella geraspt,"€2,69",2025-03-07,Albert Heijn
400468,AH Biologisch Cottage cheese,"€1,29",2025-03-07,Albert Heijn
478021,AH Franse roombrie 60+,"€2,75",2025-03-07,Albert Heijn
104392,AH Zaanlander Jong 48+ plakken,"€3,82",2025-03-07,Albert Heijn
400471,AH Biologisch Italiaanse parmigiano reggiano,"€1,89",2025-03-07,Albert Heijn
56810,AH Goudse jong 48+ geraspt voordeel,"€4,99",2025-03-07,Albert Heijn
197154,AH Geraspte kaas speciaal voor pizza,"€2,69",2025-03-07,Albert Heijn
454161,AH Cheddar geraspte kaas,"€2,99",2025-03-07,Albert Heijn
191606,MonChou Original verse roomkaas,"€1,79",2025-03-07,Albert Heijn
497552,AH Biologisch Griekse feta,"€2,99",2025-03-07,Albert Heijn
162764,Philadelphia Knoflook & fijne kruiden,"€2,69",2025-03-07,Albert Heijn
590122,Philadelphia Knoflook & Kruiden 2-pack,"€0,00",2025-03-07,Albert Heijn
506229,AH Zuivelspread light,"€1,39",2025-03-07,Albert Heijn
162601,AH Pasta geraspte kaas,"€2,69",2025-03-07,Albert Heijn
419547,AH Goudse jong belegen 48+ geraspt,"€3,45",2025-03-07,Albert Heijn
497570,Eru Balans naturel,"€1,69",2025-03-07,Albert Heijn
168583,Galbani Mozzarella maxi,"€2,99",2025-03-07,Albert Heijn
462470,AH Italiaanse grana padano 32+ stuk,"€3,99",2025-03-07,Albert Heijn
136084,AH Goudse jong belegen 30+ plakken,"€3,25",2025-03-07,Albert Heijn
477910,AH Clemont rouge 60+,"€2,89",2025-03-07,Albert Heijn
202090,AH Ovengratin geraspte kaas,"€2,69",2025-03-07,Albert Heijn
384176,Philadelphia Light,"€2,79",2025-03-07,Albert Heijn
236943,AH Geitenkaas schijfjes naturel,"€2,09",2025-03-07,Albert Heijn
2597,AH Goudse jong komijn 48+ plakken,"€3,15",2025-03-07,Albert Heijn
462684,AH Italiaanse mozzarella di bufala campana,"€1,85",2025-03-07,Albert Heijn
462468,AH Griekse feta 2-pack,"€2,39",2025-03-07,Albert Heijn
162763,Philadelphia Bieslook,"€2,79",2025-03-07,Albert Heijn
590123,Liga Cracotte Crackers Naturel 3-pack,"€0,00",2025-03-07,Albert Heijn
2002,Président Le brie,"€3,29",2025-03-07,Albert Heijn
478224,Zanetti Parmigiano reggiano 30+,"€4,59",2025-03-07,Albert Heijn
104395,AH Zaanlander Belegen 48+ plakken,"€4,70",2025-03-07,Albert Heijn
193636,Old Amsterdam Original 48+ plakken,"€4,99",2025-03-07,Albert Heijn
197207,De Zaanse Hoeve Belegen 30+ plakken,"€4,39",2025-03-07,Albert Heijn
562029,AH Goudse blokjes jong belegen 48+,"€2,39",2025-03-07,Albert Heijn
462691,AH Smeerkaas sambal 20+,"€0,69",2025-03-07,Albert Heijn
223450,Eru Goudkuipje sambal,"€1,79",2025-03-07,Albert Heijn
121115,Chavroux Pure geitenkaas,"€3,79",2025-03-07,Albert Heijn
130836,AH Goudse belegen 30+ geraspt,"€3,25",2025-03-07,Albert Heijn
419552,Beemster Jong belegen 48+ plakken voordeel,"€4,89",2025-03-07,Albert Heijn
3853,AH Goudse oud 48+ geraspt,"€4,15",2025-03-07,Albert Heijn
33648,Parrano Geraspte kaas originale,"€2,59",2025-03-07,Albert Heijn
474538,AH Goudse Jong belegen 48+ stuk zb gvp,"€10,49",2025-03-07,Albert Heijn
587376,Parrano Geraspte kaas originale 2-pack,"€5,18",2025-03-07,Albert Heijn
163822,AH Parmigiano reggiano,"€5,60",2025-03-07,Albert Heijn
1983,Boursin Knoflook & fijne kruiden,"€3,49",2025-03-07,Albert Heijn
447742,De Zaanse Hoeve Jong 48+ stuk,"€4,16",2025-03-07,Albert Heijn
185784,AH Biologisch Jong belegen 50+ plakken,"€4,19",2025-03-07,Albert Heijn
59673,AH Goudse jong belegen 48+ plakken,"€4,40",2025-03-07,Albert Heijn
67552,Danone Hüttenkäse original,"€3,69",2025-03-07,Albert Heijn
585492,Danone Hüttenkäse 2-pack,"€7,38",2025-03-07,Albert Heijn
59672,AH Goudse jong 48+ plakken,"€4,19",2025-03-07,Albert Heijn
421292,Milner Oud 30+ plakken,"€3,99",2025-03-07,Albert Heijn
188827,AH Kruidenkaas light,"€1,49",2025-03-07,Albert Heijn
419553,Beemster Belegen 48+ plakken voordeel,"€4,99",2025-03-07,Albert Heijn
560689,AH Parmigiano reggiano 32+,"€2,99",2025-03-07,Albert Heijn
1932,Danone Hüttenkäse original,"€1,99",2025-03-07,Albert Heijn
233269,La Vache Qui Rit Smeerkaaspuntjes naturel,"€2,09",2025-03-07,Albert Heijn
486703,AH Goudse Jong belegen 48+ stuk zb kvp,"€7,18",2025-03-07,Albert Heijn
186786,Galbani Mascarpone,"€3,49",2025-03-07,Albert Heijn
165044,Eru Prestige,"€2,19",2025-03-07,Albert Heijn
497560,AH Ricotta,"€2,59",2025-03-07,Albert Heijn
128799,AH Goudse belegen 48+ plakken groot,"€6,49",2025-03-07,Albert Heijn
518863,AH Zaanlander Prestige extra oud 48+ plakken,"€3,60",2025-03-07,Albert Heijn
478232,AH Tex-mex geraspte kaas,"€2,69",2025-03-07,Albert Heijn
165625,AH Biologisch Goudse belegen geraspte kaas 50+,"€3,79",2025-03-07,Albert Heijn
549778,Maaslander Jong 50+ plakken,"€2,99",2025-03-07,Albert Heijn
140100,AH Goudse oud 48+ geraspt voordeel,"€6,55",2025-03-07,Albert Heijn
163846,AH Biologisch Jong belegen 50+ stuk,"€6,61",2025-03-07,Albert Heijn
384177,Philadelphia Original XL,"€3,99",2025-03-07,Albert Heijn
409195,AH Biologisch Jong belegen 30+ plakken,"€3,61",2025-03-07,Albert Heijn
572636,Milner Komijn 30+ plakken,"€3,39",2025-03-07,Albert Heijn
123135,La Vache Qui Rit Cheez dippers smeerkaas,"€3,19",2025-03-07,Albert Heijn
478022,AH Saint Paulin 45+,"€2,89",2025-03-07,Albert Heijn
212481,AH Parmigiano reggiano,"€2,99",2025-03-07,Albert Heijn
33597,AH Smeerkaas sambal,"€0,69",2025-03-07,Albert Heijn
497553,AH Grana Padano poeder,"€3,35",2025-03-07,Albert Heijn
509552,AH Terra Plantaardige plakken mild,"€1,65",2025-03-07,Albert Heijn
572635,Milner Jong belegen 20+ plakken,"€2,99",2025-03-07,Albert Heijn
572638,Milner Jong belegen 30+ plakken,"€3,19",2025-03-07,Albert Heijn
143821,AH Parmigiano reggiano,"€2,99",2025-03-07,Albert Heijn
462714,Galbani Burrata,"€3,79",2025-03-07,Albert Heijn
