id,title,original_price,scrape_date,store
2226,AH Tomatenpuree,"€0,49",2025-03-07,Albert Heijn
566924,AH Tomatenpuree 4-pack,"€1,96",2025-03-07,Albert Heijn
498340,AH Flatbread,"€2,09",2025-03-07,Albert Heijn
568750,AH Flatbread 2-pack,"€4,18",2025-03-07,Albert Heijn
481844,AH Tomaten gezeefd passata,"€0,85",2025-03-07,Albert Heijn
453733,AH Tortilla wraps volkoren large,"€0,95",2025-03-07,Albert Heijn
161932,AH Kokosmelk,"€0,99",2025-03-07,Albert Heijn
545537,AH Kokosmelk 4-pack,"€3,96",2025-03-07,Albert Heijn
136836,AH Tortilla naturel wraps medium,"€0,99",2025-03-07,Albert Heijn
217297,AH Groene pesto,"€2,99",2025-03-07,Albert Heijn
367557,Unox Gelderse rookworst,"€4,19",2025-03-07,Albert Heijn
170655,AH Groene pesto,"€1,15",2025-03-07,Albert Heijn
140637,AH Tortilla naturel wraps large,"€0,95",2025-03-07,Albert Heijn
36783,AH Tarwebloem,"€0,85",2025-03-07,Albert Heijn
187619,Van Gilse Poedersuiker,"€1,09",2025-03-07,Albert Heijn
410944,AH Verse gnocchi,"€2,99",2025-03-07,Albert Heijn
435163,AH Pizzadeeg,"€1,99",2025-03-07,Albert Heijn
490540,AH Kroepoek naturel,"€1,29",2025-03-07,Albert Heijn
503093,AH Vers bladerdeeg,"€1,49",2025-03-07,Albert Heijn
567362,AH Vers bladerdeeg 2-pack,"€2,98",2025-03-07,Albert Heijn
36488,AH Zilvervliesrijst,"€1,09",2025-03-07,Albert Heijn
578608,AH Zilvervliesrijst 2-pack,"€2,18",2025-03-07,Albert Heijn
58169,AH Biologisch Volkoren spaghetti,"€0,99",2025-03-07,Albert Heijn
134027,AH Pizzadeeg tomatensaus,"€2,19",2025-03-07,Albert Heijn
451996,AH Stokbrood kruidenboter,"€1,59",2025-03-07,Albert Heijn
62028,AH Spaghetti,"€0,95",2025-03-07,Albert Heijn
80148,AH Basmatirijst,"€1,49",2025-03-07,Albert Heijn
578603,AH Basmati rijst 2-pack,"€2,98",2025-03-07,Albert Heijn
378632,Heinz Tomato frito original,"€1,39",2025-03-07,Albert Heijn
221857,AH Witte pita's,"€0,75",2025-03-07,Albert Heijn
803,AH Tomaten gepeld,"€0,69",2025-03-07,Albert Heijn
3527,AH Tomatenpuree,"€0,65",2025-03-07,Albert Heijn
167781,Conimex Kroepoek naturel,"€1,69",2025-03-07,Albert Heijn
120332,AH Pastasaus tomaat mascarpone,"€2,49",2025-03-07,Albert Heijn
99084,Unox Good noodles kip,"€2,09",2025-03-07,Albert Heijn
126872,AH Rozijnen zongedroogd,"€2,29",2025-03-07,Albert Heijn
58168,AH Biologisch Volkoren penne,"€1,05",2025-03-07,Albert Heijn
170111,Maggi Jus stamppot,"€0,75",2025-03-07,Albert Heijn
556739,AH Biologisch Tomatenpuree,"€0,69",2025-03-07,Albert Heijn
578639,AH Biologisch Tomatenpuree 3-pack,"€2,07",2025-03-07,Albert Heijn
56027,AH Tagliatelle all' uovo,"€2,29",2025-03-07,Albert Heijn
99089,Unox Good noodles groente,"€1,15",2025-03-07,Albert Heijn
62699,AH Verse tortelloni verdi ricotta e spinaci,"€2,39",2025-03-07,Albert Heijn
234848,Mutti Polpa fijne tomatenpulp,"€1,89",2025-03-07,Albert Heijn
48896,AH Olijfolie traditioneel,"€5,89",2025-03-07,Albert Heijn
3453,Koopmans Mix voor pannenkoeken origineel,"€1,09",2025-03-07,Albert Heijn
207510,AH Biologisch Tomaten gepeld,"€0,79",2025-03-07,Albert Heijn
560988,AH Flammkuchendeeg,"€1,99",2025-03-07,Albert Heijn
217335,AH Groene olijven met knoflook,"€2,29",2025-03-07,Albert Heijn
3472,Honig Basis voor macaroni en spaghetti,"€1,99",2025-03-07,Albert Heijn
582200,Honig basis voor macaroni en spaghetti 3-pack,"€5,97",2025-03-07,Albert Heijn
130084,Yum Yum Chicken flavour instant noodles,"€0,59",2025-03-07,Albert Heijn
99086,Unox Good noodles kip,"€1,15",2025-03-07,Albert Heijn
59296,AH Verse ravioli formaggio e pomodoro,"€2,39",2025-03-07,Albert Heijn
210296,AH Veluwse rookworst fijn,"€3,69",2025-03-07,Albert Heijn
168206,AH Spaghetti all' uovo,"€2,29",2025-03-07,Albert Heijn
142435,AH Verse ravioli 5 formaggio,"€2,39",2025-03-07,Albert Heijn
237604,Koopmans Bladerdeeg origineel,"€1,39",2025-03-07,Albert Heijn
160917,AH Pestosaus groen,"€2,49",2025-03-07,Albert Heijn
948,AH Witte snelkook rijst,"€0,95",2025-03-07,Albert Heijn
580353,AH Witte snelkook rijst 2-pack,"€1,90",2025-03-07,Albert Heijn
167780,Conimex Cassave kroepoek,"€1,99",2025-03-07,Albert Heijn
498341,AH Naanbrood,"€1,89",2025-03-07,Albert Heijn
568284,AH Naanbrood 2-pack,"€3,78",2025-03-07,Albert Heijn
167242,Wijko Satesaus kant en klaar,"€1,55",2025-03-07,Albert Heijn
582250,Wijko Satesaus kant en klaar 3-pack,"€4,65",2025-03-07,Albert Heijn
500621,Heinz Tomato frito biologisch,"€1,69",2025-03-07,Albert Heijn
62026,AH Fusilli,"€1,19",2025-03-07,Albert Heijn
200103,Jos Poell Pasteitjes traditioneel,"€1,49",2025-03-07,Albert Heijn
117611,AH Gebakken uitjes,"€1,19",2025-03-07,Albert Heijn
375756,AH Macaroni,"€0,79",2025-03-07,Albert Heijn
191601,AH Nacho chips naturel,"€1,35",2025-03-07,Albert Heijn
582864,AH Tortilla volkoren wraps medium,"€0,99",2025-03-07,Albert Heijn
468009,AH Biologisch Fusilli volkoren,"€1,29",2025-03-07,Albert Heijn
952,AH Patent tarwebloem,"€0,55",2025-03-07,Albert Heijn
944,AH Mienestjes,"€1,19",2025-03-07,Albert Heijn
132903,Unox Gelderse rookworst magnetron,"€1,89",2025-03-07,Albert Heijn
556728,AH Basilicum pastasaus,"€1,59",2025-03-07,Albert Heijn
2090,Grand' Italia Spaghetti tradizionali,"€1,85",2025-03-07,Albert Heijn
239366,AH Spelt pita's,"€0,99",2025-03-07,Albert Heijn
525358,AH Cappelletti prosciutto crudo,"€2,39",2025-03-07,Albert Heijn
3697,Van Gilse Kristalsuiker,"€1,39",2025-03-07,Albert Heijn
101200,AH Biologisch Natuurazijn,"€0,99",2025-03-07,Albert Heijn
3706,AH Suikerklontjes,"€1,69",2025-03-07,Albert Heijn
105869,Maggi Jus naturel,"€0,75",2025-03-07,Albert Heijn
485545,Remia Satésaus kant & klaar,"€2,15",2025-03-07,Albert Heijn
367555,Unox Extra magere rookworst,"€4,59",2025-03-07,Albert Heijn
217296,AH Pestospread,"€2,09",2025-03-07,Albert Heijn
126423,Conimex Wok noodles,"€1,99",2025-03-07,Albert Heijn
465748,AH Biologisch Rookworst,"€3,99",2025-03-07,Albert Heijn
584988,Doritos Cool American 3-pack,"€6,87",2025-03-07,Albert Heijn
164936,Fairtrade Original Kokosmelk,"€2,49",2025-03-07,Albert Heijn
417518,Santa Maria Tortilla wraps large,"€2,39",2025-03-07,Albert Heijn
386329,Arm & Hammer Pure baking soda,"€1,85",2025-03-07,Albert Heijn
516647,Wijko Satésaus kant en klaar,"€2,39",2025-03-07,Albert Heijn
378626,Heinz Tomaten blokjes naturel,"€1,25",2025-03-07,Albert Heijn
62825,AH Kappertjes,"€0,79",2025-03-07,Albert Heijn
386308,Magioni Bloemkool pizzabodem,"€3,99",2025-03-07,Albert Heijn
425972,Santa Maria Tortilla wraps tarwe & volkorentarwe M,"€2,65",2025-03-07,Albert Heijn
217330,AH Groene olijven met basilicum,"€2,29",2025-03-07,Albert Heijn
210607,AH Shoarma,"€4,99",2025-03-07,Albert Heijn
367558,Unox Rookworst Gelders varken,"€5,25",2025-03-07,Albert Heijn
160914,AH Lasagne all uovo,"€2,29",2025-03-07,Albert Heijn
449579,AH Bladerdeeg roomboter,"€2,19",2025-03-07,Albert Heijn
553583,AH Naanbrood knoflook koriander,"€1,75",2025-03-07,Albert Heijn
954,AH Paneermeel naturel beschuit,"€0,59",2025-03-07,Albert Heijn
580668,AH Slagersrookworst Gelders XXL,"€3,99",2025-03-07,Albert Heijn
490541,AH Kroepoek cassave licht pittig,"€1,29",2025-03-07,Albert Heijn
413082,AH Biologisch Medjoul dadels,"€3,69",2025-03-07,Albert Heijn
531851,AH Scharrel kipdijfiletreepjes shoarma,"€8,49",2025-03-07,Albert Heijn
417551,Santa Maria Kruidenmix taco,"€0,99",2025-03-07,Albert Heijn
580666,AH Slagersrookworst Gelders,"€2,99",2025-03-07,Albert Heijn
164101,Knorr Maaltijdmix macaroni,"€1,65",2025-03-07,Albert Heijn
159760,AH Biologisch Spaghetti,"€0,99",2025-03-07,Albert Heijn
233263,Duryea Maizena,"€0,75",2025-03-07,Albert Heijn
130071,AH Satésaus kant & klaar,"€1,85",2025-03-07,Albert Heijn
167779,Conimex Kroepoek Bali,"€1,99",2025-03-07,Albert Heijn
129552,AH Chorizo,"€2,99",2025-03-07,Albert Heijn
419093,AH Quiche & taartdeeg,"€1,69",2025-03-07,Albert Heijn
533084,AH Scharrel kipdijfiletreepjes shoarma,"€5,79",2025-03-07,Albert Heijn
567345,AH Quiche & taartdeeg 2-pack,"€3,38",2025-03-07,Albert Heijn
55960,AH Quiche lorraine,"€3,99",2025-03-07,Albert Heijn
1545,AH Kip ragout,"€1,49",2025-03-07,Albert Heijn
543590,AH Biologisch Penne,"€1,05",2025-03-07,Albert Heijn
449942,AH Biologisch Kokosmelk,"€1,19",2025-03-07,Albert Heijn
578588,AH Biologisch Kokosmelk 3-pack,"€3,57",2025-03-07,Albert Heijn
187620,Van Gilse Witte basterdsuiker,"€1,49",2025-03-07,Albert Heijn
2063,Grand' Italia Sugocasa tradizionale pastasaus,"€2,99",2025-03-07,Albert Heijn
162594,Knorr Wereldgerechten lasagnette napoletana,"€3,25",2025-03-07,Albert Heijn
565172,Samyang Buldak hot chicken ramen carbonara,"€1,79",2025-03-07,Albert Heijn
474478,Heinz Tomato frito 2-pack,"€2,35",2025-03-07,Albert Heijn
103429,AH Verse ravioli ai funghi,"€2,39",2025-03-07,Albert Heijn
470852,AH Pandan rijst,"€2,09",2025-03-07,Albert Heijn
105318,AH Biologisch Tarwebloem,"€1,29",2025-03-07,Albert Heijn
421641,AH Witte rijst,"€1,99",2025-03-07,Albert Heijn
30228,Dr. Oetker Gist levure,"€0,95",2025-03-07,Albert Heijn
187621,Van Gilse Donkere basterdsuiker,"€1,35",2025-03-07,Albert Heijn
140615,AH Taco seasoning mix,"€0,69",2025-03-07,Albert Heijn
217329,AH Groene olijven met witte kaas,"€2,29",2025-03-07,Albert Heijn
164746,AH Rozijnen,"€1,59",2025-03-07,Albert Heijn
2065,Grand' Italia Penne tradizionali,"€1,95",2025-03-07,Albert Heijn
578973,AH Gevouwen flatbread naturel,"€1,89",2025-03-07,Albert Heijn
2110,Honig Basis voor lasagnesaus,"€1,99",2025-03-07,Albert Heijn
170654,AH Pesto rosso,"€1,15",2025-03-07,Albert Heijn
439402,Go-Tan Sweet chilli sauce,"€3,79",2025-03-07,Albert Heijn
161730,AH Medjoul dadels,"€3,49",2025-03-07,Albert Heijn
199922,AH Excellent Biologische kalamata olijf zonder pit,"€2,19",2025-03-07,Albert Heijn
228606,Hak Taart & vlaaifruit kersen,"€2,99",2025-03-07,Albert Heijn
164749,AH Dadels,"€2,09",2025-03-07,Albert Heijn
579452,AH Dadels 2-pack,"€4,18",2025-03-07,Albert Heijn
67845,AH Biologisch Zonnebloemolie,"€2,15",2025-03-07,Albert Heijn
500479,Heinz Tomato blokjes biologisch,"€1,99",2025-03-07,Albert Heijn
221765,Knorr Wereldgerechten Mexicaanse burritos,"€3,15",2025-03-07,Albert Heijn
525360,AH Terra Plantaardig ravioli agli spinaci,"€3,19",2025-03-07,Albert Heijn
485544,Remia Satésaus kant en klaar,"€1,49",2025-03-07,Albert Heijn
583783,Mousline Aardappelpuree naturel,"€2,39",2025-03-07,Albert Heijn
54443,AH Olijfolie mild,"€5,79",2025-03-07,Albert Heijn
140638,AH Taco schelpen,"€1,99",2025-03-07,Albert Heijn
553394,AH Kokosmelk light,"€1,69",2025-03-07,Albert Heijn
124193,AH Risotto rijst,"€2,59",2025-03-07,Albert Heijn
99083,Unox Good noodles groente,"€2,09",2025-03-07,Albert Heijn
183248,AH Geroosterde pijnboompitten,"€2,09",2025-03-07,Albert Heijn
234843,Mutti Tomaten concentraat dubbel,"€1,99",2025-03-07,Albert Heijn
579111,AH Geroosterde pijnboompitten 2-pack,"€4,18",2025-03-07,Albert Heijn
31284,Koopmans Mix voor pannenkoeken compleet,"€1,65",2025-03-07,Albert Heijn
101207,AH Biologisch Tomaten passata gezeefd,"€1,99",2025-03-07,Albert Heijn
142442,AH Tagliatelle all' uovo,"€3,69",2025-03-07,Albert Heijn
99076,Van Gilse Fijne kristalsuiker,"€1,95",2025-03-07,Albert Heijn
234853,Mutti Passata gezeefde fluweelzachte tomaten,"€2,95",2025-03-07,Albert Heijn
575766,AH Zonnebloemolie,"€3,55",2025-03-07,Albert Heijn
399645,No Fairytales Wortel tortilla,"€2,99",2025-03-07,Albert Heijn
217090,AH Pastasaus pomodori basilicum,"€2,49",2025-03-07,Albert Heijn
239716,AH Biologisch Passata di pomodoro fijn gekruid,"€2,09",2025-03-07,Albert Heijn
578638,AH Biologisch Passata di pomodoro fijn gekruid 2-pack,"€4,18",2025-03-07,Albert Heijn
47098,AH Suikerstaafjes,"€1,29",2025-03-07,Albert Heijn
525268,AH Biologisch Tagliatelle volkoren,"€2,49",2025-03-07,Albert Heijn
106240,AH Zwarte olijven zonder pit,"€1,09",2025-03-07,Albert Heijn
417523,Santa Maria Super soft tortilla wraps medium,"€2,75",2025-03-07,Albert Heijn
578607,AH Zwarte olijven zonder pit 2-pack,"€2,18",2025-03-07,Albert Heijn
435948,AH Biologisch Volkoren Basmati rijst,"€1,65",2025-03-07,Albert Heijn
170116,Maggi Jus uitjes,"€0,75",2025-03-07,Albert Heijn
234872,Mutti Pomodori pelati,"€1,99",2025-03-07,Albert Heijn
538235,AH Kroepoek java,"€1,39",2025-03-07,Albert Heijn
140611,AH Burrito seasoning mix,"€0,39",2025-03-07,Albert Heijn
543647,AH Macaroni vlugkokend,"€0,89",2025-03-07,Albert Heijn
164736,AH Mix voor Pannenkoeken compleet,"€0,99",2025-03-07,Albert Heijn
3994,AH Greenfields Runder riblappen,"€12,07",2025-03-07,Albert Heijn
474117,AH Quiche spinazie geitenkaas,"€3,99",2025-03-07,Albert Heijn
4002,AH Greenfields Magere runderlappen,"€11,99",2025-03-07,Albert Heijn
416658,AH Biologisch Basis tomatensaus basilicum,"€1,39",2025-03-07,Albert Heijn
526019,AH Biologisch Zilvervliesrijst,"€1,49",2025-03-07,Albert Heijn
3427,Maggi Jus rundvlees voordeel,"€2,69",2025-03-07,Albert Heijn
