id,title,original_price,scrape_date,store
493561,Maltesers Melkchocolade,"€5,49",2025-03-07,Albert Heijn
578329,M&M'S Pinda 400 gram 2-pack,"€10,78",2025-03-07,Albert Heijn
142548,AH Roomboter stroopwafels,"€2,39",2025-03-07,Albert Heijn
567250,AH roomboter stroopwafels 3-pack,"€7,17",2025-03-07,Albert Heijn
36783,AH Tarwebloem,"€0,85",2025-03-07,Albert Heijn
166965,Katja Apekoppen,"€2,59",2025-03-07,Albert Heijn
187619,Van Gilse Poedersuiker,"€1,09",2025-03-07,Albert Heijn
3640,LU Bastogne original,"€1,99",2025-03-07,Albert Heijn
573535,LU Bastogne original 3-pack,"€5,97",2025-03-07,Albert Heijn
221017,AH Chocolate chip cookies,"€1,29",2025-03-07,Albert Heijn
480030,AH Zaans huisje melkchocolade,"€1,49",2025-03-07,Albert Heijn
128919,AH Brabantse eierkoeken,"€2,39",2025-03-07,Albert Heijn
165965,Oreo Original,"€0,89",2025-03-07,Albert Heijn
572362,Oreo Original koekjes 3-pack,"€2,67",2025-03-07,Albert Heijn
451996,AH Stokbrood kruidenboter,"€1,59",2025-03-07,Albert Heijn
378850,AH Penny wafels,"€0,85",2025-03-07,Albert Heijn
457697,Snelle Jelle Kruidkoek naturel 5-pack,"€2,75",2025-03-07,Albert Heijn
587698,Snelle Jelle Kruidkoek Naturel 3-pack,"€8,25",2025-03-07,Albert Heijn
167428,Hero B'tween mueslireep melkchocolade,"€2,19",2025-03-07,Albert Heijn
587043,Hero B'tween mueslireep melkchocolade 3-pack,"€6,57",2025-03-07,Albert Heijn
1035,AH Lange vingers,"€1,39",2025-03-07,Albert Heijn
217850,AH Ontbijtkoek volkoren gesneden,"€1,39",2025-03-07,Albert Heijn
126872,AH Rozijnen zongedroogd,"€2,29",2025-03-07,Albert Heijn
217848,AH Ontbijtkoek naturel gesneden,"€1,45",2025-03-07,Albert Heijn
560988,AH Flammkuchendeeg,"€1,99",2025-03-07,Albert Heijn
384698,LU Prince ministars melkchocolade,"€2,99",2025-03-07,Albert Heijn
562459,LU Prince ministars melkchocolade 2-pack,"€5,98",2025-03-07,Albert Heijn
46865,AH Digestive,"€1,09",2025-03-07,Albert Heijn
196282,AH Reep puur,"€1,29",2025-03-07,Albert Heijn
142571,AH Roze koeken mini,"€1,05",2025-03-07,Albert Heijn
1408,Milka Melkchocolade van alpenmelk,"€1,09",2025-03-07,Albert Heijn
438963,Lotus Biscoff Speculoos koek,"€1,89",2025-03-07,Albert Heijn
584735,Lotus Biscoff Speculoos koek 3-pack,"€5,67",2025-03-07,Albert Heijn
127297,Knoppers Melk Hazelnootwafel,"€1,59",2025-03-07,Albert Heijn
201559,AH Mini eierkoeken,"€1,59",2025-03-07,Albert Heijn
384697,LU Time out koekrepen choco chip,"€2,69",2025-03-07,Albert Heijn
544525,AH Kruidkoekreep naturel 6-pack,"€1,39",2025-03-07,Albert Heijn
952,AH Patent tarwebloem,"€0,55",2025-03-07,Albert Heijn
168718,Verkade Nizza kokos,"€1,89",2025-03-07,Albert Heijn
3697,Van Gilse Kristalsuiker,"€1,39",2025-03-07,Albert Heijn
160473,Milka Chocoladereep karamel,"€1,09",2025-03-07,Albert Heijn
3706,AH Suikerklontjes,"€1,69",2025-03-07,Albert Heijn
386329,Arm & Hammer Pure baking soda,"€1,85",2025-03-07,Albert Heijn
543066,Verkade Nobo sprits melkchocolade,"€2,09",2025-03-07,Albert Heijn
578456,AH Rozijnen vriendjes,"€0,99",2025-03-07,Albert Heijn
196296,AH Reuze mergpijpen,"€1,69",2025-03-07,Albert Heijn
177119,Smint Peppermint XL mints sugarfree 2-pack,"€4,79",2025-03-07,Albert Heijn
209340,Milka Oreo,"€1,09",2025-03-07,Albert Heijn
473738,AH Eierkoeken,"€1,49",2025-03-07,Albert Heijn
135608,AH Meergranenbiscuit rozijn,"€1,09",2025-03-07,Albert Heijn
563725,Peijnenburg Ontbijtkoek naturel gesneden,"€3,09",2025-03-07,Albert Heijn
1055,AH Amandelspeculaas,"€1,99",2025-03-07,Albert Heijn
484023,Echte Enkhuizer Jodekoek original,"€2,59",2025-03-07,Albert Heijn
413082,AH Biologisch Medjoul dadels,"€3,69",2025-03-07,Albert Heijn
469323, Hollandse Stroopwafels,"€0,89",2025-03-07,Albert Heijn
200111,Milka Choco supreme wafels met melkchocolade,"€2,69",2025-03-07,Albert Heijn
170059,AH Stroopwafels,"€2,69",2025-03-07,Albert Heijn
173733,AH Roomboter custardcakes,"€1,69",2025-03-07,Albert Heijn
142566,AH Kandijkoeken,"€1,15",2025-03-07,Albert Heijn
396224,AH Donuts suiker,"€1,95",2025-03-07,Albert Heijn
233263,Duryea Maizena,"€0,75",2025-03-07,Albert Heijn
419093,AH Quiche & taartdeeg,"€1,69",2025-03-07,Albert Heijn
567345,AH Quiche & taartdeeg 2-pack,"€3,38",2025-03-07,Albert Heijn
518742,Hero B'tween mueslireep zero melkchocolade,"€2,25",2025-03-07,Albert Heijn
587044,Hero B'tween mueslireep zero melkchoc 3-pack,"€6,75",2025-03-07,Albert Heijn
544527,AH Kruidkoekreep zero 5-pack,"€1,59",2025-03-07,Albert Heijn
456292,AH Ontbijtkoek zero gesneden,"€1,89",2025-03-07,Albert Heijn
517316,AH Bokkenpootjes,"€1,99",2025-03-07,Albert Heijn
196539,Maoam Bloxx,"€2,25",2025-03-07,Albert Heijn
229282,Peijnenburg Ontbijtkoek parelkandij ongesneden,"€2,69",2025-03-07,Albert Heijn
523483,AH Reep melk,"€2,19",2025-03-07,Albert Heijn
560851,AH Protein bar melk choco pinda karamel,"€1,39",2025-03-07,Albert Heijn
569845,M&M'S Pinda melk chocolade,"€3,25",2025-03-07,Albert Heijn
458512,Sportlife Smashmint sugar free gums 4-pack,"€3,49",2025-03-07,Albert Heijn
187620,Van Gilse Witte basterdsuiker,"€1,49",2025-03-07,Albert Heijn
408281,AH Digestive volkoren met tarwebloem,"€1,09",2025-03-07,Albert Heijn
517311,AH Roomboter kano's,"€1,99",2025-03-07,Albert Heijn
457701,Snelle Jelle Kruidkoek rozijn 5-pack,"€2,75",2025-03-07,Albert Heijn
55231,Côte d'Or Chocoladereep melk,"€3,49",2025-03-07,Albert Heijn
407188,AH Fruitbiscuit bosvruchtensmaak,"€1,39",2025-03-07,Albert Heijn
565879,Côte d'Or Melkchocolade 2-pack,"€6,98",2025-03-07,Albert Heijn
57238,AH Eierwafels met poedersuiker,"€1,35",2025-03-07,Albert Heijn
105318,AH Biologisch Tarwebloem,"€1,29",2025-03-07,Albert Heijn
133397,Mars Minimix repen uitdeelzak,"€5,89",2025-03-07,Albert Heijn
587080,Mars Minimix repen uitdeelzak 2-pack,"€11,78",2025-03-07,Albert Heijn
30228,Dr. Oetker Gist levure,"€0,95",2025-03-07,Albert Heijn
187621,Van Gilse Donkere basterdsuiker,"€1,35",2025-03-07,Albert Heijn
129016,AH Roomboter gevulde koeken,"€2,75",2025-03-07,Albert Heijn
164746,AH Rozijnen,"€1,59",2025-03-07,Albert Heijn
215514,Milka Bubbly,"€1,39",2025-03-07,Albert Heijn
590127,Milka Bubbly 3-pack,"€4,17",2025-03-07,Albert Heijn
388641,AH Spelt eierkoeken,"€2,29",2025-03-07,Albert Heijn
161730,AH Medjoul dadels,"€3,49",2025-03-07,Albert Heijn
228606,Hak Taart & vlaaifruit kersen,"€2,99",2025-03-07,Albert Heijn
142577,Oreo Koekjes omhuld met witte chocoladesmaak,"€2,75",2025-03-07,Albert Heijn
105120,LU Scholiertje melk,"€3,49",2025-03-07,Albert Heijn
407185,AH Fruitbiscuit appelsmaak,"€1,39",2025-03-07,Albert Heijn
547668,Venco Schoolkrijt,"€2,49",2025-03-07,Albert Heijn
164749,AH Dadels,"€2,09",2025-03-07,Albert Heijn
579452,AH Dadels 2-pack,"€4,18",2025-03-07,Albert Heijn
54752,Liga Haverkick appelsmaak,"€2,89",2025-03-07,Albert Heijn
168710,Verkade Maria,"€1,85",2025-03-07,Albert Heijn
133872,AH Melkbiscuit,"€1,49",2025-03-07,Albert Heijn
457696,Hero B'tween mueslireep zero witte chocolade,"€2,19",2025-03-07,Albert Heijn
588121,Hero B'tween mueslireep zero wit choc 3 stuks,"€6,57",2025-03-07,Albert Heijn
480029,AH Zaans huisje pure chocolade,"€1,49",2025-03-07,Albert Heijn
200979,AH Fries suikerbrood,"€2,49",2025-03-07,Albert Heijn
166966,Katja Yoghurtgums,"€2,59",2025-03-07,Albert Heijn
99076,Van Gilse Fijne kristalsuiker,"€1,95",2025-03-07,Albert Heijn
138054,AH Marie biscuits,"€0,89",2025-03-07,Albert Heijn
217847,AH Ontbijtkoek naturel ongesneden,"€1,19",2025-03-07,Albert Heijn
399888,Haribo Happy peaches,"€1,79",2025-03-07,Albert Heijn
505200,Liga Proteine reep pinda,"€3,25",2025-03-07,Albert Heijn
590125,Liga Proteine reep Pinda 2-pack,"€0,00",2025-03-07,Albert Heijn
450907,McVitie's Digestives original,"€2,25",2025-03-07,Albert Heijn
196598,Lindt Excellence 85% pure chocolade,"€3,39",2025-03-07,Albert Heijn
435755,Liga Belvita chocolade koekjes,"€3,49",2025-03-07,Albert Heijn
47098,AH Suikerstaafjes,"€1,29",2025-03-07,Albert Heijn
137994,Mentos Gum Pure fresh freshmint sugarfree,"€4,99",2025-03-07,Albert Heijn
237923,Delicata Reep puur 85% cacao,"€2,49",2025-03-07,Albert Heijn
219843,LU Chocoprince vanille,"€2,59",2025-03-07,Albert Heijn
132698,LU Prince cake & choc,"€2,99",2025-03-07,Albert Heijn
549476,Lotus Biscoff Speculoos koek XL,"€1,99",2025-03-07,Albert Heijn
487259,AH Speculoos koeken,"€0,99",2025-03-07,Albert Heijn
213928,Tony's Chocolonely Reep melk karamel zeezout,"€3,89",2025-03-07,Albert Heijn
383105,Maoam Mao' mixx,"€3,59",2025-03-07,Albert Heijn
164756,AH Cranberries,"€2,15",2025-03-07,Albert Heijn
543067,Verkade San Francisco naturel brosse biscuits,"€1,99",2025-03-07,Albert Heijn
523482,AH Reep puur,"€2,19",2025-03-07,Albert Heijn
517253,AH Gangmakers,"€1,99",2025-03-07,Albert Heijn
517274,AH Roomboter gesuikerde krakelingen,"€1,99",2025-03-07,Albert Heijn
579944,AH Gangmakers 2-pack,"€3,98",2025-03-07,Albert Heijn
412952,AH Gedroogde abrikozen,"€3,69",2025-03-07,Albert Heijn
399889,Haribo Kikkers,"€1,79",2025-03-07,Albert Heijn
402622,Ritter Sport Puur hele hazelnoot,"€1,95",2025-03-07,Albert Heijn
170836,AH Chocolade repen melkvulling,"€1,69",2025-03-07,Albert Heijn
30899,Milka Melkchocolade met gebroken hazelnoten,"€1,25",2025-03-07,Albert Heijn
196329,AH Fourré vanillesmaak,"€1,45",2025-03-07,Albert Heijn
144880,AH Rozijn choco's,"€1,59",2025-03-07,Albert Heijn
211349,AH Bitterkoekjes,"€2,39",2025-03-07,Albert Heijn
221034,Snelle Jelle Kruidkoek tussendoor reepjes,"€2,99",2025-03-07,Albert Heijn
