id,title,original_price,scrape_date,store
239736,Hellmann's Real mayonaise,"€3,75",2025-03-07,Albert Heijn
193937,Unox Romige champignonsoep,"€3,19",2025-03-07,Albert Heijn
2226,AH Tomatenpuree,"€0,49",2025-03-07,Albert Heijn
566924,AH Tomatenpuree 4-pack,"€1,96",2025-03-07,Albert Heijn
41172,AH Basilicum,"€1,19",2025-03-07,Albert Heijn
429242,Calvé BBQ saus,"€2,09",2025-03-07,Albert Heijn
4160,AH Knoflook,"€1,29",2025-03-07,Albert Heijn
374144,Unox Knaks,"€2,89",2025-03-07,Albert Heijn
481844,AH Tomaten gezeefd passata,"€0,85",2025-03-07,Albert Heijn
492393,AH Appelmoes,"€0,85",2025-03-07,Albert Heijn
800,AH Maiskorrels fris en knapperig,"€1,19",2025-03-07,Albert Heijn
238968,AH Koriander,"€1,19",2025-03-07,Albert Heijn
189394,AH Soepstengels Naturel,"€0,75",2025-03-07,Albert Heijn
207061,AH Munt grootverpakking,"€1,39",2025-03-07,Albert Heijn
496580,Van Wijngaarden's Zaanse mayonaise,"€3,99",2025-03-07,Albert Heijn
167873,AH Terra Kikkererwten,"€0,99",2025-03-07,Albert Heijn
185774,AH Biologisch Knoflook,"€1,45",2025-03-07,Albert Heijn
123848,Unox Romige tomatensoep,"€3,19",2025-03-07,Albert Heijn
162855,Unox Hollandse erwtensoep,"€3,19",2025-03-07,Albert Heijn
238971,AH Platte peterselie,"€1,19",2025-03-07,Albert Heijn
238965,AH Bieslook,"€1,25",2025-03-07,Albert Heijn
519391,Van Wijngaarden's Zaanse mayonaise,"€1,59",2025-03-07,Albert Heijn
378632,Heinz Tomato frito original,"€1,39",2025-03-07,Albert Heijn
189671,Hak Appelmoes extra kwaliteit,"€2,09",2025-03-07,Albert Heijn
803,AH Tomaten gepeld,"€0,69",2025-03-07,Albert Heijn
3527,AH Tomatenpuree,"€0,65",2025-03-07,Albert Heijn
194759,Remia Friteslijn,"€1,99",2025-03-07,Albert Heijn
66067,AH Kip knakworst,"€1,99",2025-03-07,Albert Heijn
857,AH Ananasschijven op sap,"€1,25",2025-03-07,Albert Heijn
509288,AH Maiskorrels fris en knapperig 3-pack,"€1,99",2025-03-07,Albert Heijn
120332,AH Pastasaus tomaat mascarpone,"€2,49",2025-03-07,Albert Heijn
418282,AH Platte peterselie grootverpakking,"€1,39",2025-03-07,Albert Heijn
811,AH Appelmoes 0% suiker toegevoegd,"€0,99",2025-03-07,Albert Heijn
99084,Unox Good noodles kip,"€2,09",2025-03-07,Albert Heijn
238966,AH Dille,"€1,19",2025-03-07,Albert Heijn
238969,AH Munt,"€1,19",2025-03-07,Albert Heijn
170111,Maggi Jus stamppot,"€0,75",2025-03-07,Albert Heijn
556739,AH Biologisch Tomatenpuree,"€0,69",2025-03-07,Albert Heijn
578639,AH Biologisch Tomatenpuree 3-pack,"€2,07",2025-03-07,Albert Heijn
99089,Unox Good noodles groente,"€1,15",2025-03-07,Albert Heijn
234848,Mutti Polpa fijne tomatenpulp,"€1,89",2025-03-07,Albert Heijn
238970,AH Peterselie,"€1,19",2025-03-07,Albert Heijn
48896,AH Olijfolie traditioneel,"€5,89",2025-03-07,Albert Heijn
207510,AH Biologisch Tomaten gepeld,"€0,79",2025-03-07,Albert Heijn
238974,AH Tijm,"€1,19",2025-03-07,Albert Heijn
441050,Hela Hela curry ketchup,"€2,99",2025-03-07,Albert Heijn
130084,Yum Yum Chicken flavour instant noodles,"€0,59",2025-03-07,Albert Heijn
99086,Unox Good noodles kip,"€1,15",2025-03-07,Albert Heijn
492034,AH Bouillon groente,"€0,55",2025-03-07,Albert Heijn
216494,Heinz Tomato ketchup,"€2,29",2025-03-07,Albert Heijn
39103,AH Doperwten en wortelen,"€0,99",2025-03-07,Albert Heijn
62824,AH Augurken schijven zoetzuur,"€1,09",2025-03-07,Albert Heijn
167242,Wijko Satesaus kant en klaar,"€1,55",2025-03-07,Albert Heijn
582250,Wijko Satesaus kant en klaar 3-pack,"€4,65",2025-03-07,Albert Heijn
500621,Heinz Tomato frito biologisch,"€1,69",2025-03-07,Albert Heijn
496941,Princes Tonijnstukken in water,"€2,39",2025-03-07,Albert Heijn
200103,Jos Poell Pasteitjes traditioneel,"€1,49",2025-03-07,Albert Heijn
207077,AH Koriander grootverpakking,"€1,39",2025-03-07,Albert Heijn
207534,Hak Rode kool met stukjes appel,"€2,85",2025-03-07,Albert Heijn
166519,Remia Mayonaise,"€2,25",2025-03-07,Albert Heijn
467626,AH Mayonaise,"€2,49",2025-03-07,Albert Heijn
556728,AH Basilicum pastasaus,"€1,59",2025-03-07,Albert Heijn
191060,Unox Chinese tomatensoep,"€2,79",2025-03-07,Albert Heijn
3537,Bonduelle Crispy maïs,"€1,49",2025-03-07,Albert Heijn
101200,AH Biologisch Natuurazijn,"€0,99",2025-03-07,Albert Heijn
195105,Hak Doperwtjes met worteltjes,"€1,99",2025-03-07,Albert Heijn
166523,Remia Fritessaus classic,"€1,99",2025-03-07,Albert Heijn
105869,Maggi Jus naturel,"€0,75",2025-03-07,Albert Heijn
485545,Remia Satésaus kant & klaar,"€2,15",2025-03-07,Albert Heijn
840,AH Terra Hollandse bruine bonen,"€1,39",2025-03-07,Albert Heijn
202196,Hak Witte bonen in tomatensaus,"€2,59",2025-03-07,Albert Heijn
233988,Hak Appelmoes 0%,"€2,49",2025-03-07,Albert Heijn
169447,Unox Klassieke tomatensoep,"€4,69",2025-03-07,Albert Heijn
182914,AH Terra Kidneybonen,"€0,49",2025-03-07,Albert Heijn
917,AH Augurken klein zoetzuur,"€0,85",2025-03-07,Albert Heijn
104110,AH Zoete stoofpeertjes,"€2,49",2025-03-07,Albert Heijn
516647,Wijko Satésaus kant en klaar,"€2,39",2025-03-07,Albert Heijn
