id,title,original_price,scrape_date,store
533326,Iglo Vissticks,"€4,85",2025-03-07,Albert Heijn
533325,Iglo Vissticks,"€2,99",2025-03-07,Albert Heijn
130191,AH Gerookte zalm,"€4,59",2025-03-07,Albert Heijn
121453,AH Zalmfilet,"€5,99",2025-03-07,Albert Heijn
51335,AH Zalmfilet,"€9,69",2025-03-07,Albert Heijn
237651,Iglo Lekkerbekjes traditioneel,"€8,99",2025-03-07,Albert Heijn
470617,AH Gerookte zalm,"€7,99",2025-03-07,Albert Heijn
178129,AH Wilde zalmfilet,"€2,99",2025-03-07,Albert Heijn
467462,AH Vissticks,"€2,55",2025-03-07,Albert Heijn
496941,Princes Tonijnstukken in water,"€2,39",2025-03-07,Albert Heijn
211064,AH Biologisch Gerookte zalm,"€4,99",2025-03-07,Albert Heijn
558179,AH Kabeljauwhaasje 2 stuks,"€7,99",2025-03-07,Albert Heijn
120041,AH Kabeljauwburger gepaneerd,"€2,99",2025-03-07,Albert Heijn
571233,AH Pangasiusfilet,"€4,69",2025-03-07,Albert Heijn
799,AH Lekkerbekjes,"€2,99",2025-03-07,Albert Heijn
191096,Iglo Vissticks,"€5,59",2025-03-07,Albert Heijn
191133,AH Biologisch Zalmfilet,"€9,43",2025-03-07,Albert Heijn
142193,AH Zalmfilet,"€17,22",2025-03-07,Albert Heijn
226264,John West Tonijnstukken in water,"€2,79",2025-03-07,Albert Heijn
481414,AH Gerookte zalm,"€2,59",2025-03-07,Albert Heijn
226504,Iglo Lekkerbekje traditioneel,"€4,99",2025-03-07,Albert Heijn
523368,AH Biologisch Zalmfilet op huid,"€5,53",2025-03-07,Albert Heijn
365767,AH Gerookte makreelfilet graatloos,"€5,66",2025-03-07,Albert Heijn
191088,Iglo Fishcuisine Bretagne,"€5,99",2025-03-07,Albert Heijn
561825,AH Biologisch Gerookte zalm 30% verlaagd in zout,"€4,99",2025-03-07,Albert Heijn
140671,AH Pangasiusfilet,"€4,99",2025-03-07,Albert Heijn
485298,Princes Tonijnstukken in water voordeelpak,"€6,49",2025-03-07,Albert Heijn
135532,AH Pangasiusfilet tuinkruiden,"€5,49",2025-03-07,Albert Heijn
231931,Iglo Lekkerbekje sticks,"€3,45",2025-03-07,Albert Heijn
190708,AH Biologisch Zalmfilet,"€6,61",2025-03-07,Albert Heijn
371595,AH Garnalen rauw en gepeld,"€4,99",2025-03-07,Albert Heijn
496942,Princes Tonijnstukken in zonnebloemolie,"€2,49",2025-03-07,Albert Heijn
582316,Iglo Kibbeling,"€4,99",2025-03-07,Albert Heijn
67740,AH Garnalen,"€2,89",2025-03-07,Albert Heijn
191098,Iglo Crispino's,"€4,99",2025-03-07,Albert Heijn
213759,AH Zalmfilet à la minute,"€6,13",2025-03-07,Albert Heijn
118067,AH Hollandse garnalen,"€10,99",2025-03-07,Albert Heijn
195026,AH Hollandse garnalen,"€6,49",2025-03-07,Albert Heijn
202346,Princes Ansjovisfilets in olijfolie,"€2,39",2025-03-07,Albert Heijn
571225,AH Kabeljauwschnitzel 2 stuks,"€2,69",2025-03-07,Albert Heijn
191090,Iglo Fishcuisine Italiano,"€5,99",2025-03-07,Albert Heijn
48968,AH Gerookte makreelfilet,"€3,74",2025-03-07,Albert Heijn
168829,AH Gerookte zalmsnippers,"€7,49",2025-03-07,Albert Heijn
121457,AH Surimi sticks,"€1,69",2025-03-07,Albert Heijn
217607,Iglo Lekkerbekjes in bierbeslag,"€4,99",2025-03-07,Albert Heijn
55671,AH Gerookte zalmblokjes,"€4,99",2025-03-07,Albert Heijn
141565,AH Wilde zalmfilets,"€7,99",2025-03-07,Albert Heijn
496943,Princes Tonijnstukken in olijfolie,"€2,99",2025-03-07,Albert Heijn
173876,AH Warmgerookte zalmfilet,"€8,69",2025-03-07,Albert Heijn
792,AH Kabeljauw,"€5,19",2025-03-07,Albert Heijn
238106,John West Tonijnmoot in olijfolie,"€3,99",2025-03-07,Albert Heijn
565864,Princes Ansjovisfilets in zonnebloemolie,"€1,99",2025-03-07,Albert Heijn
130190,AH Sandwich zalmplakken,"€5,59",2025-03-07,Albert Heijn
197753,AH Pangasiusfilet knoflook-citroen,"€6,29",2025-03-07,Albert Heijn
225135,Fish Tales Sockeye gerookte wilde zalm,"€6,99",2025-03-07,Albert Heijn
121444,AH Haringfilet met uitjes,"€2,89",2025-03-07,Albert Heijn
512832,AH Gerookte makreel flakes,"€5,15",2025-03-07,Albert Heijn
558178,AH Kabeljauwhaasje,"€4,49",2025-03-07,Albert Heijn
166257,AH Biologisch Garnalen,"€3,19",2025-03-07,Albert Heijn
368347,John West Tonijn in olie 3-pack,"€7,59",2025-03-07,Albert Heijn
416296,AH Kabeljauwfilet,"€6,99",2025-03-07,Albert Heijn
516979,AH Gerookte zalm 30% verlaagd in zout,"€4,59",2025-03-07,Albert Heijn
185801,AH Gerookte sockeye zalm,"€4,99",2025-03-07,Albert Heijn
484538,AH Zalmfilet op huid,"€4,88",2025-03-07,Albert Heijn
231914,Iglo Fish burgers classic,"€3,99",2025-03-07,Albert Heijn
368348,John West Tonijn in water 3-pack,"€7,59",2025-03-07,Albert Heijn
55994,AH Rivierkreeftjes,"€3,99",2025-03-07,Albert Heijn
415351,AH Roerbak garnalen knoflook,"€5,49",2025-03-07,Albert Heijn
217010,AH Gepelde roze garnalen rauw,"€9,49",2025-03-07,Albert Heijn
579289,AH Gepelde roze garnalen rauw 2-pack,"€18,98",2025-03-07,Albert Heijn
213328,AH Haring met uitjes,"€2,79",2025-03-07,Albert Heijn
445472,Iglo Vissticks,"€8,29",2025-03-07,Albert Heijn
217240,AH Tonijnsteak wit,"€4,99",2025-03-07,Albert Heijn
561826,AH Oven zalm crumble,"€7,91",2025-03-07,Albert Heijn
53220,AH Cocktail garnalen,"€2,39",2025-03-07,Albert Heijn
111167,Iglo Kapiteins klassiekers schatzoekers,"€5,99",2025-03-07,Albert Heijn
568726,AH Gerookte zalmfilet 2-pack,"€5,18",2025-03-07,Albert Heijn
571234,AH Pangasiusfilet,"€2,91",2025-03-07,Albert Heijn
485299,Princes Tonijnstukken in zonnebloemolie voordeel,"€6,49",2025-03-07,Albert Heijn
367531,Fish Tales Skipjack tonijn in water,"€3,79",2025-03-07,Albert Heijn
97361,AH Reuzengarnalen rauw en ongepeld,"€6,99",2025-03-07,Albert Heijn
395373,AH Grote garnalen,"€3,49",2025-03-07,Albert Heijn
159714,Princes Makreel in water,"€1,99",2025-03-07,Albert Heijn
147376,John West Tonijnstukken in olijfolie,"€3,49",2025-03-07,Albert Heijn
377317,AH Biologisch Garnalen rauw en gepeld,"€6,49",2025-03-07,Albert Heijn
415352,AH Roerbakgarnalen naturel,"€5,39",2025-03-07,Albert Heijn
579355,AH Biologisch Garnalen rauw en gepeld 2-pack,"€12,98",2025-03-07,Albert Heijn
136373,AH Wokgarnalen met knoflook en peterselie,"€8,29",2025-03-07,Albert Heijn
579352,AH Wokgarnalen knoflook & peterselie 2-pack,"€16,58",2025-03-07,Albert Heijn
233479,AH Warmgerookte zalm flakes,"€5,99",2025-03-07,Albert Heijn
582177,AH Noordse garnalen,"€3,89",2025-03-07,Albert Heijn
238105,John West Tonijnmoot in water,"€3,55",2025-03-07,Albert Heijn
121478,AH Kabeljauwfilet,"€10,29",2025-03-07,Albert Heijn
183607,Princes Makreel in zonnebloemolie,"€2,09",2025-03-07,Albert Heijn
571229,AH Warmgerookte zalmfilet,"€4,68",2025-03-07,Albert Heijn
365666,AH Kabeljauwhaasje,"€5,99",2025-03-07,Albert Heijn
555282,AH Gerookte forelfilet,"€3,84",2025-03-07,Albert Heijn
507423,Garden Gourmet Vuna,"€4,29",2025-03-07,Albert Heijn
54229,AH Surimi flakes,"€2,59",2025-03-07,Albert Heijn
211934,Iglo Vissticks omega-3,"€4,75",2025-03-07,Albert Heijn
515444,Vivera Plantaardige zalmfilet,"€3,79",2025-03-07,Albert Heijn
53542,Ouwehand Zure haring,"€2,99",2025-03-07,Albert Heijn
496945,Princes Haring in milde tomatensaus,"€1,89",2025-03-07,Albert Heijn
213751,AH Toast zalm,"€5,99",2025-03-07,Albert Heijn
550322,Iglo Smaak sensatie spinazie,"€5,29",2025-03-07,Albert Heijn
223398,Fish Tales Ansjovisfilets in olijfolie,"€2,99",2025-03-07,Albert Heijn
496773,John West Twist tonijn ovengedroogde tomaat,"€3,29",2025-03-07,Albert Heijn
496944,Princes Tonijnstukken groenten,"€2,69",2025-03-07,Albert Heijn
182934,AH Sushi hosomaki set,"€4,99",2025-03-07,Albert Heijn
217011,AH Tonijnsteaks,"€5,99",2025-03-07,Albert Heijn
457563,AH Halve gerookte makreel,"€4,49",2025-03-07,Albert Heijn
51337,AH Gebakken kibbeling,"€5,41",2025-03-07,Albert Heijn
123975,John West Tonijnpaté,"€3,15",2025-03-07,Albert Heijn
415378,AH Cocktail saus,"€1,69",2025-03-07,Albert Heijn
458966,AH Wokgarnalen,"€5,99",2025-03-07,Albert Heijn
226265,John West Tonijnstukken in zonnebloemolie,"€2,79",2025-03-07,Albert Heijn
97360,AH Cocktail garnalen,"€6,75",2025-03-07,Albert Heijn
53543,Ouwehand Rolmops,"€2,99",2025-03-07,Albert Heijn
476981,Princes Tonijnmoot in water,"€2,99",2025-03-07,Albert Heijn
537036,John West Sardines olijfolie,"€2,19",2025-03-07,Albert Heijn
395374,AH Cocktail garnalen,"€4,59",2025-03-07,Albert Heijn
514927,AH Zalmforel eitjes,"€6,49",2025-03-07,Albert Heijn
571226,AH Heekfilet kerrie,"€5,49",2025-03-07,Albert Heijn
195735,Princes Makreel in pittige tomatensaus,"€1,99",2025-03-07,Albert Heijn
523282,AH Biologisch Roerbakgarnalen,"€3,99",2025-03-07,Albert Heijn
371594,AH Cocktailgarnalen,"€3,99",2025-03-07,Albert Heijn
396815,AH Tilapiafilet graatvrij,"€3,49",2025-03-07,Albert Heijn
582543,AH Lekkerbekjes krokant korstje,"€2,99",2025-03-07,Albert Heijn
97363,AH Gemengde zeevruchten,"€6,99",2025-03-07,Albert Heijn
191091,Iglo Fishcuisine Florentine,"€6,99",2025-03-07,Albert Heijn
200104,Statesman Haringfilets in tomatensaus,"€1,15",2025-03-07,Albert Heijn
368349,John West Tonijn in olijfolie 3-pack,"€8,99",2025-03-07,Albert Heijn
1765,John West Wilde roze zalm,"€4,29",2025-03-07,Albert Heijn
210991,AH Gerookte haringfilet,"€3,18",2025-03-07,Albert Heijn
476859,Fish Tales Skipjack tonijn in water 2-pack,"€4,49",2025-03-07,Albert Heijn
489414,AH Grote roerbak garnalen rauw & gepeld,"€4,59",2025-03-07,Albert Heijn
38213,John West Wilde roze zalm,"€6,79",2025-03-07,Albert Heijn
582339,AH Visfrietjes krokant korstje,"€2,99",2025-03-07,Albert Heijn
226922,AH Gekookte mosselen,"€1,99",2025-03-07,Albert Heijn
376617,AH Gravad lachs,"€4,99",2025-03-07,Albert Heijn
223397,Fish Tales Sardines in water,"€2,79",2025-03-07,Albert Heijn
571236,AH Zalmhaas gerookt,"€4,99",2025-03-07,Albert Heijn
447710,AH Flame roasted zalm,"€5,69",2025-03-07,Albert Heijn
484537,AH Pangasius Mediterraans koekenpan,"€5,99",2025-03-07,Albert Heijn
537132,Princes Ansjovis in olijfolie,"€4,49",2025-03-07,Albert Heijn
147649,John West Vispaté zalm,"€3,15",2025-03-07,Albert Heijn
561827,AH Hollandse garnalen,"€3,99",2025-03-07,Albert Heijn
400399,Fish Tales Skipjack tonijn in olijfolie,"€4,49",2025-03-07,Albert Heijn
231423,AH Ravigotesaus,"€1,59",2025-03-07,Albert Heijn
580685,John West Protein tonijnmoot water,"€3,25",2025-03-07,Albert Heijn
580687,John West Protein tonijnmoot olijfolie,"€3,35",2025-03-07,Albert Heijn
514198,Princes Tonijnstukken olijfolie voordeelpak,"€7,99",2025-03-07,Albert Heijn
51336,AH Lekkerbekjes gebakken,"€5,49",2025-03-07,Albert Heijn
195777,Princes Kabeljauwlever,"€2,29",2025-03-07,Albert Heijn
226968,AH Verse mosselen,"€9,99",2025-03-07,Albert Heijn
485275,Fish Tales Wilde zalm zonder vel & graat,"€4,99",2025-03-07,Albert Heijn
415365,AH Sushi edo,"€9,99",2025-03-07,Albert Heijn
537037,John West Sardines olie 2-pack,"€3,69",2025-03-07,Albert Heijn
571128,AH Gerookte makreel filet peper,"€4,39",2025-03-07,Albert Heijn
367532,Fish Tales Skipjack tonijn in zonnebloemolie,"€3,79",2025-03-07,Albert Heijn
507067,Cavinoir Imperial selection,"€6,49",2025-03-07,Albert Heijn
476857,Fish Tales Skipjack tonijn in olijfolie 2-pack,"€4,79",2025-03-07,Albert Heijn
571228,AH Heekfilet gemarineerd,"€4,99",2025-03-07,Albert Heijn
38218,John West Wilde rode zalm,"€6,79",2025-03-07,Albert Heijn
96466,AH Zalmhaasje,"€8,46",2025-03-07,Albert Heijn
461772,Fish Tales Atlantische gerookte zalm,"€5,49",2025-03-07,Albert Heijn
569103,Fish Tales Anjovisfilets in olijfolie,"€4,99",2025-03-07,Albert Heijn
567333,AH Gerookte zalmfilet 3-pack,"€13,77",2025-03-07,Albert Heijn
177079,John West Tonijn met een vleugje water 2-pack,"€3,45",2025-03-07,Albert Heijn
496387,John West Twist tonijn met Franse dressing,"€3,29",2025-03-07,Albert Heijn
523283,AH Garnalen,"€5,49",2025-03-07,Albert Heijn
198368,Morjon Sardines in soja olie,"€1,49",2025-03-07,Albert Heijn
571235,AH Sushi kachi,"€6,99",2025-03-07,Albert Heijn
582623,AH Terra Plantaardige vissticks,"€3,49",2025-03-07,Albert Heijn
201935,Brunswick Sardines hot peppers,"€1,79",2025-03-07,Albert Heijn
194159,John West Wilde roze zalm zonder vel en graat,"€6,65",2025-03-07,Albert Heijn
410379,Fish Tales Makreelfilet in olie,"€2,69",2025-03-07,Albert Heijn
172763,Ouwehand Braadharing,"€2,69",2025-03-07,Albert Heijn
582185,AH Warm gerookte vis tapas,"€6,99",2025-03-07,Albert Heijn
480680,Ortiz Sardines borrelblikje,"€3,59",2025-03-07,Albert Heijn
496774,John West Twist tonijn met honing & mosterd,"€3,29",2025-03-07,Albert Heijn
159574,Rio Mare Tonijn in olijfolie,"€4,49",2025-03-07,Albert Heijn
177080,John West Tonijn met een vleugje olijfolie 2-pack,"€3,75",2025-03-07,Albert Heijn
476984,Fish Tales Tonijn in water zonder toegevoegd zout,"€3,99",2025-03-07,Albert Heijn
241731,Ouwehand Zure haring,"€3,99",2025-03-07,Albert Heijn
226266,John West Tonijnstukken met groente,"€2,59",2025-03-07,Albert Heijn
410025,John West Haringfilets in tomatensaus,"€1,99",2025-03-07,Albert Heijn
476982,Princes Tonijnmoot in zonnebloemolie,"€3,09",2025-03-07,Albert Heijn
201956,Brunswick Canadian style sardines,"€1,79",2025-03-07,Albert Heijn
127094,Fish Tales Gerookte horsmakreelfilet,"€4,99",2025-03-07,Albert Heijn
195676,Princes Ansjovisfilets met kappertjes,"€2,25",2025-03-07,Albert Heijn
367533,Morjon Pilchards in tomatensaus,"€2,19",2025-03-07,Albert Heijn
415386,AH Intens gerookte zalm,"€4,99",2025-03-07,Albert Heijn
480679,Ortiz Tonijn borrelblikje,"€3,99",2025-03-07,Albert Heijn
496462,John West Twist zalm met citroen & tijm,"€3,49",2025-03-07,Albert Heijn
568749,AH Grote garnalen 2-pack,"€6,98",2025-03-07,Albert Heijn
54356,AH Zeevruchten,"€3,99",2025-03-07,Albert Heijn
197685,Ouwehand Zure haring,"€6,49",2025-03-07,Albert Heijn
570111,Fish Tales Sardines in olijfolie,"€3,29",2025-03-07,Albert Heijn
478094,AH Garnalen met staart gekookt & gepeld,"€6,29",2025-03-07,Albert Heijn
1793,John West Wilde rode zalm,"€4,19",2025-03-07,Albert Heijn
121432,Ouwehand Zoetzure haring,"€3,19",2025-03-07,Albert Heijn
211055,John West Gerookte makreel,"€2,69",2025-03-07,Albert Heijn
223390,Rio Mare Insalatissime tuna salad couscous,"€4,19",2025-03-07,Albert Heijn
571227,AH Pangasiusfilet sweet-chili,"€6,69",2025-03-07,Albert Heijn
577117,Prins & Dingemanse Voorgestoomde mosselen mediteraanse saus,"€5,99",2025-03-07,Albert Heijn
582337,AH Vis ovenschotel met peterselie,"€3,99",2025-03-07,Albert Heijn
476858,Fish Tales Skipjack tonijn in biologische olijfolie,"€4,99",2025-03-07,Albert Heijn
561332,Fish Tales Skipjack tonijn in water 3-pack,"€9,49",2025-03-07,Albert Heijn
570115,Princes Tonijnsalade Mexicaans,"€3,69",2025-03-07,Albert Heijn
582182,AH Kabeljauwfilet Provencaals,"€5,99",2025-03-07,Albert Heijn
467825,Fish Tales Ansjovispasta,"€2,99",2025-03-07,Albert Heijn
482526,Morjon Bakkeljauw filet,"€6,29",2025-03-07,Albert Heijn
537039,John West Sardines tomatensaus,"€2,19",2025-03-07,Albert Heijn
561330,Fish Tales Skipjack tonijn in olijfolie 3-pack,"€10,99",2025-03-07,Albert Heijn
570105,John West Makreel tomaat,"€2,19",2025-03-07,Albert Heijn
577878,AH Gerookte zalmsnippers 2-pack,"€14,98",2025-03-07,Albert Heijn
570104,John West Makreel olie,"€2,19",2025-03-07,Albert Heijn
163379,Rio Mare Insalatissime tuna salad messicana,"€4,19",2025-03-07,Albert Heijn
484404,AH Gamba's gekookt & ongepeld,"€3,79",2025-03-07,Albert Heijn
561057,Prins & Dingemanse Gekookte mosselen in azijn,"€1,99",2025-03-07,Albert Heijn
581474,John West Ansjovisfilets olijfolie,"€4,79",2025-03-07,Albert Heijn
582338,AH Vis ovenschotel met tomaat,"€3,99",2025-03-07,Albert Heijn
365750,Angulas Aguinaga Oktopus staart,"€8,49",2025-03-07,Albert Heijn
373983,Fish Tales Witte tonijn in olijfolie,"€7,49",2025-03-07,Albert Heijn
480681,Ortiz Sardines glas,"€4,89",2025-03-07,Albert Heijn
537038,John West Sardines extra vierge olijfolie,"€2,55",2025-03-07,Albert Heijn
549457,John West Vegan visvrije tonijn met olie,"€2,69",2025-03-07,Albert Heijn
582181,AH Roerbakgarnalen citroen en peper,"€5,49",2025-03-07,Albert Heijn
587237,John West Ansjovisfilets olie,"€2,79",2025-03-07,Albert Heijn
195942,Rio Mare Pate tonijn,"€3,59",2025-03-07,Albert Heijn
437207,Rio Mare Tonno al naturale,"€4,89",2025-03-07,Albert Heijn
489413,AH Schotse zalm,"€5,49",2025-03-07,Albert Heijn
537035,John West Sardines olie,"€2,19",2025-03-07,Albert Heijn
537042,Princes Plantaardige tonijn met olijfolie,"€3,29",2025-03-07,Albert Heijn
570103,John West Makreel water,"€2,19",2025-03-07,Albert Heijn
368686,Morjon Pilchards in tomatensaus,"€4,29",2025-03-07,Albert Heijn
395298,John West Kabeljauwlever,"€2,69",2025-03-07,Albert Heijn
570112,Fish Tales Sardines in olijfolie met citroen,"€3,29",2025-03-07,Albert Heijn
223395,Fish Tales Witte tonijn in olijfolie,"€2,99",2025-03-07,Albert Heijn
371610,Consenza Moorkoppen,"€6,49",2025-03-07,Albert Heijn
549477,Princes Tonijnstukken groente pikant voordeelpak,"€6,99",2025-03-07,Albert Heijn
570113,Fish Tales Sardines in pittige tomatensaus,"€3,29",2025-03-07,Albert Heijn
163354,Rio Mare Tonijn in water,"€4,19",2025-03-07,Albert Heijn
467819,Fish Tales Kabeljauwlever,"€3,29",2025-03-07,Albert Heijn
549482,Princes Plantaardige tonijnsalade couscous,"€3,69",2025-03-07,Albert Heijn
570106,John West Gerookte makreel water,"€2,69",2025-03-07,Albert Heijn
580686,John West Protein tonijn bowl quinoa peulvruchten,"€3,99",2025-03-07,Albert Heijn
580688,John West Protein tonijn bowl kidneybonen,"€3,99",2025-03-07,Albert Heijn
