id,title,original_price,scrape_date,store
457669,Beyond Meat Plant-based burger,"€4,49",2025-03-07,Albert Heijn
580479,Planted Filetstukjes lemon & herb,"€3,99",2025-03-07,Albert Heijn
4004,AH Rundergehakt,"€4,29",2025-03-07,Albert Heijn
130250,AH Spekreepjes gerookt,"€4,59",2025-03-07,Albert Heijn
533080,AH Scharrel kipfiletblokjes,"€4,99",2025-03-07,Albert Heijn
587241,Planted Filetstukjes oriental,"€3,99",2025-03-07,Albert Heijn
4007,AH Half-om-half gehakt,"€4,39",2025-03-07,Albert Heijn
531825,AH Scharrel kipfilet,"€9,49",2025-03-07,Albert Heijn
374144,Unox Knaks,"€2,89",2025-03-07,Albert Heijn
533083,AH Scharrel kipfilet 2 stuks,"€4,69",2025-03-07,Albert Heijn
531832,AH Scharrel kipdijfiletreepjes naturel,"€4,99",2025-03-07,Albert Heijn
531875,AH Scharrel krokante kipfiletschnitzel,"€3,99",2025-03-07,Albert Heijn
367557,Unox Gelderse rookworst,"€4,19",2025-03-07,Albert Heijn
130255,AH Mager spekblokjes,"€4,59",2025-03-07,Albert Heijn
199715,AH Mager rundergehakt,"€4,09",2025-03-07,Albert Heijn
197231,AH Scharrel kipdijfilet,"€5,59",2025-03-07,Albert Heijn
531876,AH Scharrel krokante kipfilet burger,"€3,49",2025-03-07,Albert Heijn
130257,AH Biologisch Spekreepjes gerookt,"€4,99",2025-03-07,Albert Heijn
451141,AH Scharrel kipfiletblokjes,"€3,59",2025-03-07,Albert Heijn
1565,AH Ontbijtspek,"€3,25",2025-03-07,Albert Heijn
567122,AH Ontbijtspek 2-pack,"€6,50",2025-03-07,Albert Heijn
531871,AH Scharrel kipburger 2 stuks,"€2,49",2025-03-07,Albert Heijn
533082,AH Scharrel kipschnitzel 2 stuks,"€2,99",2025-03-07,Albert Heijn
169175,AH Half-om-half gehakt,"€2,99",2025-03-07,Albert Heijn
187592,AH Mager rundergehakt,"€5,89",2025-03-07,Albert Heijn
238946,AH Rundersoepballetjes,"€3,39",2025-03-07,Albert Heijn
543390,AH Scharrel gerookte kipfilet,"€2,99",2025-03-07,Albert Heijn
162009,Wahid Wahid kipfilet,"€2,69",2025-03-07,Albert Heijn
531867,AH Scharrel kip cordon bleu 2 stuks,"€3,19",2025-03-07,Albert Heijn
