id,title,original_price,scrape_date,store
543332,AH Scharrel kipfilet naturel,"€2,99",2025-03-07,Albert Heijn
543345,AH Achterham,"€1,79",2025-03-07,Albert Heijn
567338,AH Achterham 2-pack,"€3,58",2025-03-07,Albert Heijn
543364,AH Boterhamworst,"€1,29",2025-03-07,Albert Heijn
543385,AH Salami,"€1,79",2025-03-07,Albert Heijn
567368,AH Salami 2-pack,"€3,58",2025-03-07,Albert Heijn
445419,Kips Vega paté vol en smeuig,"€2,49",2025-03-07,Albert Heijn
543386,AH Cervelaat,"€1,99",2025-03-07,Albert Heijn
132220,AH Kipfilet grootverpakking,"€4,89",2025-03-07,Albert Heijn
442123,AH Filet americain naturel,"€1,89",2025-03-07,Albert Heijn
280081,AH Biologisch Kipfilet,"€3,39",2025-03-07,Albert Heijn
188709,AH Yorkham,"€3,29",2025-03-07,Albert Heijn
137939,AH Scharrel kipfilet,"€3,55",2025-03-07,Albert Heijn
203333,AH Grillworst,"€2,39",2025-03-07,Albert Heijn
462712,AH Scharrel roasted kipfilet,"€3,29",2025-03-07,Albert Heijn
440331,AH Gerookte slagersachterham,"€3,29",2025-03-07,Albert Heijn
132234,AH Flinterdunne achterham,"€1,95",2025-03-07,Albert Heijn
567337,AH Flinterdunne achterham 2-pack,"€3,90",2025-03-07,Albert Heijn
370447,AH Filet americain,"€2,99",2025-03-07,Albert Heijn
132247,AH Scharrel flinterdunne kipfilet,"€2,69",2025-03-07,Albert Heijn
550829,AH Gelderse gekookte worst,"€1,79",2025-03-07,Albert Heijn
1565,AH Ontbijtspek,"€3,25",2025-03-07,Albert Heijn
567122,AH Ontbijtspek 2-pack,"€6,50",2025-03-07,Albert Heijn
440333,AH Gegrilde beenham,"€3,29",2025-03-07,Albert Heijn
186643,AH Grillworst,"€1,89",2025-03-07,Albert Heijn
543387,AH Runder rookvlees,"€2,99",2025-03-07,Albert Heijn
162009,Wahid Wahid kipfilet,"€2,69",2025-03-07,Albert Heijn
470652,AH Greenfields Carpaccio truffelmayo,"€3,99",2025-03-07,Albert Heijn
550826,AH Gebraden gehakt,"€1,99",2025-03-07,Albert Heijn
568387,AH Greenfields Rosbief,"€3,32",2025-03-07,Albert Heijn
150883,Kips Smeerleverworst,"€2,39",2025-03-07,Albert Heijn
548312,AH Scharrel kipfilet minder vet,"€2,99",2025-03-07,Albert Heijn
543384,AH Kalkoenfilet,"€2,99",2025-03-07,Albert Heijn
197177,AH Flinterdunne gegrilde beenham,"€2,99",2025-03-07,Albert Heijn
186641,AH Gelderse gekookte worst,"€1,49",2025-03-07,Albert Heijn
440336,AH Roasted ham,"€3,29",2025-03-07,Albert Heijn
192853,AH Grillworst kip,"€2,59",2025-03-07,Albert Heijn
67562,AH Leverworst,"€1,59",2025-03-07,Albert Heijn
197145,AH Gegrilde yorkham,"€3,29",2025-03-07,Albert Heijn
220401,AH Biologisch Ontbijtspek,"€2,99",2025-03-07,Albert Heijn
197173,AH Grillworst met zaanlanderkaas,"€2,59",2025-03-07,Albert Heijn
123824,AH Greenfields Carpaccio,"€3,99",2025-03-07,Albert Heijn
576786,AH Leverworst,"€1,89",2025-03-07,Albert Heijn
445420,Kips Vega smeerworst kleintje,"€2,09",2025-03-07,Albert Heijn
505580,AH Cremepaté,"€1,49",2025-03-07,Albert Heijn
197444,AH Kipgrillworst,"€2,59",2025-03-07,Albert Heijn
543388,AH Gegrild gehakt,"€1,49",2025-03-07,Albert Heijn
370450,AH Filet americain mager,"€2,99",2025-03-07,Albert Heijn
221031,AH Gerookt ontbijtspek,"€2,29",2025-03-07,Albert Heijn
137942,AH Ossenworst,"€2,99",2025-03-07,Albert Heijn
132224,AH Achterham grootverpakking,"€2,89",2025-03-07,Albert Heijn
465638,Streeckgenoten Boterhamworst,"€2,29",2025-03-07,Albert Heijn
577134,AH Figuur boterhamworst,"€1,99",2025-03-07,Albert Heijn
400690,AH Tostiham,"€1,99",2025-03-07,Albert Heijn
197425,AH Ontbijtspek,"€1,69",2025-03-07,Albert Heijn
568738,AH Ontbijtspek 2-pack,"€3,38",2025-03-07,Albert Heijn
197446,AH Ardenner boterhamworst,"€2,35",2025-03-07,Albert Heijn
188751,AH Greenfields Runderrookvlees,"€3,29",2025-03-07,Albert Heijn
130525,Kroon Saksische leverworst,"€0,75",2025-03-07,Albert Heijn
197430,Zandvliet Gelderse gekookte worst,"€3,99",2025-03-07,Albert Heijn
167905,AH Biologisch Yorkham,"€3,59",2025-03-07,Albert Heijn
401061,AH Pannenkoekspek,"€2,25",2025-03-07,Albert Heijn
580365,AH Pannenkoekspek 3-pack,"€6,75",2025-03-07,Albert Heijn
188574,AH Biologisch Runderrookvlees,"€3,49",2025-03-07,Albert Heijn
147246,Wahid Kipboterhamworst,"€1,99",2025-03-07,Albert Heijn
419916,AH Excellent Prosciutto di parma,"€3,99",2025-03-07,Albert Heijn
137935,AH Goudsalami,"€2,49",2025-03-07,Albert Heijn
550831,AH Boterhamworst,"€1,99",2025-03-07,Albert Heijn
281469,AH Biologisch Achterham,"€3,59",2025-03-07,Albert Heijn
415761,Streeckgenoten Grillworst naturel,"€2,69",2025-03-07,Albert Heijn
505441,AH Scharrel kipfilet,"€4,99",2025-03-07,Albert Heijn
498162,AH Excellent Prosciutto crudo,"€2,19",2025-03-07,Albert Heijn
442125,AH Filet americain mager,"€1,89",2025-03-07,Albert Heijn
170741,AH Biologisch Salami,"€2,99",2025-03-07,Albert Heijn
419921,AH Excellent Mortadella di bologna,"€2,79",2025-03-07,Albert Heijn
498023,AH Grillworst,"€2,99",2025-03-07,Albert Heijn
483969,AH Greenfields Rosbief peper kleinverpakking,"€1,99",2025-03-07,Albert Heijn
197149,AH Coburgerham,"€2,79",2025-03-07,Albert Heijn
489284,AH Terra Plantaardige grillworst,"€1,99",2025-03-07,Albert Heijn
162008,Wahid Kalkoenham,"€2,99",2025-03-07,Albert Heijn
543389,AH Bacon,"€1,99",2025-03-07,Albert Heijn
188710,AH Cervelaat,"€2,99",2025-03-07,Albert Heijn
471311,Marhaba Rundersalami,"€2,39",2025-03-07,Albert Heijn
216760,AH Serrano ham,"€3,69",2025-03-07,Albert Heijn
197377,AH Ossenworst,"€2,99",2025-03-07,Albert Heijn
132221,AH Goudsalami grootverpakking,"€2,89",2025-03-07,Albert Heijn
497903,AH Excellent Jamon serrano,"€2,19",2025-03-07,Albert Heijn
543344,AH Casselerrib,"€1,99",2025-03-07,Albert Heijn
462556,Kips Vega smeerworst tuinkruiden,"€2,49",2025-03-07,Albert Heijn
562279,AH Excellent Spianata romana,"€2,99",2025-03-07,Albert Heijn
493045,AH Roasted gehakt,"€2,89",2025-03-07,Albert Heijn
505579,AH Cranberrypate,"€1,49",2025-03-07,Albert Heijn
580358,AH Roasted gehakt 2-pack,"€5,78",2025-03-07,Albert Heijn
281000,AH Biologisch Rosbief,"€3,69",2025-03-07,Albert Heijn
550828,AH Schouderham,"€1,99",2025-03-07,Albert Heijn
440358,AH Scharrel flinterdunne kipfilet,"€3,19",2025-03-07,Albert Heijn
386107,AH Uitgebakken ontbijtspek,"€2,99",2025-03-07,Albert Heijn
163548,AH Saksische leverworst,"€0,99",2025-03-07,Albert Heijn
451534,AH Greenfields Runderrookvlees kleinverpakking,"€1,99",2025-03-07,Albert Heijn
445436,AH Scharrel kipfilet tuinkruiden,"€2,99",2025-03-07,Albert Heijn
579586,AH Keulse smeerleverworst,"€2,49",2025-03-07,Albert Heijn
579585,AH Saksische smeerleverworst,"€2,49",2025-03-07,Albert Heijn
97025,AH Cremepaté,"€2,79",2025-03-07,Albert Heijn
3051,Kips Leverworst,"€2,19",2025-03-07,Albert Heijn
454461,AH Prosciutto di parma,"€3,39",2025-03-07,Albert Heijn
437064,AH Fricandeau,"€2,99",2025-03-07,Albert Heijn
550830,AH Ardenner boterhamworst,"€1,99",2025-03-07,Albert Heijn
465642,AH Biologisch Grillworst,"€2,99",2025-03-07,Albert Heijn
413227,Streeckgenoten Ambachtelijk gehakt,"€2,49",2025-03-07,Albert Heijn
80219,AH Gerookte Gelderse gekookte worst,"€2,49",2025-03-07,Albert Heijn
454042,Streeckgenoten Filet americain,"€3,19",2025-03-07,Albert Heijn
498024,AH Kipgrillworst,"€3,39",2025-03-07,Albert Heijn
370448,AH Filet americain peper,"€2,99",2025-03-07,Albert Heijn
132222,AH Gelderse gekookte worst grootverpakkingt,"€2,39",2025-03-07,Albert Heijn
462560,Kips Magere crème paté,"€2,15",2025-03-07,Albert Heijn
572427,AH Biologisch Kipfilet flinterdun,"€3,49",2025-03-07,Albert Heijn
471360,Marhaba Kipfilet,"€2,49",2025-03-07,Albert Heijn
414984,AH Scharrel kipfilet sweet chili,"€2,99",2025-03-07,Albert Heijn
484084,Streeckgenoten Rookvlees,"€3,39",2025-03-07,Albert Heijn
370449,AH Filet americain met ui,"€2,99",2025-03-07,Albert Heijn
414982,Vegetarische Slager Vegan petit filet americain,"€2,49",2025-03-07,Albert Heijn
170175,Kips Roompaté,"€2,15",2025-03-07,Albert Heijn
316881,AH Scharrel kipfilet provencaalse kruiden,"€3,59",2025-03-07,Albert Heijn
413231,Streeckgenoten Limburgse achterham,"€3,39",2025-03-07,Albert Heijn
413234,Streeckgenoten Magere cervelaat,"€2,99",2025-03-07,Albert Heijn
580357,Streeckgenoten Limburgse achterham 2-pack,"€6,78",2025-03-07,Albert Heijn
186645,AH Leverkaas,"€1,25",2025-03-07,Albert Heijn
186634,AH Wijncervelaat,"€2,45",2025-03-07,Albert Heijn
493117,Garden Gourmet Smeerworst,"€2,39",2025-03-07,Albert Heijn
586891,Garden Gourmet smeerworst Naturel 7-pack,"€16,73",2025-03-07,Albert Heijn
389626,Vegetarische Slager Boterhamworst,"€1,69",2025-03-07,Albert Heijn
560665,AH Salami,"€1,49",2025-03-07,Albert Heijn
445418,AH Scharrel kipfilet pittig,"€2,99",2025-03-07,Albert Heijn
505582,AH Groene peper cremepaté,"€1,49",2025-03-07,Albert Heijn
493192,Garden Gourmet Smeerworst tuinkruiden,"€2,39",2025-03-07,Albert Heijn
572627,AH Excellent Jamon serrano gran reserva,"€3,49",2025-03-07,Albert Heijn
586893,Garden Gourmet Smeerworst Tuinkruiden 7-pack,"€16,73",2025-03-07,Albert Heijn
543406,AH Rauwe ham,"€2,79",2025-03-07,Albert Heijn
388899,Vegetarische Slager Kipworst,"€2,59",2025-03-07,Albert Heijn
130793,AH Cervelaat grootverpakking,"€2,99",2025-03-07,Albert Heijn
516428,Streeckgenoten Ovengebakken kipfilet,"€3,69",2025-03-07,Albert Heijn
445439,AH Jamon serrano,"€3,19",2025-03-07,Albert Heijn
580366,AH Jamon serrano 3-pack,"€9,57",2025-03-07,Albert Heijn
572414,AH Biologisch Filet americain,"€3,19",2025-03-07,Albert Heijn
183171,AH Pepercervelaat,"€2,75",2025-03-07,Albert Heijn
400693,AH Witlofham,"€1,99",2025-03-07,Albert Heijn
419914,AH Kipcervelaat,"€3,29",2025-03-07,Albert Heijn
498161,AH Excellent Spianata romana,"€2,19",2025-03-07,Albert Heijn
420941,Kips Smeerleverworst kleintje mager,"€2,39",2025-03-07,Albert Heijn
498164,AH Cremepate,"€1,39",2025-03-07,Albert Heijn
454038,AH Pepperoni,"€1,99",2025-03-07,Albert Heijn
497881,AH Chorizo,"€1,59",2025-03-07,Albert Heijn
421094,Streeckgenoten Kookworst,"€2,29",2025-03-07,Albert Heijn
576790,AH Slagers gekookte worst,"€1,89",2025-03-07,Albert Heijn
440451,AH Filet americain ei en ui,"€2,99",2025-03-07,Albert Heijn
127477,AH Cranberry paté,"€2,79",2025-03-07,Albert Heijn
171472,AH Biologisch Katenspek,"€3,19",2025-03-07,Albert Heijn
465639,Streeckgenoten Cervelaat speciaal,"€2,99",2025-03-07,Albert Heijn
126993,AH Kalkoenborstfilet,"€3,39",2025-03-07,Albert Heijn
413235,Streeckgenoten Cervelaat klein,"€2,99",2025-03-07,Albert Heijn
445437,AH Chorizo pamplona,"€1,79",2025-03-07,Albert Heijn
171458,AH Zeeuws spek,"€2,99",2025-03-07,Albert Heijn
550122,AH Grillworst jalapeno Zaanlander kaas,"€2,49",2025-03-07,Albert Heijn
577300,AH Terra Plantaardige filet americain,"€2,39",2025-03-07,Albert Heijn
543167,AH Yorkham,"€2,99",2025-03-07,Albert Heijn
404528,Ikbal Kipboterhamworst paprika,"€1,89",2025-03-07,Albert Heijn
370480,AH Filet americain,"€1,99",2025-03-07,Albert Heijn
550827,AH Leverkaas,"€1,99",2025-03-07,Albert Heijn
462641,AH Coburger schinken,"€2,45",2025-03-07,Albert Heijn
419920,AH Excellent Pancetta,"€3,19",2025-03-07,Albert Heijn
52055,AH Ongekookt zuurkool spek stukje,"€4,49",2025-03-07,Albert Heijn
203341,AH Corned beef,"€2,99",2025-03-07,Albert Heijn
370454,AH Filet americain carpaccio,"€2,99",2025-03-07,Albert Heijn
454579,AH Flinterdunne goudsalami,"€1,99",2025-03-07,Albert Heijn
474825,Kips Vega filet americain,"€2,49",2025-03-07,Albert Heijn
216761,AH Schwarzwalder schinken,"€2,69",2025-03-07,Albert Heijn
171460,AH Grillworst zaanlanderkaas,"€4,49",2025-03-07,Albert Heijn
229400,AH Biefstuk ossenworst plakjes,"€3,19",2025-03-07,Albert Heijn
400699,AH Pizza salami,"€2,59",2025-03-07,Albert Heijn
419923,AH Excellent Salame milano,"€3,19",2025-03-07,Albert Heijn
55781,AH Grillworst,"€4,39",2025-03-07,Albert Heijn
576791,AH Zure zult,"€1,89",2025-03-07,Albert Heijn
507661,Streeckgenoten Rosbief,"€3,69",2025-03-07,Albert Heijn
127476,AH Ardenner paté,"€2,79",2025-03-07,Albert Heijn
366079,AH Rundersalami,"€2,99",2025-03-07,Albert Heijn
505578,AH Ardenner paté,"€1,49",2025-03-07,Albert Heijn
419919,AH Excellent Antipasto,"€3,99",2025-03-07,Albert Heijn
566114,Wahid Kipgrillworst,"€2,69",2025-03-07,Albert Heijn
568379,AH Kalkoenfilet 2-pack,"€5,98",2025-03-07,Albert Heijn
484053,Streeckgenoten Boterhamworst klein,"€2,29",2025-03-07,Albert Heijn
577137,AH Pain de provence,"€1,99",2025-03-07,Albert Heijn
570399,AH Excellent Hongaarse salami,"€2,99",2025-03-07,Albert Heijn
548313,AH Scharrel kipfilet flinterdun minder vet,"€2,99",2025-03-07,Albert Heijn
479367,AH Pancetta,"€2,79",2025-03-07,Albert Heijn
498160,AH Excellent Salame cacciatore,"€2,19",2025-03-07,Albert Heijn
572428,AH Biologisch Kalkoenfilet,"€3,39",2025-03-07,Albert Heijn
567334,AH Grillworst kaas,"€1,99",2025-03-07,Albert Heijn
210987,AH Leverworst,"€1,09",2025-03-07,Albert Heijn
442128,AH Schwarzwalder schinken,"€2,99",2025-03-07,Albert Heijn
197147,AH Gerookt ontbijtspek,"€2,99",2025-03-07,Albert Heijn
122534,AH Ossenworst,"€3,99",2025-03-07,Albert Heijn
192850,AH Scharrel kipfilet bieslook,"€3,59",2025-03-07,Albert Heijn
505443,AH Vitello tonnato,"€4,99",2025-03-07,Albert Heijn
413881,Streeckgenoten Grillworst pikant,"€2,79",2025-03-07,Albert Heijn
370479,AH Filet americain mager,"€1,99",2025-03-07,Albert Heijn
494056,AH Greenfields Carpaccio honing mosterd,"€3,99",2025-03-07,Albert Heijn
543391,AH Gegrilde beenham,"€2,99",2025-03-07,Albert Heijn
560668,AH Scharrel kipfilet,"€1,99",2025-03-07,Albert Heijn
498143,Streeckgenoten Palingworst,"€2,39",2025-03-07,Albert Heijn
570865,AH Kalkoensalami,"€2,79",2025-03-07,Albert Heijn
413229,Streeckgenoten Koempelpastei,"€2,49",2025-03-07,Albert Heijn
580695,Streeckgenoten Gerookte ribeye,"€3,59",2025-03-07,Albert Heijn
419909,AH Boerenmetworst,"€2,79",2025-03-07,Albert Heijn
377215,AH Gehakt met ui,"€2,80",2025-03-07,Albert Heijn
507664,Streeckgenoten Fricandeau,"€3,39",2025-03-07,Albert Heijn
550121,AH Grillworst saté,"€2,49",2025-03-07,Albert Heijn
489280,AH Terra Plantaardige ham,"€1,99",2025-03-07,Albert Heijn
324554,AH Gehakt cordon bleu,"€2,69",2025-03-07,Albert Heijn
171456,AH Katenspek,"€3,19",2025-03-07,Albert Heijn
