id,title,original_price,scrape_date,store
585874,Melkunie Breaker lemon cheesecake yoghurt,"€1,59",2025-03-07,Albert Heijn
585900,Melkunie Protein chocolate fudge flavoured mousse,"€1,99",2025-03-07,Albert Heijn
450534,AH Houdbare halfvolle melk,"€1,05",2025-03-07,Albert Heijn
33693,AH Halfvolle melk,"€1,79",2025-03-07,Albert Heijn
1525,AH Halfvolle melk,"€1,25",2025-03-07,Albert Heijn
585901,Melkunie Protein banana toffee flavoured mousse,"€1,99",2025-03-07,Albert Heijn
442922,AH Witte vrije uitloopeieren M,"€1,89",2025-03-07,Albert Heijn
382907,AH Biologisch Halfvolle melk,"€1,99",2025-03-07,Albert Heijn
231878,AH Magere kwark,"€2,49",2025-03-07,Albert Heijn
1524,AH Volle melk,"€1,35",2025-03-07,Albert Heijn
130273,AH Verse scharreleieren M,"€5,99",2025-03-07,Albert Heijn
61009,AH Biologisch Volle melk,"€1,39",2025-03-07,Albert Heijn
412158,Oatly! Haver barista edition,"€2,89",2025-03-07,Albert Heijn
587254,Oatly! Barista Edition 1L 4-pack,"€11,56",2025-03-07,Albert Heijn
114817,AH Biologisch Magere kwark,"€1,59",2025-03-07,Albert Heijn
429772,AH Biologisch Halfvolle yoghurt,"€1,69",2025-03-07,Albert Heijn
61007,AH Biologisch Halfvolle melk,"€1,35",2025-03-07,Albert Heijn
60746,AH Biologisch Volle yoghurt,"€1,69",2025-03-07,Albert Heijn
108655,AH Biologisch Houdbare halfvolle melk,"€1,29",2025-03-07,Albert Heijn
451172,AH Biologisch Yoghurt Griekse stijl,"€2,99",2025-03-07,Albert Heijn
118131,AH Vanillevla,"€1,59",2025-03-07,Albert Heijn
33658,AH Verse scharreleieren M,"€3,49",2025-03-07,Albert Heijn
108654,AH Biologisch Houdbare volle melk,"€1,45",2025-03-07,Albert Heijn
96643,AH Magere yoghurt,"€1,49",2025-03-07,Albert Heijn
2465,Chocomel Vol,"€2,29",2025-03-07,Albert Heijn
580252,Chocomel volle chocolademelk 1L 3-pack,"€6,87",2025-03-07,Albert Heijn
168502,AH Biologisch Eieren S M L,"€4,15",2025-03-07,Albert Heijn
450536,AH Houdbare magere melk,"€1,05",2025-03-07,Albert Heijn
443661,AH Biologisch Halfvolle melk,"€2,59",2025-03-07,Albert Heijn
63453,AH Magere kwark,"€1,49",2025-03-07,Albert Heijn
61010,AH Biologisch Magere yoghurt,"€1,55",2025-03-07,Albert Heijn
161932,AH Kokosmelk,"€0,99",2025-03-07,Albert Heijn
545537,AH Kokosmelk 4-pack,"€3,96",2025-03-07,Albert Heijn
58082,AH Biologisch Roomboter ongezouten,"€3,59",2025-03-07,Albert Heijn
456324,AH Drinkyoghurt aardbei kerssmaak,"€1,29",2025-03-07,Albert Heijn
442940,AH Biologisch Eieren S M L,"€5,99",2025-03-07,Albert Heijn
565765,AH Terra Plantaardige sojadrink ongezoet,"€0,89",2025-03-07,Albert Heijn
138500,AH Terra Plantaardig halvarine goed begin,"€1,39",2025-03-07,Albert Heijn
565766,AH Terra Plantaardige amandeldrink ongezoet,"€1,69",2025-03-07,Albert Heijn
469397,Campina Langlekker halfvolle melk,"€1,99",2025-03-07,Albert Heijn
